Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
South Wairarapa District,5-11,"1,001",506,Masked,NA,NA,51%,<5%,NA
Southland District,12+,"25,076","23,464","23,042","17,889","11,981",94%,92%,67%
Southland District,5-11,"3,087","1,127",Masked,NA,NA,37%,<5%,NA
Stratford District,12+,"7,523","7,083","6,925","5,422","3,572",94%,92%,66%
Stratford District,5-11,"1,000",383,0,NA,NA,38%,<5%,NA
Tararua District,12+,"15,008","14,033","13,687","10,664","7,146",94%,91%,67%
Tararua District,5-11,"1,897",657,Masked,NA,NA,35%,<5%,NA
Tasman District,12+,"45,613",Masked,"43,248","34,860","25,526",>95%,95%,73%
Tasman District,5-11,"4,679","2,012",7,NA,NA,43%,<5%,NA
Taupo District,12+,"32,192",Masked,"29,929","23,707","15,686",>95%,93%,66%
Taupo District,5-11,"3,743","1,258",7,NA,NA,34%,<5%,NA
Tauranga City,12+,"121,638",Masked,Masked,"94,192","61,631",>95%,>95%,65%
Tauranga City,5-11,"14,197","5,916",20,NA,NA,42%,<5%,NA
Thames-Coromandel District,12+,"26,267","24,718","24,250","20,654","14,951",94%,92%,72%
Thames-Coromandel District,5-11,"2,165",726,Masked,NA,NA,34%,<5%,NA
Timaru District,12+,"41,101",Masked,"38,885","31,882","23,642",>95%,95%,74%
Timaru District,5-11,"4,189","1,983",11,NA,NA,47%,<5%,NA
Unknown,12+,"127,337","69,486","67,222","54,616","32,902",55%,53%,60%
Unknown,5-11,"10,824","2,518",44,NA,NA,23%,<5%,NA
Upper Hutt City,12+,"36,900",Masked,Masked,"29,488","21,534",>95%,>95%,73%
Upper Hutt City,5-11,"4,264","2,602",14,NA,NA,61%,<5%,NA
Waikato District,12+,"63,219",Masked,Masked,"48,542","30,575",>95%,>95%,63%
Waikato District,5-11,"8,689","3,837",25,NA,NA,44%,<5%,NA
Waimakariri District,12+,"52,773",Masked,Masked,"41,042","29,347",>95%,>95%,72%
Waimakariri District,5-11,"5,446","2,621",17,NA,NA,48%,<5%,NA
Waimate District,12+,"6,937","6,542","6,434","5,186","3,554",94%,93%,69%
Waimate District,5-11,693,256,0,NA,NA,37%,<5%,NA
Waipa District,12+,"46,646",Masked,Masked,"37,185","24,715",>95%,>95%,66%
Waipa District,5-11,"5,532","2,708",17,NA,NA,49%,<5%,NA
Wairoa District,12+,"6,304","5,929","5,707","4,356","2,898",94%,91%,67%
Wairoa District,5-11,897,191,0,NA,NA,21%,<5%,NA
Waitaki District,12+,"19,323",Masked,"18,133","14,749","10,574",>95%,94%,72%
Waitaki District,5-11,"2,012",859,Masked,NA,NA,43%,<5%,NA
Waitomo District,12+,"7,762","7,154","6,953","5,364","3,202",92%,90%,60%
Waitomo District,5-11,968,301,0,NA,NA,31%,<5%,NA
Wellington City,12+,"178,565",Masked,Masked,"154,204","115,967",>95%,>95%,75%
Wellington City,5-11,"16,095","11,336",71,NA,NA,70%,<5%,NA
Western Bay of Plenty District,12+,"45,702",Masked,"43,128","34,801","22,725",>95%,94%,65%
Western Bay of Plenty District,5-11,"4,865","1,712",6,NA,NA,35%,<5%,NA
Westland District,12+,"7,100","6,730","6,614","5,312","3,743",95%,93%,70%
Westland District,5-11,670,254,0,NA,NA,38%,<5%,NA
Whakatane District,12+,"30,432","27,340","26,512","19,923","13,285",90%,87%,67%
Whakatane District,5-11,"3,835","1,079",16,NA,NA,28%,<5%,NA
Whanganui District,12+,"39,902","37,302","36,522","28,814","21,104",93%,92%,73%
Whanganui District,5-11,"4,483","1,555",Masked,NA,NA,35%,<5%,NA
Whangarei District,12+,"78,696","73,741","72,021","57,381","39,870",94%,92%,69%
Whangarei District,5-11,"9,595","3,295",29,NA,NA,34%,<5%,NA
