Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Matamata-Piako District,12+,"30,444","28,322","27,790","26,438","17,071","11,432","4,957",93%,91%,65%,43%
Matamata-Piako District,5-11,"3,427","1,220",508,NA,NA,NA,NA,36%,15%,NA,NA
Napier City,12+,"56,989","52,529","51,573","48,922","34,696","21,939","10,683",92%,90%,71%,49%
Napier City,5-11,"5,980","2,590","1,238",NA,NA,NA,NA,43%,21%,NA,NA
Nelson City,12+,"47,440","43,863","43,177","41,095","30,542","18,844","9,884",92%,91%,74%,52%
Nelson City,5-11,"4,405","2,355","1,202",NA,NA,NA,NA,53%,27%,NA,NA
New Plymouth District,12+,"71,868","66,845","65,740","62,127","42,766","26,564","11,966",93%,91%,69%,45%
New Plymouth District,5-11,"8,328","3,529","1,976",NA,NA,NA,NA,42%,24%,NA,NA
Opotiki District,12+,"7,637","6,804","6,507","6,201","3,905","2,740","1,024",89%,85%,63%,37%
Opotiki District,5-11,987,220,74,NA,NA,NA,NA,22%,7%,NA,NA
Otorohanga District,12+,"8,310","7,384","7,218","6,792","3,986","2,608","1,061",89%,87%,59%,41%
Otorohanga District,5-11,"1,097",295,129,NA,NA,NA,NA,27%,12%,NA,NA
Palmerston North City,12+,"74,774","70,566","69,634","65,813","48,211","24,044","12,589",94%,93%,73%,52%
Palmerston North City,5-11,"8,389","4,359","2,540",NA,NA,NA,NA,52%,30%,NA,NA
Porirua City,12+,"50,123","47,102","46,345","43,410","31,519","15,775","8,698",94%,92%,73%,55%
Porirua City,5-11,"6,610","3,518","1,879",NA,NA,NA,NA,53%,28%,NA,NA
Queenstown-Lakes District,12+,"42,457","40,056","39,362","37,736","24,223","10,338","4,739",94%,93%,64%,46%
Queenstown-Lakes District,5-11,"3,481","1,874","1,057",NA,NA,NA,NA,54%,30%,NA,NA
Rangitikei District,12+,"13,122","11,930","11,709","11,140","7,809","5,098","2,281",91%,89%,70%,45%
Rangitikei District,5-11,"1,496",620,272,NA,NA,NA,NA,41%,18%,NA,NA
Rotorua District,12+,"61,354","55,511","54,203","51,056","33,677","19,626","8,973",90%,88%,66%,46%
Rotorua District,5-11,"7,635","2,912","1,358",NA,NA,NA,NA,38%,18%,NA,NA
Ruapehu District,12+,"10,400","8,891","8,606","8,178","5,208","3,448","1,429",85%,83%,64%,41%
Ruapehu District,5-11,"1,369",366,174,NA,NA,NA,NA,27%,13%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"55,393","41,466","21,092","9,545",>95%,>95%,75%,45%
Selwyn District,5-11,"7,241","4,660","2,889",NA,NA,NA,NA,64%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,421","19,267","12,416","8,074","3,114",>95%,94%,64%,39%
South Taranaki District,5-11,"2,758","1,005",506,NA,NA,NA,NA,36%,18%,NA,NA
South Waikato District,12+,"20,420","18,171","17,695","16,733","10,156","6,695","2,762",89%,87%,61%,41%
South Waikato District,5-11,"2,641",832,370,NA,NA,NA,NA,32%,14%,NA,NA
South Wairarapa District,12+,"10,074",Masked,"9,421","8,971","6,755","4,514","2,425",>95%,94%,75%,54%
South Wairarapa District,5-11,975,494,257,NA,NA,NA,NA,51%,26%,NA,NA
Southland District,12+,"25,968","23,490","23,090","21,839","14,637","8,987","3,304",90%,89%,67%,37%
Southland District,5-11,"2,981","1,198",605,NA,NA,NA,NA,40%,20%,NA,NA
Stratford District,12+,"7,772","7,261","7,116","6,740","4,426","2,899","1,153",93%,92%,66%,40%
Stratford District,5-11,960,418,213,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","14,013","13,701","12,965","8,727","5,882","2,342",90%,88%,67%,40%
Tararua District,5-11,"1,887",673,323,NA,NA,NA,NA,36%,17%,NA,NA
Tasman District,12+,"49,220","45,162","44,356","42,310","30,210","20,484","9,851",92%,90%,71%,48%
Tasman District,5-11,"4,677","1,919","1,057",NA,NA,NA,NA,41%,23%,NA,NA
Taupo District,12+,"33,772","30,781","30,157","28,658","18,757","12,585","5,780",91%,89%,65%,46%
Taupo District,5-11,"3,743","1,289",620,NA,Masked,NA,NA,34%,17%,>95%,NA
Tauranga City,12+,"131,025","120,626","118,456","112,604","75,072","45,169","20,824",92%,90%,67%,46%
Tauranga City,5-11,"14,283","5,940","2,683",NA,NA,NA,NA,42%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,806","24,383","23,548","17,436","13,657","6,580",90%,89%,74%,48%
Thames-Coromandel District,5-11,"2,163",763,394,NA,NA,NA,NA,35%,18%,NA,NA
Timaru District,12+,"42,396","39,210","38,677","36,760","27,374","17,851","8,306",92%,91%,74%,47%
Timaru District,5-11,"4,148","2,027",968,NA,NA,NA,NA,49%,23%,NA,NA
Unknown,12+,"129,781","48,529","46,713","44,143","26,406","12,158","5,173",37%,36%,60%,43%
Unknown,5-11,"9,527","2,221","1,195",NA,NA,NA,NA,23%,13%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,451","34,421","26,074","14,035","7,765",>95%,95%,76%,55%
Upper Hutt City,5-11,"4,202","2,568","1,546",NA,NA,NA,NA,61%,37%,NA,NA
Waikato District,12+,"67,392","63,429","62,245","58,427","38,161","21,934","8,745",94%,92%,65%,40%
Waikato District,5-11,"8,729","3,878","1,881",NA,NA,NA,NA,44%,22%,NA,NA
Waimakariri District,12+,"55,522","52,701","52,092","49,442","36,086","23,644","11,531",95%,94%,73%,49%
Waimakariri District,5-11,"5,443","2,630","1,549",NA,NA,NA,NA,48%,28%,NA,NA
Waimate District,12+,"7,173","6,443","6,347","6,063","4,323","2,974","1,224",90%,88%,71%,41%
Waimate District,5-11,667,265,122,NA,NA,NA,NA,40%,18%,NA,NA
Waipa District,12+,"48,972","46,233","45,574","42,925","29,903","18,305","8,241",94%,93%,70%,45%
Waipa District,5-11,"5,522","2,619","1,413",NA,NA,NA,NA,47%,26%,NA,NA
Wairoa District,12+,"6,748","6,010","5,788","5,482","3,649","2,402","1,190",89%,86%,67%,50%
Wairoa District,5-11,876,249,80,NA,NA,NA,NA,28%,9%,NA,NA
Waitaki District,12+,"19,993","18,504","18,204","17,304","12,571","8,460","3,676",93%,91%,73%,43%
Waitaki District,5-11,"1,935",873,392,NA,NA,NA,NA,45%,20%,NA,NA
Waitomo District,12+,"8,061","7,233","7,019","6,630","4,019","2,620",873,90%,87%,61%,33%
Waitomo District,5-11,937,299,129,NA,NA,NA,NA,32%,14%,NA,NA
Wellington City,12+,"188,336",Masked,Masked,"170,471","139,931","55,108","34,999",>95%,>95%,82%,64%
Wellington City,5-11,"15,438","10,908","8,085",NA,NA,NA,NA,71%,52%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,431","43,525","41,550","27,339","18,809","7,983",89%,88%,66%,42%
Western Bay of Plenty District,5-11,"4,834","1,652",694,NA,NA,NA,NA,34%,14%,NA,NA
Westland District,12+,"7,310","6,752","6,653","6,358","4,437","2,981","1,069",92%,91%,70%,36%
Westland District,5-11,670,256,133,NA,NA,NA,NA,38%,20%,NA,NA
Whakatane District,12+,"31,208","27,438","26,687","25,332","16,178","10,951","4,318",88%,86%,64%,39%
Whakatane District,5-11,"3,832","1,148",549,NA,NA,NA,NA,30%,14%,NA,NA
Whanganui District,12+,"41,305","37,145","36,437","34,599","24,765","16,430","8,337",90%,88%,72%,51%
Whanganui District,5-11,"4,457","1,612",864,NA,NA,NA,NA,36%,19%,NA,NA
Whangarei District,12+,"83,037","74,048","72,423","68,695","47,747","30,994","13,329",89%,87%,70%,43%
Whangarei District,5-11,"9,559","3,423","1,547",NA,NA,NA,NA,36%,16%,NA,NA
