SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
106400,Otangarei,Northland,Pacific Peoples,54,42,41,32,17,78%,76%,53%
106500,Tikipunga South,Northland,Maori,"1,172","1,076","1,021",612,326,92%,87%,53%
106500,Tikipunga South,Northland,Pacific Peoples,83,Masked,78,45,22,>95%,94%,49%
106600,Kensington (Whangarei District),Northland,Maori,712,621,597,391,202,87%,84%,52%
106600,Kensington (Whangarei District),Northland,Pacific Peoples,58,Masked,Masked,46,22,>95%,>95%,48%
106700,Abbey Caves-Glenbervie,Northland,Maori,140,125,118,77,40,89%,84%,52%
106800,Mairtown,Northland,Maori,531,478,461,312,191,90%,87%,61%
106800,Mairtown,Northland,Pacific Peoples,57,43,43,31,17,75%,75%,55%
106900,Maunu-Horahora,Northland,Maori,531,476,464,303,171,90%,87%,56%
106900,Maunu-Horahora,Northland,Pacific Peoples,40,32,30,25,15,80%,75%,60%
107000,Woodhill-Vinetown,Northland,Maori,714,598,566,373,208,84%,79%,56%
107000,Woodhill-Vinetown,Northland,Pacific Peoples,87,Masked,80,54,33,>95%,92%,61%
107100,Whangarei Central,Northland,Maori,256,226,218,144,78,88%,85%,54%
107200,Riverside,Northland,Maori,424,359,344,224,118,85%,81%,53%
107200,Riverside,Northland,Pacific Peoples,44,41,41,25,13,93%,93%,52%
107300,Raumanga,Northland,Maori,"1,442","1,230","1,116",584,274,85%,77%,47%
107300,Raumanga,Northland,Pacific Peoples,91,Masked,81,53,24,>95%,89%,45%
107400,Tarewa,Northland,Maori,854,719,673,388,173,84%,79%,45%
107500,Morningside (Whangarei District),Northland,Maori,767,686,646,406,193,89%,84%,48%
107500,Morningside (Whangarei District),Northland,Pacific Peoples,51,47,46,33,19,92%,90%,58%
107600,Ngunguru,Northland,Maori,153,134,131,98,53,88%,86%,54%
107700,Otaika-Portland,Northland,Maori,294,242,228,150,86,82%,78%,57%
107800,Oakleigh-Mangapai,Northland,Maori,234,201,193,118,58,86%,82%,49%
108000,Pataua,Northland,Maori,185,141,136,84,43,76%,74%,51%
108100,Onerahi Park,Northland,Maori,245,227,220,146,95,93%,90%,65%
108200,Sherwood Rise,Northland,Maori,618,558,533,326,162,90%,86%,50%
108200,Sherwood Rise,Northland,Pacific Peoples,44,Masked,Masked,27,14,>95%,>95%,52%
108300,Onerahi,Northland,Maori,592,517,483,247,124,87%,82%,50%
108300,Onerahi,Northland,Pacific Peoples,51,42,39,23,14,82%,76%,61%
108500,Parua Bay,Northland,Maori,269,247,242,168,96,92%,90%,57%
108600,Bream Bay,Northland,Maori,351,302,286,190,100,86%,81%,53%
108700,Marsden Bay,Northland,Maori,300,284,278,187,105,95%,93%,56%
108800,Ruakaka,Northland,Maori,598,553,530,313,148,92%,89%,47%
108800,Ruakaka,Northland,Pacific Peoples,52,46,46,32,17,88%,88%,53%
108900,Bream Head,Northland,Maori,91,84,84,62,44,92%,92%,71%
109000,Waipu,Northland,Maori,289,233,231,158,95,81%,80%,60%
109100,Kaipara Coastal,Northland,Maori,858,666,622,389,194,78%,72%,50%
109100,Kaipara Coastal,Northland,Pacific Peoples,50,46,42,24,8,92%,84%,33%
109200,Maungaru,Northland,Maori,249,217,204,140,64,87%,82%,46%
109300,Dargaville,Northland,Maori,"1,348","1,101","1,008",622,286,82%,75%,46%
109300,Dargaville,Northland,Pacific Peoples,198,187,179,113,34,94%,90%,30%
109400,Ruawai-Matakohe,Northland,Maori,463,382,363,267,141,83%,78%,53%
109500,Otamatea (Kaipara District),Northland,Maori,178,133,126,81,42,75%,71%,52%
109600,Maungaturoto,Northland,Maori,176,159,146,92,44,90%,83%,48%
109700,Kaiwaka,Northland,Maori,424,337,311,185,97,79%,73%,52%
109800,Mangawhai Rural,Northland,Maori,178,142,136,86,40,80%,76%,47%
109900,Mangawhai Heads,Northland,Maori,163,146,139,96,54,90%,85%,56%
110100,Mangawhai,Northland,Maori,70,63,62,39,17,90%,89%,44%
110200,Okahukura Peninsula,Waitemata,Maori,174,148,143,90,35,85%,82%,39%
110400,Cape Rodney,Waitemata,Maori,364,323,317,225,116,89%,87%,52%
110400,Cape Rodney,Waitemata,Pacific Peoples,50,43,40,30,11,86%,80%,37%
110500,Wellsford,Waitemata,Maori,290,235,222,137,60,81%,77%,44%
110500,Wellsford,Waitemata,Pacific Peoples,64,57,56,46,10,89%,88%,22%
110700,South Head,Waitemata,Maori,361,314,303,213,102,87%,84%,48%
110700,South Head,Waitemata,Pacific Peoples,52,42,39,28,13,81%,75%,46%
110800,Kaipara Hills,Waitemata,Maori,258,225,213,138,60,87%,83%,43%
110900,Dome Valley-Matakana,Waitemata,Maori,79,67,64,43,22,85%,81%,51%
111100,Warkworth West,Waitemata,Maori,147,130,124,82,38,88%,84%,46%
111100,Warkworth West,Waitemata,Pacific Peoples,87,Masked,Masked,73,40,>95%,>95%,55%
111200,Puhoi Valley,Waitemata,Maori,194,176,171,106,45,91%,88%,42%
111200,Puhoi Valley,Waitemata,Pacific Peoples,59,Masked,Masked,50,13,>95%,>95%,26%
111300,Warkworth East,Waitemata,Maori,193,174,164,110,55,90%,85%,50%
111300,Warkworth East,Waitemata,Pacific Peoples,160,Masked,Masked,151,48,>95%,>95%,32%
111500,Tawharanui Peninsula,Waitemata,Maori,79,71,70,58,31,90%,89%,53%
111600,Te Kuru,Waitemata,Maori,146,Masked,136,93,48,>95%,93%,52%
111700,Snells Beach,Waitemata,Maori,231,217,210,135,87,94%,91%,64%
111700,Snells Beach,Waitemata,Pacific Peoples,104,Masked,Masked,73,24,>95%,>95%,33%
111800,Barrier Islands,Auckland,Maori,169,135,131,100,69,80%,78%,69%
111900,Algies Bay-Scotts Landing,Waitemata,Maori,43,Masked,Masked,31,19,>95%,>95%,61%
112100,Wainui-Waiwera,Waitemata,Maori,96,90,88,68,39,94%,92%,57%
112200,Parakai,Waitemata,Maori,190,176,167,91,44,93%,88%,48%
112300,Helensville Rural,Waitemata,Maori,104,98,97,70,39,94%,93%,56%
112400,Helensville,Waitemata,Maori,409,363,342,227,119,89%,84%,52%
112400,Helensville,Waitemata,Pacific Peoples,102,Masked,Masked,83,45,>95%,>95%,54%
112500,Waitoki,Waitemata,Maori,59,53,53,37,22,90%,90%,59%
112600,Waikoukou Valley,Waitemata,Maori,86,Masked,Masked,55,26,>95%,>95%,47%
112700,Orewa North,Waitemata,Maori,173,Masked,163,118,74,>95%,94%,63%
112700,Orewa North,Waitemata,Pacific Peoples,62,58,57,48,31,94%,92%,65%
112800,Hatfields Beach,Waitemata,Maori,102,Masked,Masked,69,43,>95%,>95%,62%
112900,Orewa South,Waitemata,Maori,130,123,118,90,56,95%,91%,62%
112900,Orewa South,Waitemata,Pacific Peoples,66,57,57,48,30,86%,86%,62%
113000,Orewa Central,Waitemata,Maori,148,Masked,137,107,72,>95%,93%,67%
113000,Orewa Central,Waitemata,Pacific Peoples,69,58,58,48,24,84%,84%,50%
113100,Millwater North,Waitemata,Maori,74,Masked,Masked,49,36,>95%,>95%,73%
113200,Waipatukahu,Waitemata,Maori,157,145,144,110,57,92%,92%,52%
113300,Millwater South,Waitemata,Maori,132,123,120,77,41,93%,91%,53%
113400,Dairy Flat North,Waitemata,Maori,142,126,118,68,34,89%,83%,50%
113500,Dairy Flat West,Waitemata,Maori,49,43,43,28,17,88%,88%,61%
113600,Kingsway,Waitemata,Maori,81,Masked,Masked,50,26,>95%,>95%,52%
113600,Kingsway,Waitemata,Pacific Peoples,45,Masked,Masked,32,13,>95%,>95%,41%
113800,Silverdale Central (Auckland),Waitemata,Maori,50,42,38,28,11,84%,76%,39%
113900,Red Beach West,Waitemata,Maori,108,97,93,68,41,90%,86%,60%
114000,Red Beach East,Waitemata,Maori,182,Masked,Masked,127,72,>95%,>95%,57%
114000,Red Beach East,Waitemata,Pacific Peoples,52,Masked,Masked,41,24,>95%,>95%,59%
114100,Silverdale South (Auckland),Waitemata,Maori,105,85,82,58,30,81%,78%,52%
114200,Waimauku,Waitemata,Maori,82,Masked,Masked,60,32,>95%,>95%,53%
114400,Vipond,Waitemata,Maori,169,158,151,107,61,93%,89%,57%
114400,Vipond,Waitemata,Pacific Peoples,41,Masked,Masked,31,18,>95%,>95%,58%
114500,Muriwai,Waitemata,Maori,81,Masked,Masked,61,29,>95%,>95%,48%
114600,Stanmore Bay West,Waitemata,Maori,186,Masked,173,127,58,>95%,93%,46%
114700,Kumeu Rural West,Waitemata,Maori,103,Masked,Masked,67,37,>95%,>95%,55%
114700,Kumeu Rural West,Waitemata,Pacific Peoples,68,Masked,Masked,45,23,>95%,>95%,51%
114800,Okura Bush,Waitemata,Maori,63,56,52,36,11,89%,83%,31%
114900,Whangaparoa Central,Waitemata,Maori,245,219,217,153,67,89%,89%,44%
114900,Whangaparoa Central,Waitemata,Pacific Peoples,49,44,44,25,16,90%,90%,64%
115000,Kumeu-Huapai,Waitemata,Maori,235,Masked,Masked,163,97,>95%,>95%,60%
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,147,Masked,Masked,110,71,>95%,>95%,65%
115100,Stanmore Bay East,Waitemata,Maori,211,193,188,129,58,91%,89%,45%
115200,Manly West,Waitemata,Maori,150,Masked,138,79,41,>95%,92%,52%
115200,Manly West,Waitemata,Pacific Peoples,46,Masked,42,26,11,>95%,91%,42%
115300,Muriwai Valley-Bethells Beach,Waitemata,Maori,69,Masked,Masked,42,23,>95%,>95%,55%
115400,Tindalls-Matakatia,Waitemata,Maori,91,Masked,Masked,68,36,>95%,>95%,53%
115500,Coatesville,Waitemata,Maori,71,64,61,42,21,90%,86%,50%
115600,Dairy Flat South,Waitemata,Maori,59,52,49,38,19,88%,83%,50%
115700,Gulf Harbour North,Waitemata,Maori,115,Masked,Masked,84,43,>95%,>95%,51%
115700,Gulf Harbour North,Waitemata,Pacific Peoples,47,Masked,Masked,33,13,>95%,>95%,39%
115800,Manly East,Waitemata,Maori,200,177,173,123,72,88%,86%,59%
115800,Manly East,Waitemata,Pacific Peoples,68,55,54,42,21,81%,79%,50%
115900,Riverhead,Waitemata,Maori,180,159,155,109,49,88%,86%,45%
115900,Riverhead,Waitemata,Pacific Peoples,64,Masked,Masked,53,35,>95%,>95%,66%
116000,Army Bay,Waitemata,Maori,67,Masked,Masked,50,27,>95%,>95%,54%
116000,Army Bay,Waitemata,Pacific Peoples,41,Masked,Masked,28,20,>95%,>95%,71%
116100,Kumeu Rural East,Waitemata,Maori,177,160,154,113,62,90%,87%,55%
116100,Kumeu Rural East,Waitemata,Pacific Peoples,88,Masked,Masked,63,33,>95%,>95%,52%
116200,Gulf Harbour South,Waitemata,Maori,59,52,51,40,22,88%,86%,55%
116200,Gulf Harbour South,Waitemata,Pacific Peoples,41,38,37,29,17,93%,90%,59%
116400,Taupaki,Waitemata,Maori,93,Masked,88,63,31,>95%,95%,49%
116600,Paremoremo East,Waitemata,Maori,116,Masked,Masked,80,42,>95%,>95%,52%
116600,Paremoremo East,Waitemata,Pacific Peoples,41,34,34,27,15,83%,83%,56%
116700,Albany Heights,Waitemata,Maori,102,93,89,65,36,91%,87%,55%
116700,Albany Heights,Waitemata,Pacific Peoples,46,Masked,Masked,40,26,>95%,>95%,65%
116800,Awaruku,Waitemata,Maori,123,Masked,Masked,92,45,>95%,>95%,49%
116800,Awaruku,Waitemata,Pacific Peoples,52,Masked,Masked,37,14,>95%,>95%,38%
116900,Fairview Heights,Waitemata,Maori,72,65,62,46,21,90%,86%,46%
117000,Whenuapai,Waitemata,Maori,414,390,380,264,143,94%,92%,54%
117000,Whenuapai,Waitemata,Pacific Peoples,217,Masked,Masked,155,82,>95%,>95%,53%
117100,Waitakere Ranges North,Waitemata,Maori,77,Masked,Masked,55,24,>95%,>95%,44%
117200,Torbay,Waitemata,Maori,135,Masked,Masked,94,48,>95%,>95%,51%
117200,Torbay,Waitemata,Pacific Peoples,59,Masked,Masked,40,21,>95%,>95%,52%
117300,Albany Central,Waitemata,Maori,113,101,95,79,27,89%,84%,34%
117400,Albany West,Waitemata,Maori,61,Masked,Masked,40,20,>95%,>95%,50%
117400,Albany West,Waitemata,Pacific Peoples,40,Masked,Masked,36,14,>95%,>95%,39%
117500,Glamorgan,Waitemata,Maori,138,Masked,129,90,54,>95%,93%,60%
117500,Glamorgan,Waitemata,Pacific Peoples,42,Masked,Masked,28,17,>95%,>95%,61%
117600,Oteha East,Waitemata,Maori,78,74,72,51,34,95%,92%,67%
117600,Oteha East,Waitemata,Pacific Peoples,49,37,37,29,14,76%,76%,48%
117700,Northcross,Waitemata,Maori,101,Masked,Masked,74,45,>95%,>95%,61%
117900,Waiake,Waitemata,Maori,118,106,103,74,31,90%,87%,42%
117900,Waiake,Waitemata,Pacific Peoples,51,Masked,Masked,28,22,>95%,>95%,79%
118000,Waitakere,Waitemata,Maori,181,162,159,104,54,90%,88%,52%
118000,Waitakere,Waitemata,Pacific Peoples,70,Masked,Masked,53,31,>95%,>95%,58%
118100,Albany South,Waitemata,Maori,93,Masked,86,63,38,>95%,92%,60%
118200,Browns Bay South West,Waitemata,Maori,132,120,118,82,40,91%,89%,49%
118300,Browns Bay Central,Waitemata,Maori,100,Masked,95,73,42,>95%,95%,58%
118400,Schnapper Rock,Waitemata,Maori,92,Masked,Masked,64,37,>95%,>95%,58%
118500,Pinehill ,Waitemata,Maori,71,62,60,38,21,87%,85%,55%
118600,North Harbour,Waitemata,Maori,76,59,58,46,25,78%,76%,54%
118700,Browns Bay South East,Waitemata,Maori,80,73,71,54,35,91%,89%,65%
118900,Greenhithe West,Waitemata,Maori,119,110,108,81,44,92%,91%,54%
118900,Greenhithe West,Waitemata,Pacific Peoples,41,Masked,Masked,30,20,>95%,>95%,67%
119000,Rothesay Bay,Waitemata,Maori,55,Masked,Masked,41,21,>95%,>95%,51%
119100,Greenhithe East,Waitemata,Maori,92,82,81,66,35,89%,88%,53%
119100,Greenhithe East,Waitemata,Pacific Peoples,41,38,38,28,17,93%,93%,61%
119200,Hobsonville,Waitemata,Maori,62,Masked,Masked,44,30,>95%,>95%,68%
119200,Hobsonville,Waitemata,Pacific Peoples,61,56,55,41,20,92%,90%,49%
119400,Greenhithe South,Waitemata,Maori,69,Masked,Masked,54,29,>95%,>95%,54%
119500,Murrays Bay West,Waitemata,Maori,72,Masked,Masked,56,30,>95%,>95%,54%
119600,Westgate South,Waitemata,Maori,254,226,219,160,74,89%,86%,46%
119600,Westgate South,Waitemata,Pacific Peoples,266,243,240,170,66,91%,90%,39%
119800,West Harbour West,Waitemata,Maori,543,492,465,281,132,91%,86%,47%
119800,West Harbour West,Waitemata,Pacific Peoples,541,512,500,337,168,95%,92%,50%
119900,Unsworth Heights West,Waitemata,Maori,53,Masked,Masked,36,20,>95%,>95%,56%
119900,Unsworth Heights West,Waitemata,Pacific Peoples,46,Masked,Masked,38,26,>95%,>95%,68%
120000,Murrays Bay East,Waitemata,Maori,64,Masked,Masked,47,28,>95%,>95%,60%
120100,Birdwood West,Waitemata,Maori,98,89,86,56,35,91%,88%,62%
120100,Birdwood West,Waitemata,Pacific Peoples,47,40,40,24,14,85%,85%,58%
120200,Hobsonville Point,Waitemata,Maori,239,Masked,Masked,193,125,>95%,>95%,65%
120200,Hobsonville Point,Waitemata,Pacific Peoples,157,Masked,Masked,126,72,>95%,>95%,57%
120300,West Harbour Clearwater Cove,Waitemata,Maori,195,Masked,Masked,146,84,>95%,>95%,58%
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,156,Masked,Masked,119,70,>95%,>95%,59%
120400,Unsworth Heights East,Waitemata,Maori,156,Masked,Masked,101,58,>95%,>95%,57%
120400,Unsworth Heights East,Waitemata,Pacific Peoples,113,Masked,Masked,82,47,>95%,>95%,57%
120500,Mairangi Bay North,Waitemata,Maori,83,Masked,Masked,56,30,>95%,>95%,54%
120500,Mairangi Bay North,Waitemata,Pacific Peoples,40,36,36,28,14,90%,90%,50%
120600,Massey Central,Waitemata,Maori,463,437,417,250,105,94%,90%,42%
120600,Massey Central,Waitemata,Pacific Peoples,656,Masked,616,440,203,>95%,94%,46%
120700,West Harbour Luckens Point,Waitemata,Maori,99,Masked,Masked,77,45,>95%,>95%,58%
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,91,Masked,85,57,36,>95%,93%,63%
120800,Mairangi Bay South,Waitemata,Maori,83,Masked,Masked,58,31,>95%,>95%,53%
120900,Massey Royal Road West,Waitemata,Maori,372,336,323,195,93,90%,87%,48%
120900,Massey Royal Road West,Waitemata,Pacific Peoples,444,Masked,Masked,308,141,>95%,>95%,46%
121000,Bayview East,Waitemata,Maori,190,Masked,169,110,44,>95%,89%,40%
121000,Bayview East,Waitemata,Pacific Peoples,174,Masked,Masked,126,58,>95%,>95%,46%
121100,Swanson Rural,Waitemata,Maori,195,179,177,131,76,92%,91%,58%
121100,Swanson Rural,Waitemata,Pacific Peoples,67,Masked,Masked,54,29,>95%,>95%,54%
121200,Sunnynook South,Waitemata,Maori,111,103,101,67,31,93%,91%,46%
121200,Sunnynook South,Waitemata,Pacific Peoples,76,Masked,Masked,50,18,>95%,>95%,36%
121300,Sunnynook North,Waitemata,Maori,97,Masked,Masked,67,33,>95%,>95%,49%
121300,Sunnynook North,Waitemata,Pacific Peoples,45,Masked,42,34,18,>95%,93%,53%
121400,Bayview West,Waitemata,Maori,121,103,99,71,37,85%,82%,52%
121400,Bayview West,Waitemata,Pacific Peoples,93,Masked,Masked,65,41,>95%,>95%,63%
121500,Totara Vale North,Waitemata,Maori,157,149,148,101,56,95%,94%,55%
121500,Totara Vale North,Waitemata,Pacific Peoples,97,91,90,70,35,94%,93%,50%
121600,Royal Heights North,Waitemata,Maori,432,406,390,246,128,94%,90%,52%
121600,Royal Heights North,Waitemata,Pacific Peoples,495,445,433,315,152,90%,87%,48%
121700,Massey West,Waitemata,Maori,177,155,148,83,44,88%,84%,53%
121700,Massey West,Waitemata,Pacific Peoples,213,199,194,128,54,93%,91%,42%
121800,Beach Haven West,Waitemata,Maori,261,240,236,177,109,92%,90%,62%
121800,Beach Haven West,Waitemata,Pacific Peoples,151,Masked,Masked,112,51,>95%,>95%,46%
121900,Totara Vale South,Waitemata,Maori,201,Masked,187,125,56,>95%,93%,45%
121900,Totara Vale South,Waitemata,Pacific Peoples,158,150,150,113,47,95%,95%,42%
122000,Swanson,Waitemata,Maori,284,255,250,162,89,90%,88%,55%
122000,Swanson,Waitemata,Pacific Peoples,223,Masked,Masked,169,105,>95%,>95%,62%
122100,Bayview South,Waitemata,Maori,137,Masked,Masked,105,51,>95%,>95%,49%
122100,Bayview South,Waitemata,Pacific Peoples,119,106,106,76,44,89%,89%,58%
122200,Campbells Bay,Waitemata,Maori,82,Masked,Masked,65,43,>95%,>95%,66%
122300,Royal Heights South,Waitemata,Maori,489,440,420,255,127,90%,86%,50%
122300,Royal Heights South,Waitemata,Pacific Peoples,638,599,581,415,181,94%,91%,44%
122400,Beach Haven East,Waitemata,Maori,596,530,506,305,141,89%,85%,46%
122400,Beach Haven East,Waitemata,Pacific Peoples,522,481,472,351,153,92%,90%,44%
122500,Massey East,Waitemata,Maori,470,419,399,250,115,89%,85%,46%
122500,Massey East,Waitemata,Pacific Peoples,841,797,777,515,230,95%,92%,45%
122600,Forrest Hill North,Waitemata,Maori,65,Masked,61,47,32,>95%,94%,68%
122700,Glenfield North,Waitemata,Maori,148,133,129,92,47,90%,87%,51%
122700,Glenfield North,Waitemata,Pacific Peoples,133,Masked,125,100,43,>95%,94%,43%
122800,Birkdale North,Waitemata,Maori,416,390,375,248,135,94%,90%,54%
122800,Birkdale North,Waitemata,Pacific Peoples,337,Masked,Masked,248,107,>95%,>95%,43%
122900,Massey South,Waitemata,Maori,640,577,557,368,169,90%,87%,46%
122900,Massey South,Waitemata,Pacific Peoples,817,768,745,548,262,94%,91%,48%
123000,Ranui North,Waitemata,Maori,666,601,571,322,144,90%,86%,45%
123000,Ranui North,Waitemata,Pacific Peoples,979,924,901,642,281,94%,92%,44%
123100,Glenfield West,Waitemata,Maori,144,136,133,101,60,94%,92%,59%
123100,Glenfield West,Waitemata,Pacific Peoples,108,Masked,Masked,80,41,>95%,>95%,51%
123200,Te Atatu Peninsula North West,Waitemata,Maori,481,444,423,288,151,92%,88%,52%
123200,Te Atatu Peninsula North West,Waitemata,Pacific Peoples,279,253,247,189,79,91%,89%,42%
123300,Glenfield South West,Waitemata,Maori,181,170,168,128,58,94%,93%,45%
123300,Glenfield South West,Waitemata,Pacific Peoples,167,Masked,Masked,120,70,>95%,>95%,58%
123400,Forrest Hill West,Waitemata,Maori,119,Masked,Masked,85,38,>95%,>95%,45%
123400,Forrest Hill West,Waitemata,Pacific Peoples,100,95,93,68,38,95%,93%,56%
123600,Forrest Hill East,Waitemata,Maori,98,90,88,61,34,92%,90%,56%
123600,Forrest Hill East,Waitemata,Pacific Peoples,69,Masked,Masked,60,30,>95%,>95%,50%
123700,Castor Bay,Waitemata,Maori,115,Masked,Masked,93,57,>95%,>95%,61%
123800,Ranui Domain,Waitemata,Maori,615,542,514,296,127,88%,84%,43%
123800,Ranui Domain,Waitemata,Pacific Peoples,675,Masked,627,421,177,>95%,93%,42%
123900,Beach Haven South,Waitemata,Maori,170,Masked,Masked,126,82,>95%,>95%,65%
123900,Beach Haven South,Waitemata,Pacific Peoples,81,Masked,76,56,31,>95%,94%,55%
124000,Glenfield Central,Waitemata,Maori,167,Masked,158,123,60,>95%,95%,49%
124000,Glenfield Central,Waitemata,Pacific Peoples,94,Masked,Masked,72,44,>95%,>95%,61%
124100,Piha,Waitemata,Maori,94,83,81,69,39,88%,86%,57%
124200,Ranui South West,Waitemata,Maori,376,336,316,193,89,89%,84%,46%
124200,Ranui South West,Waitemata,Pacific Peoples,476,Masked,444,334,162,>95%,93%,49%
124300,Henderson Larnoch,Waitemata,Maori,610,566,542,310,136,93%,89%,44%
124300,Henderson Larnoch,Waitemata,Pacific Peoples,910,Masked,842,605,281,>95%,93%,46%
