SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
103600,Pakaraka,Northland,Maori,142,127,117,72,38,89%,82%,53%
103700,Haruru,Northland,Maori,216,192,188,117,45,89%,87%,38%
103800,Russell,Northland,Maori,135,126,125,94,57,93%,93%,61%
103900,Paihia,Northland,Maori,484,403,378,223,98,83%,78%,44%
104000,Mataraua Forest,Northland,Maori,331,257,232,137,67,78%,70%,49%
104100,Matawaia-Taumarere,Northland,Maori,801,638,594,344,148,80%,74%,43%
104200,Russell Peninsula,Northland,Maori,74,56,55,40,27,76%,74%,68%
104300,Opua (Far North District),Northland,Maori,178,138,132,86,47,78%,74%,55%
104400,Russell Forest-Rawhiti,Northland,Maori,389,331,312,216,108,85%,80%,50%
104500,Moerewa,Northland,Maori,"1,183",988,923,567,249,84%,78%,44%
104600,Kawakawa,Northland,Maori,810,695,650,375,169,86%,80%,45%
104700,Maromaku,Northland,Maori,244,191,183,104,42,78%,75%,40%
104800,Mangakahia-Hukerenui,Northland,Maori,599,530,496,284,113,88%,83%,40%
104900,Whangaruru,Northland,Maori,658,564,538,326,160,86%,82%,49%
105100,Matarau,Northland,Maori,357,315,304,174,73,88%,85%,42%
105200,Hikurangi,Northland,Maori,471,413,383,223,68,88%,81%,30%
105300,Kauri,Northland,Maori,235,202,200,133,68,86%,85%,51%
105400,Maungatapere,Northland,Maori,419,381,366,231,121,91%,87%,52%
105500,Kamo West,Northland,Maori,393,358,349,208,103,91%,89%,50%
105600,Matapouri-Tutukaka,Northland,Maori,222,203,193,127,65,91%,87%,51%
105700,Kiripaka,Northland,Maori,187,156,149,101,39,83%,80%,39%
105800,Kamo East,Northland,Maori,913,803,765,400,145,88%,84%,36%
105800,Kamo East,Northland,Pacific Peoples,100,87,84,54,16,87%,84%,30%
105900,Granfield Reserve,Northland,Maori,450,417,395,247,115,93%,88%,47%
106000,Kamo Central,Northland,Maori,410,374,355,192,104,91%,87%,54%
106100,Whau Valley,Northland,Maori,598,535,505,309,135,89%,84%,44%
106200,Tikipunga North,Northland,Maori,965,862,801,436,189,89%,83%,43%
106200,Tikipunga North,Northland,Pacific Peoples,79,70,66,40,18,89%,84%,45%
106300,Pukenui,Northland,Maori,174,155,150,98,59,89%,86%,60%
106400,Otangarei,Northland,Maori,"1,269","1,046",938,455,158,82%,74%,35%
106400,Otangarei,Northland,Pacific Peoples,53,41,40,29,12,77%,75%,41%
106500,Tikipunga South,Northland,Maori,"1,178","1,071","1,012",558,253,91%,86%,45%
106500,Tikipunga South,Northland,Pacific Peoples,83,Masked,77,42,16,>95%,93%,38%
106600,Kensington (Whangarei District),Northland,Maori,706,611,586,361,164,87%,83%,45%
106600,Kensington (Whangarei District),Northland,Pacific Peoples,58,Masked,Masked,43,14,>95%,>95%,33%
106700,Abbey Caves-Glenbervie,Northland,Maori,141,125,116,71,36,89%,82%,51%
106800,Mairtown,Northland,Maori,533,477,461,304,154,89%,86%,51%
106800,Mairtown,Northland,Pacific Peoples,57,43,43,28,14,75%,75%,50%
106900,Maunu-Horahora,Northland,Maori,532,477,462,288,146,90%,87%,51%
106900,Maunu-Horahora,Northland,Pacific Peoples,40,32,29,23,12,80%,72%,52%
107000,Woodhill-Vinetown,Northland,Maori,716,594,558,352,157,83%,78%,45%
107000,Woodhill-Vinetown,Northland,Pacific Peoples,85,Masked,78,51,23,>95%,92%,45%
107100,Whangarei Central,Northland,Maori,256,226,217,134,53,88%,85%,40%
107200,Riverside,Northland,Maori,423,352,343,211,91,83%,81%,43%
107200,Riverside,Northland,Pacific Peoples,44,41,41,24,10,93%,93%,42%
107300,Raumanga,Northland,Maori,"1,428","1,192","1,082",519,201,83%,76%,39%
107300,Raumanga,Northland,Pacific Peoples,91,Masked,81,51,13,>95%,89%,25%
107400,Tarewa,Northland,Maori,859,720,668,354,135,84%,78%,38%
107500,Morningside (Whangarei District),Northland,Maori,763,676,632,369,151,89%,83%,41%
107500,Morningside (Whangarei District),Northland,Pacific Peoples,51,46,45,30,15,90%,88%,50%
107600,Ngunguru,Northland,Maori,154,134,131,91,43,87%,85%,47%
107700,Otaika-Portland,Northland,Maori,295,240,226,146,70,81%,77%,48%
107800,Oakleigh-Mangapai,Northland,Maori,233,200,192,111,48,86%,82%,43%
108000,Pataua,Northland,Maori,185,139,135,81,32,75%,73%,40%
108100,Onerahi Park,Northland,Maori,246,225,218,140,74,91%,89%,53%
108200,Sherwood Rise,Northland,Maori,612,548,520,299,126,90%,85%,42%
108200,Sherwood Rise,Northland,Pacific Peoples,45,Masked,Masked,26,11,>95%,>95%,42%
108300,Onerahi,Northland,Maori,590,509,477,230,100,86%,81%,43%
108300,Onerahi,Northland,Pacific Peoples,51,39,38,20,11,76%,75%,55%
108500,Parua Bay,Northland,Maori,267,244,239,163,76,91%,90%,47%
108600,Bream Bay,Northland,Maori,352,298,282,176,79,85%,80%,45%
108700,Marsden Bay,Northland,Maori,301,283,278,184,88,94%,92%,48%
108800,Ruakaka,Northland,Maori,597,549,525,288,126,92%,88%,44%
108800,Ruakaka,Northland,Pacific Peoples,53,47,47,32,12,89%,89%,38%
108900,Bream Head,Northland,Maori,92,85,84,61,39,92%,91%,64%
109000,Waipu,Northland,Maori,287,232,230,150,79,81%,80%,53%
109100,Kaipara Coastal,Northland,Maori,855,653,608,348,148,76%,71%,43%
109100,Kaipara Coastal,Northland,Pacific Peoples,48,44,40,19,7,92%,83%,37%
109200,Maungaru,Northland,Maori,249,214,203,120,51,86%,82%,42%
109300,Dargaville,Northland,Maori,"1,347","1,092",994,543,210,81%,74%,39%
109300,Dargaville,Northland,Pacific Peoples,199,186,178,85,17,93%,89%,20%
109400,Ruawai-Matakohe,Northland,Maori,465,381,361,244,94,82%,78%,39%
109500,Otamatea (Kaipara District),Northland,Maori,179,130,124,77,30,73%,69%,39%
109600,Maungaturoto,Northland,Maori,177,158,146,87,27,89%,82%,31%
109700,Kaiwaka,Northland,Maori,429,337,310,180,84,79%,72%,47%
109800,Mangawhai Rural,Northland,Maori,175,135,128,78,34,77%,73%,44%
109900,Mangawhai Heads,Northland,Maori,164,145,137,92,47,88%,84%,51%
110100,Mangawhai,Northland,Maori,71,63,62,38,15,89%,87%,39%
110200,Okahukura Peninsula,Waitemata,Maori,175,147,142,86,29,84%,81%,34%
110400,Cape Rodney,Waitemata,Maori,363,321,311,214,101,88%,86%,47%
110400,Cape Rodney,Waitemata,Pacific Peoples,50,43,40,28,10,86%,80%,36%
110500,Wellsford,Waitemata,Maori,288,233,218,129,45,81%,76%,35%
110500,Wellsford,Waitemata,Pacific Peoples,64,57,56,44,9,89%,88%,20%
110700,South Head,Waitemata,Maori,360,312,301,202,84,87%,84%,42%
110700,South Head,Waitemata,Pacific Peoples,52,42,39,27,10,81%,75%,37%
110800,Kaipara Hills,Waitemata,Maori,260,224,212,125,49,86%,82%,39%
110900,Dome Valley-Matakana,Waitemata,Maori,80,68,65,42,21,85%,81%,50%
111100,Warkworth West,Waitemata,Maori,148,131,124,78,31,89%,84%,40%
111100,Warkworth West,Waitemata,Pacific Peoples,89,Masked,Masked,69,35,>95%,>95%,51%
111200,Puhoi Valley,Waitemata,Maori,191,173,167,102,37,91%,87%,36%
111200,Puhoi Valley,Waitemata,Pacific Peoples,59,Masked,Masked,45,7,>95%,>95%,16%
111300,Warkworth East,Waitemata,Maori,192,170,162,104,43,89%,84%,41%
111300,Warkworth East,Waitemata,Pacific Peoples,161,Masked,Masked,148,34,>95%,>95%,23%
111500,Tawharanui Peninsula,Waitemata,Maori,79,70,69,53,27,89%,87%,51%
111600,Te Kuru,Waitemata,Maori,149,Masked,137,91,44,>95%,92%,48%
111700,Snells Beach,Waitemata,Maori,232,218,209,132,76,94%,90%,58%
111700,Snells Beach,Waitemata,Pacific Peoples,103,Masked,Masked,67,20,>95%,>95%,30%
111800,Barrier Islands,Auckland,Maori,169,134,130,97,60,79%,77%,62%
111900,Algies Bay-Scotts Landing,Waitemata,Maori,42,Masked,Masked,28,15,>95%,>95%,54%
112100,Wainui-Waiwera,Waitemata,Maori,96,89,87,66,33,93%,91%,50%
112200,Parakai,Waitemata,Maori,190,176,166,83,37,93%,87%,45%
112300,Helensville Rural,Waitemata,Maori,103,97,96,67,29,94%,93%,43%
112400,Helensville,Waitemata,Maori,407,356,336,219,107,87%,83%,49%
112400,Helensville,Waitemata,Pacific Peoples,102,Masked,Masked,84,39,>95%,>95%,46%
112500,Waitoki,Waitemata,Maori,60,53,52,35,20,88%,87%,57%
112600,Waikoukou Valley,Waitemata,Maori,86,Masked,Masked,54,24,>95%,>95%,44%
112700,Orewa North,Waitemata,Maori,172,162,161,112,62,94%,94%,55%
112700,Orewa North,Waitemata,Pacific Peoples,63,58,57,48,30,92%,90%,62%
112800,Hatfields Beach,Waitemata,Maori,101,Masked,94,65,36,>95%,93%,55%
112900,Orewa South,Waitemata,Maori,132,123,118,89,51,93%,89%,57%
112900,Orewa South,Waitemata,Pacific Peoples,66,57,57,48,26,86%,86%,54%
113000,Orewa Central,Waitemata,Maori,147,Masked,137,107,64,>95%,93%,60%
113000,Orewa Central,Waitemata,Pacific Peoples,69,58,58,47,18,84%,84%,38%
113100,Millwater North,Waitemata,Maori,74,Masked,Masked,49,33,>95%,>95%,67%
113200,Waipatukahu,Waitemata,Maori,157,145,144,104,49,92%,92%,47%
113300,Millwater South,Waitemata,Maori,130,119,116,73,34,92%,89%,47%
113400,Dairy Flat North,Waitemata,Maori,140,124,116,64,28,89%,83%,44%
113500,Dairy Flat West,Waitemata,Maori,49,43,43,28,15,88%,88%,54%
113600,Kingsway,Waitemata,Maori,82,Masked,Masked,48,21,>95%,>95%,44%
113600,Kingsway,Waitemata,Pacific Peoples,45,Masked,Masked,30,9,>95%,>95%,30%
113800,Silverdale Central (Auckland),Waitemata,Maori,50,42,38,24,4,84%,76%,17%
113900,Red Beach West,Waitemata,Maori,107,96,92,61,33,90%,86%,54%
114000,Red Beach East,Waitemata,Maori,184,Masked,Masked,127,62,>95%,>95%,49%
114000,Red Beach East,Waitemata,Pacific Peoples,52,Masked,Masked,40,19,>95%,>95%,48%
114100,Silverdale South (Auckland),Waitemata,Maori,104,84,80,53,21,81%,77%,40%
114200,Waimauku,Waitemata,Maori,82,Masked,Masked,57,28,>95%,>95%,49%
114400,Vipond,Waitemata,Maori,172,160,154,105,54,93%,90%,51%
114400,Vipond,Waitemata,Pacific Peoples,42,Masked,Masked,31,13,>95%,>95%,42%
114500,Muriwai,Waitemata,Maori,81,Masked,Masked,57,22,>95%,>95%,39%
114600,Stanmore Bay West,Waitemata,Maori,186,Masked,172,124,46,>95%,92%,37%
114700,Kumeu Rural West,Waitemata,Maori,104,Masked,Masked,64,33,>95%,>95%,52%
114700,Kumeu Rural West,Waitemata,Pacific Peoples,67,Masked,Masked,42,22,>95%,>95%,52%
114800,Okura Bush,Waitemata,Maori,63,56,52,36,9,89%,83%,25%
114900,Whangaparoa Central,Waitemata,Maori,246,219,217,150,59,89%,88%,39%
114900,Whangaparoa Central,Waitemata,Pacific Peoples,49,44,43,24,14,90%,88%,58%
115000,Kumeu-Huapai,Waitemata,Maori,237,Masked,Masked,161,87,>95%,>95%,54%
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,147,Masked,Masked,108,60,>95%,>95%,56%
115100,Stanmore Bay East,Waitemata,Maori,211,193,187,123,49,91%,89%,40%
115200,Manly West,Waitemata,Maori,150,Masked,138,74,34,>95%,92%,46%
115200,Manly West,Waitemata,Pacific Peoples,46,Masked,42,26,8,>95%,91%,31%
115300,Muriwai Valley-Bethells Beach,Waitemata,Maori,69,Masked,Masked,39,19,>95%,>95%,49%
115400,Tindalls-Matakatia,Waitemata,Maori,92,Masked,Masked,67,32,>95%,>95%,48%
115500,Coatesville,Waitemata,Maori,72,65,62,40,18,90%,86%,45%
115600,Dairy Flat South,Waitemata,Maori,59,52,50,39,16,88%,85%,41%
115700,Gulf Harbour North,Waitemata,Maori,116,Masked,Masked,84,37,>95%,>95%,44%
115700,Gulf Harbour North,Waitemata,Pacific Peoples,47,Masked,44,31,11,>95%,94%,35%
115800,Manly East,Waitemata,Maori,199,176,172,120,59,88%,86%,49%
115800,Manly East,Waitemata,Pacific Peoples,68,55,54,41,13,81%,79%,32%
115900,Riverhead,Waitemata,Maori,177,155,150,106,41,88%,85%,39%
115900,Riverhead,Waitemata,Pacific Peoples,64,Masked,Masked,53,31,>95%,>95%,58%
116000,Army Bay,Waitemata,Maori,67,Masked,Masked,48,22,>95%,>95%,46%
116000,Army Bay,Waitemata,Pacific Peoples,41,Masked,Masked,28,16,>95%,>95%,57%
116100,Kumeu Rural East,Waitemata,Maori,175,157,151,108,44,90%,86%,41%
116100,Kumeu Rural East,Waitemata,Pacific Peoples,88,Masked,83,61,29,>95%,94%,48%
116200,Gulf Harbour South,Waitemata,Maori,59,51,50,38,19,86%,85%,50%
116200,Gulf Harbour South,Waitemata,Pacific Peoples,41,38,37,29,14,93%,90%,48%
116400,Taupaki,Waitemata,Maori,90,Masked,84,59,25,>95%,93%,42%
116600,Paremoremo East,Waitemata,Maori,119,Masked,Masked,79,32,>95%,>95%,41%
116600,Paremoremo East,Waitemata,Pacific Peoples,40,33,33,26,11,82%,82%,42%
116700,Albany Heights,Waitemata,Maori,98,90,86,61,29,92%,88%,48%
116700,Albany Heights,Waitemata,Pacific Peoples,46,Masked,Masked,39,24,>95%,>95%,62%
116800,Awaruku,Waitemata,Maori,124,Masked,Masked,92,38,>95%,>95%,41%
116800,Awaruku,Waitemata,Pacific Peoples,53,Masked,Masked,38,12,>95%,>95%,32%
116900,Fairview Heights,Waitemata,Maori,72,65,61,43,18,90%,85%,42%
117000,Whenuapai,Waitemata,Maori,414,387,378,251,128,93%,91%,51%
117000,Whenuapai,Waitemata,Pacific Peoples,215,Masked,Masked,149,70,>95%,>95%,47%
117100,Waitakere Ranges North,Waitemata,Maori,79,Masked,Masked,52,19,>95%,>95%,37%
117200,Torbay,Waitemata,Maori,133,Masked,Masked,89,39,>95%,>95%,44%
117200,Torbay,Waitemata,Pacific Peoples,59,Masked,Masked,38,19,>95%,>95%,50%
117300,Albany Central,Waitemata,Maori,117,98,92,73,19,84%,79%,26%
117400,Albany West,Waitemata,Maori,61,Masked,Masked,38,15,>95%,>95%,39%
117400,Albany West,Waitemata,Pacific Peoples,41,Masked,Masked,35,14,>95%,>95%,40%
117500,Glamorgan,Waitemata,Maori,138,Masked,129,87,48,>95%,93%,55%
117500,Glamorgan,Waitemata,Pacific Peoples,42,Masked,Masked,26,14,>95%,>95%,54%
117600,Oteha East,Waitemata,Maori,77,73,72,49,31,95%,94%,63%
117600,Oteha East,Waitemata,Pacific Peoples,48,37,37,28,12,77%,77%,43%
117700,Northcross,Waitemata,Maori,99,Masked,Masked,70,37,>95%,>95%,53%
117900,Waiake,Waitemata,Maori,121,108,104,73,27,89%,86%,37%
117900,Waiake,Waitemata,Pacific Peoples,51,Masked,Masked,28,16,>95%,>95%,57%
118000,Waitakere,Waitemata,Maori,181,161,158,98,44,89%,87%,45%
118000,Waitakere,Waitemata,Pacific Peoples,71,Masked,Masked,54,28,>95%,>95%,52%
118100,Albany South,Waitemata,Maori,92,Masked,84,58,32,>95%,91%,55%
118200,Browns Bay South West,Waitemata,Maori,133,120,119,76,31,90%,89%,41%
118300,Browns Bay Central,Waitemata,Maori,99,Masked,94,72,37,>95%,95%,51%
118400,Schnapper Rock,Waitemata,Maori,92,Masked,Masked,64,33,>95%,>95%,52%
118500,Pinehill ,Waitemata,Maori,71,63,61,39,17,89%,86%,44%
118600,North Harbour,Waitemata,Maori,74,56,53,42,18,76%,72%,43%
118700,Browns Bay South East,Waitemata,Maori,81,73,71,53,28,90%,88%,53%
118900,Greenhithe West,Waitemata,Maori,120,111,109,82,34,92%,91%,41%
118900,Greenhithe West,Waitemata,Pacific Peoples,40,38,38,29,18,95%,95%,62%
119000,Rothesay Bay,Waitemata,Maori,55,Masked,Masked,40,19,>95%,>95%,48%
119100,Greenhithe East,Waitemata,Maori,91,81,81,65,30,89%,89%,46%
119100,Greenhithe East,Waitemata,Pacific Peoples,40,38,38,28,16,95%,95%,57%
119200,Hobsonville,Waitemata,Maori,62,Masked,Masked,41,27,>95%,>95%,66%
119200,Hobsonville,Waitemata,Pacific Peoples,61,56,55,40,20,92%,90%,50%
119400,Greenhithe South,Waitemata,Maori,68,Masked,Masked,53,25,>95%,>95%,47%
119500,Murrays Bay West,Waitemata,Maori,73,Masked,Masked,55,26,>95%,>95%,47%
119600,Westgate South,Waitemata,Maori,254,224,217,149,65,88%,85%,44%
119600,Westgate South,Waitemata,Pacific Peoples,265,243,238,162,56,92%,90%,35%
119800,West Harbour West,Waitemata,Maori,545,486,463,271,103,89%,85%,38%
119800,West Harbour West,Waitemata,Pacific Peoples,540,509,496,320,130,94%,92%,41%
119900,Unsworth Heights West,Waitemata,Maori,53,Masked,Masked,36,17,>95%,>95%,47%
119900,Unsworth Heights West,Waitemata,Pacific Peoples,46,Masked,Masked,37,20,>95%,>95%,54%
120000,Murrays Bay East,Waitemata,Maori,64,Masked,Masked,47,25,>95%,>95%,53%
120100,Birdwood West,Waitemata,Maori,98,88,84,55,28,90%,86%,51%
120100,Birdwood West,Waitemata,Pacific Peoples,46,39,39,24,14,85%,85%,58%
120200,Hobsonville Point,Waitemata,Maori,241,Masked,Masked,191,111,>95%,>95%,58%
120200,Hobsonville Point,Waitemata,Pacific Peoples,156,Masked,Masked,123,59,>95%,>95%,48%
120300,West Harbour Clearwater Cove,Waitemata,Maori,197,Masked,Masked,139,76,>95%,>95%,55%
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,154,Masked,Masked,112,57,>95%,>95%,51%
120400,Unsworth Heights East,Waitemata,Maori,160,Masked,Masked,103,43,>95%,>95%,42%
120400,Unsworth Heights East,Waitemata,Pacific Peoples,113,Masked,Masked,81,36,>95%,>95%,44%
120500,Mairangi Bay North,Waitemata,Maori,83,Masked,Masked,55,27,>95%,>95%,49%
120500,Mairangi Bay North,Waitemata,Pacific Peoples,41,36,35,26,12,88%,85%,46%
120600,Massey Central,Waitemata,Maori,461,430,410,232,84,93%,89%,36%
120600,Massey Central,Waitemata,Pacific Peoples,655,Masked,608,420,155,>95%,93%,37%
120700,West Harbour Luckens Point,Waitemata,Maori,99,Masked,Masked,73,41,>95%,>95%,56%
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,90,Masked,84,54,30,>95%,93%,56%
120800,Mairangi Bay South,Waitemata,Maori,85,Masked,Masked,56,29,>95%,>95%,52%
120900,Massey Royal Road West,Waitemata,Maori,373,333,318,175,76,89%,85%,43%
120900,Massey Royal Road West,Waitemata,Pacific Peoples,443,Masked,Masked,297,119,>95%,>95%,40%
121000,Bayview East,Waitemata,Maori,188,Masked,166,104,35,>95%,88%,34%
121000,Bayview East,Waitemata,Pacific Peoples,172,Masked,Masked,120,48,>95%,>95%,40%
121100,Swanson Rural,Waitemata,Maori,192,175,173,124,63,91%,90%,51%
121100,Swanson Rural,Waitemata,Pacific Peoples,67,Masked,Masked,52,20,>95%,>95%,38%
121200,Sunnynook South,Waitemata,Maori,111,102,100,63,28,92%,90%,44%
121200,Sunnynook South,Waitemata,Pacific Peoples,78,Masked,Masked,49,15,>95%,>95%,31%
121300,Sunnynook North,Waitemata,Maori,97,Masked,Masked,66,26,>95%,>95%,39%
121300,Sunnynook North,Waitemata,Pacific Peoples,45,Masked,42,33,13,>95%,93%,39%
121400,Bayview West,Waitemata,Maori,122,104,100,67,28,85%,82%,42%
121400,Bayview West,Waitemata,Pacific Peoples,93,Masked,Masked,59,35,>95%,>95%,59%
121500,Totara Vale North,Waitemata,Maori,155,146,144,95,47,94%,93%,49%
121500,Totara Vale North,Waitemata,Pacific Peoples,98,92,91,67,27,94%,93%,40%
121600,Royal Heights North,Waitemata,Maori,431,401,384,233,105,93%,89%,45%
121600,Royal Heights North,Waitemata,Pacific Peoples,495,442,433,303,131,89%,87%,43%
121700,Massey West,Waitemata,Maori,176,154,144,75,34,88%,82%,45%
121700,Massey West,Waitemata,Pacific Peoples,214,199,193,124,41,93%,90%,33%
121800,Beach Haven West,Waitemata,Maori,260,238,234,169,85,92%,90%,50%
121800,Beach Haven West,Waitemata,Pacific Peoples,151,Masked,Masked,108,40,>95%,>95%,37%
121900,Totara Vale South,Waitemata,Maori,202,Masked,186,121,49,>95%,92%,40%
121900,Totara Vale South,Waitemata,Pacific Peoples,156,147,147,109,32,94%,94%,29%
122000,Swanson,Waitemata,Maori,285,254,247,155,74,89%,87%,48%
122000,Swanson,Waitemata,Pacific Peoples,224,Masked,Masked,165,82,>95%,>95%,50%
122100,Bayview South,Waitemata,Maori,135,Masked,Masked,99,44,>95%,>95%,44%
122100,Bayview South,Waitemata,Pacific Peoples,119,106,106,76,37,89%,89%,49%
122200,Campbells Bay,Waitemata,Maori,82,Masked,Masked,65,35,>95%,>95%,54%
122300,Royal Heights South,Waitemata,Maori,490,435,415,238,102,89%,85%,43%
122300,Royal Heights South,Waitemata,Pacific Peoples,638,597,577,396,140,94%,90%,35%
122400,Beach Haven East,Waitemata,Maori,595,527,502,293,116,89%,84%,40%
122400,Beach Haven East,Waitemata,Pacific Peoples,521,479,468,344,132,92%,90%,38%
122500,Massey East,Waitemata,Maori,478,422,400,243,94,88%,84%,39%
122500,Massey East,Waitemata,Pacific Peoples,845,795,771,495,196,94%,91%,40%
122600,Forrest Hill North,Waitemata,Maori,64,Masked,60,45,29,>95%,94%,64%
122700,Glenfield North,Waitemata,Maori,149,133,129,90,41,89%,87%,46%
122700,Glenfield North,Waitemata,Pacific Peoples,134,Masked,126,95,38,>95%,94%,40%
122800,Birkdale North,Waitemata,Maori,417,390,376,244,106,94%,90%,43%
122800,Birkdale North,Waitemata,Pacific Peoples,337,Masked,Masked,233,91,>95%,>95%,39%
122900,Massey South,Waitemata,Maori,638,571,547,345,139,89%,86%,40%
122900,Massey South,Waitemata,Pacific Peoples,815,762,739,527,216,93%,91%,41%
123000,Ranui North,Waitemata,Maori,666,602,565,308,111,90%,85%,36%
123000,Ranui North,Waitemata,Pacific Peoples,981,922,898,620,235,94%,92%,38%
123100,Glenfield West,Waitemata,Maori,144,136,133,98,54,94%,92%,55%
123100,Glenfield West,Waitemata,Pacific Peoples,108,Masked,Masked,78,35,>95%,>95%,45%
123200,Te Atatu Peninsula North West,Waitemata,Maori,481,441,418,275,124,92%,87%,45%
123200,Te Atatu Peninsula North West,Waitemata,Pacific Peoples,280,253,246,179,60,90%,88%,34%
123300,Glenfield South West,Waitemata,Maori,181,169,166,122,47,93%,92%,39%
123300,Glenfield South West,Waitemata,Pacific Peoples,166,Masked,157,116,61,>95%,95%,53%
123400,Forrest Hill West,Waitemata,Maori,118,Masked,Masked,80,32,>95%,>95%,40%
123400,Forrest Hill West,Waitemata,Pacific Peoples,100,94,92,67,35,94%,92%,52%
123600,Forrest Hill East,Waitemata,Maori,98,88,86,56,29,90%,88%,52%
123600,Forrest Hill East,Waitemata,Pacific Peoples,69,65,65,55,24,94%,94%,44%
123700,Castor Bay,Waitemata,Maori,115,Masked,Masked,91,46,>95%,>95%,51%
123800,Ranui Domain,Waitemata,Maori,610,538,510,281,110,88%,84%,39%
123800,Ranui Domain,Waitemata,Pacific Peoples,676,Masked,620,396,143,>95%,92%,36%
123900,Beach Haven South,Waitemata,Maori,169,Masked,Masked,122,71,>95%,>95%,58%
123900,Beach Haven South,Waitemata,Pacific Peoples,82,Masked,Masked,53,29,>95%,>95%,55%
124000,Glenfield Central,Waitemata,Maori,167,Masked,157,120,51,>95%,94%,42%
124000,Glenfield Central,Waitemata,Pacific Peoples,93,Masked,88,69,40,>95%,95%,58%
124100,Piha,Waitemata,Maori,94,83,79,67,31,88%,84%,46%
124200,Ranui South West,Waitemata,Maori,375,331,310,181,71,88%,83%,39%
124200,Ranui South West,Waitemata,Pacific Peoples,476,Masked,442,326,136,>95%,93%,42%
124300,Henderson Larnoch,Waitemata,Maori,607,561,535,281,104,92%,88%,37%
124300,Henderson Larnoch,Waitemata,Pacific Peoples,912,864,841,583,222,95%,92%,38%
