Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Kawerau District,5-11,806,183,45,NA,NA,NA,NA,23%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,353","87,177","82,381","61,666","30,207","13,420",94%,93%,75%,44%
Lower Hutt City,5-11,"10,256","6,082","3,710",NA,NA,NA,NA,59%,36%,NA,NA
Mackenzie District,12+,"4,339","3,881","3,828","3,649","2,594","1,533",552,89%,88%,71%,36%
Mackenzie District,5-11,379,170,75,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,290","24,941","23,404","16,538","10,079","3,979",93%,92%,71%,39%
Manawatu District,5-11,"3,203","1,529",815,NA,NA,NA,NA,48%,25%,NA,NA
Marlborough District,12+,"44,461","41,324","40,761","38,877","28,782","18,272","7,893",93%,92%,74%,43%
Marlborough District,5-11,"4,100","2,020","1,073",NA,NA,NA,NA,49%,26%,NA,NA
Masterton District,12+,"23,589","22,071","21,654","20,552","14,413","9,437","3,847",94%,92%,70%,41%
Masterton District,5-11,"2,356","1,053",435,NA,NA,NA,NA,45%,18%,NA,NA
Matamata-Piako District,12+,"30,444","28,204","27,696","26,270","16,941","11,192","3,993",93%,91%,64%,36%
Matamata-Piako District,5-11,"3,427","1,249",501,NA,NA,NA,NA,36%,15%,NA,NA
Napier City,12+,"56,989","52,524","51,640","48,838","34,642","21,582","8,386",92%,91%,71%,39%
Napier City,5-11,"5,980","2,688","1,234",NA,NA,NA,NA,45%,21%,NA,NA
Nelson City,12+,"47,440","43,923","43,269","41,097","30,558","18,521","8,278",93%,91%,74%,45%
Nelson City,5-11,"4,405","2,414","1,214",NA,NA,NA,NA,55%,28%,NA,NA
New Plymouth District,12+,"71,868","66,662","65,623","61,880","42,646","26,031","9,572",93%,91%,69%,37%
New Plymouth District,5-11,"8,328","3,654","2,041",NA,NA,NA,NA,44%,25%,NA,NA
Opotiki District,12+,"7,637","6,783","6,498","6,170","3,889","2,703",899,89%,85%,63%,33%
Opotiki District,5-11,987,233,82,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,397","7,230","6,789","3,988","2,520",821,89%,87%,59%,33%
Otorohanga District,5-11,"1,097",300,122,NA,NA,NA,NA,27%,11%,NA,NA
Palmerston North City,12+,"74,774","70,580","69,698","65,723","48,124","23,641","10,694",94%,93%,73%,45%
Palmerston North City,5-11,"8,389","4,467","2,570",NA,NA,NA,NA,53%,31%,NA,NA
Porirua City,12+,"50,123","46,974","46,246","43,236","31,343","15,498","6,749",94%,92%,72%,44%
Porirua City,5-11,"6,610","3,609","1,900",NA,NA,NA,NA,55%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,809","39,150","37,496","23,853","10,125","3,701",94%,92%,64%,37%
Queenstown-Lakes District,5-11,"3,481","1,948","1,090",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,882","11,674","11,073","7,795","5,010","1,851",91%,89%,70%,37%
Rangitikei District,5-11,"1,496",633,273,NA,NA,NA,NA,42%,18%,NA,NA
Rotorua District,12+,"61,354","55,490","54,238","50,960","33,615","19,238","7,467",90%,88%,66%,39%
Rotorua District,5-11,"7,635","3,004","1,375",NA,NA,NA,NA,39%,18%,NA,NA
Ruapehu District,12+,"10,400","8,911","8,625","8,176","5,207","3,391","1,203",86%,83%,64%,35%
Ruapehu District,5-11,"1,369",381,186,NA,NA,NA,NA,28%,14%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,783","41,052","20,538","7,652",>95%,>95%,75%,37%
Selwyn District,5-11,"7,241","4,730","2,889",NA,NA,NA,NA,65%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,388","19,215","12,401","7,871","2,538",>95%,93%,65%,32%
South Taranaki District,5-11,"2,758","1,046",527,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,171","17,703","16,682","10,118","6,549","2,372",89%,87%,61%,36%
South Waikato District,5-11,"2,641",862,367,NA,NA,NA,NA,33%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,548","9,402","8,945","6,745","4,428","1,908",95%,93%,75%,43%
South Wairarapa District,5-11,975,522,264,NA,NA,NA,NA,54%,27%,NA,NA
Southland District,12+,"25,968","23,413","23,026","21,733","14,596","8,802","2,639",90%,89%,67%,30%
Southland District,5-11,"2,981","1,233",621,NA,NA,NA,NA,41%,21%,NA,NA
Stratford District,12+,"7,772","7,220","7,082","6,677","4,406","2,823",946,93%,91%,66%,34%
Stratford District,5-11,960,425,215,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","13,992","13,686","12,905","8,707","5,737","1,974",90%,88%,67%,34%
Tararua District,5-11,"1,887",703,334,NA,NA,NA,NA,37%,18%,NA,NA
Tasman District,12+,"49,220","44,977","44,202","42,058","30,078","20,072","8,300",91%,90%,72%,41%
Tasman District,5-11,"4,677","1,994","1,095",NA,NA,NA,NA,43%,23%,NA,NA
Taupo District,12+,"33,772","30,719","30,119","28,549","18,691","12,344","4,894",91%,89%,65%,40%
Taupo District,5-11,"3,743","1,330",620,NA,Masked,NA,NA,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,294","118,239","112,103","74,844","44,418","17,888",92%,90%,67%,40%
Tauranga City,5-11,"14,283","6,131","2,694",NA,NA,NA,NA,43%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,807","24,398","23,497","17,440","13,465","5,543",90%,89%,74%,41%
Thames-Coromandel District,5-11,"2,163",795,409,NA,NA,NA,NA,37%,19%,NA,NA
Timaru District,12+,"42,396","39,195","38,698","36,681","27,307","17,658","6,656",92%,91%,74%,38%
Timaru District,5-11,"4,148","2,088",980,NA,NA,NA,NA,50%,24%,NA,NA
Unknown,12+,"129,781","52,424","50,616","47,699","28,659","13,054","4,678",40%,39%,60%,36%
Unknown,5-11,"9,527","2,536","1,335",NA,NA,NA,NA,27%,14%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,429","34,352","26,018","13,792","6,206",>95%,95%,76%,45%
Upper Hutt City,5-11,"4,202","2,633","1,569",NA,NA,NA,NA,63%,37%,NA,NA
Waikato District,12+,"67,392","63,119","61,994","58,012","37,953","21,409","7,202",94%,92%,65%,34%
Waikato District,5-11,"8,729","3,983","1,879",NA,NA,NA,NA,46%,22%,NA,NA
Waimakariri District,12+,"55,522","52,509","51,928","49,210","35,908","23,120","9,010",95%,94%,73%,39%
Waimakariri District,5-11,"5,443","2,692","1,576",NA,NA,NA,NA,49%,29%,NA,NA
Waimate District,12+,"7,173","6,453","6,358","6,051","4,318","2,923",969,90%,89%,71%,33%
Waimate District,5-11,667,264,124,NA,NA,NA,NA,40%,19%,NA,NA
Waipa District,12+,"48,972","46,067","45,461","42,696","29,790","17,961","6,888",94%,93%,70%,38%
Waipa District,5-11,"5,522","2,702","1,450",NA,NA,NA,NA,49%,26%,NA,NA
Wairoa District,12+,"6,748","5,982","5,763","5,437","3,628","2,366","1,035",89%,85%,67%,44%
Wairoa District,5-11,876,253,81,NA,NA,NA,NA,29%,9%,NA,NA
Waitaki District,12+,"19,993","18,427","18,152","17,189","12,519","8,312","2,988",92%,91%,73%,36%
Waitaki District,5-11,"1,935",917,406,NA,NA,NA,NA,47%,21%,NA,NA
Waitomo District,12+,"8,061","7,209","7,002","6,442","3,992","2,571",651,89%,87%,62%,25%
Waitomo District,5-11,937,314,131,NA,NA,NA,NA,34%,14%,NA,NA
Wellington City,12+,"188,336",Masked,Masked,"170,358","139,692","54,227","27,081",>95%,>95%,82%,50%
Wellington City,5-11,"15,438","11,210","8,212",NA,NA,NA,NA,73%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,321","43,474","41,392","27,285","18,462","6,812",89%,87%,66%,37%
Western Bay of Plenty District,5-11,"4,834","1,722",707,NA,NA,NA,NA,36%,15%,NA,NA
Westland District,12+,"7,310","6,730","6,633","6,326","4,418","2,903",897,92%,91%,70%,31%
Westland District,5-11,670,263,134,NA,NA,NA,NA,39%,20%,NA,NA
Whakatane District,12+,"31,208","27,399","26,656","25,224","16,149","10,770","3,734",88%,85%,64%,35%
Whakatane District,5-11,"3,832","1,186",568,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,144","36,473","34,551","24,784","16,155","7,061",90%,88%,72%,44%
Whanganui District,5-11,"4,457","1,670",884,NA,NA,NA,NA,37%,20%,NA,NA
Whangarei District,12+,"83,037","73,992","72,421","68,495","47,718","30,370","11,562",89%,87%,70%,38%
Whangarei District,5-11,"9,559","3,526","1,552",NA,NA,NA,NA,37%,16%,NA,NA
