Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Lower Hutt City,5-11,"10,443","6,613","3,074",NA,NA,63%,29%,NA
Mackenzie District,12+,"4,131","3,882","3,840","3,609","2,557",94%,93%,71%
Mackenzie District,5-11,387,190,69,NA,NA,49%,18%,NA
Manawatu District,12+,"25,552",Masked,Masked,"22,695","16,129",>95%,>95%,71%
Manawatu District,5-11,"3,183","1,676",722,NA,NA,53%,23%,NA
Marlborough District,12+,"41,124",Masked,Masked,"37,896","28,278",>95%,>95%,75%
Marlborough District,5-11,"4,156","2,275","1,047",NA,NA,55%,25%,NA
Masterton District,12+,"22,673",Masked,Masked,"19,934","14,116",>95%,>95%,71%
Masterton District,5-11,"2,400","1,144",394,NA,NA,48%,16%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,547","25,416","16,511",>95%,94%,65%
Matamata-Piako District,5-11,"3,307","1,381",425,NA,NA,42%,13%,NA
Napier City,12+,"54,392",Masked,"51,545","47,419","33,803",>95%,95%,71%
Napier City,5-11,"6,159","2,949","1,081",NA,NA,48%,18%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,009","29,625",>95%,>95%,74%
Nelson City,5-11,"4,453","2,657","1,049",NA,NA,60%,24%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"59,667","41,235",>95%,>95%,69%
New Plymouth District,5-11,"8,373","3,992","1,754",NA,NA,48%,21%,NA
Opotiki District,12+,"7,121","6,656","6,384","5,784","3,703",93%,90%,64%
Opotiki District,5-11,967,258,61,NA,NA,27%,6%,NA
Otorohanga District,12+,"7,960","7,378","7,235","6,550","3,886",93%,91%,59%
Otorohanga District,5-11,"1,086",347,115,NA,NA,32%,11%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"63,882","46,705",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,858","2,267",NA,NA,58%,27%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,027","30,271",>95%,>95%,72%
Porirua City,5-11,"6,751","3,887","1,530",NA,NA,58%,23%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,460","22,748",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,128",906,NA,NA,62%,26%,NA
Rangitikei District,12+,"12,699","11,813","11,616","10,713","7,591",93%,91%,71%
Rangitikei District,5-11,"1,491",682,243,NA,NA,46%,16%,NA
Rotorua District,12+,"58,081",Masked,"54,408","49,137","32,677",>95%,94%,67%
Rotorua District,5-11,"7,718","3,318","1,164",NA,NA,43%,15%,NA
Ruapehu District,12+,"9,936","8,832","8,570","7,785","5,035",89%,86%,65%
Ruapehu District,5-11,"1,366",403,134,NA,NA,30%,10%,NA
Selwyn District,12+,"52,972",Masked,Masked,"52,422","39,266",>95%,>95%,75%
Selwyn District,5-11,"6,904","4,995","2,506",NA,NA,72%,36%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,193","11,908",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,195",507,NA,NA,44%,19%,NA
South Waikato District,12+,"19,628","18,169","17,745","16,009","9,749",93%,90%,61%
South Waikato District,5-11,"2,626",943,269,NA,NA,36%,10%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,734","6,631",>95%,>95%,76%
South Wairarapa District,5-11,997,563,225,NA,NA,56%,23%,NA
Southland District,12+,"25,064","23,407","23,081","21,094","14,301",93%,92%,68%
Southland District,5-11,"3,087","1,368",550,NA,NA,44%,18%,NA
Stratford District,12+,"7,475","7,092","6,969","6,344","4,294",95%,93%,68%
Stratford District,5-11,993,476,193,NA,NA,48%,19%,NA
Tararua District,12+,"15,002","13,959","13,693","12,478","8,469",93%,91%,68%
Tararua District,5-11,"1,897",768,303,NA,NA,40%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"40,397","28,987",>95%,>95%,72%
Tasman District,5-11,"4,679","2,187","1,020",NA,NA,47%,22%,NA
Taupo District,12+,"32,180","30,519","29,990","27,578","18,143",95%,93%,66%
Taupo District,5-11,"3,743","1,481",544,NA,NA,40%,15%,NA
Tauranga City,12+,"121,578",Masked,Masked,"108,675","72,434",>95%,>95%,67%
Tauranga City,5-11,"14,189","6,670","2,124",NA,NA,47%,15%,NA
Thames-Coromandel District,12+,"26,265","24,758","24,377","22,985","17,130",94%,93%,75%
Thames-Coromandel District,5-11,"2,164",865,356,NA,NA,40%,16%,NA
Timaru District,12+,"41,091",Masked,"38,783","35,914","26,943",>95%,94%,75%
Timaru District,5-11,"4,189","2,299",908,NA,NA,55%,22%,NA
Unknown,12+,"129,607","61,241","59,458","55,005","33,938",47%,46%,62%
Unknown,5-11,"11,053","2,702","1,152",NA,NA,24%,10%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,398","25,197",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,859","1,356",NA,NA,67%,32%,NA
Waikato District,12+,"63,214",Masked,Masked,"55,689","36,237",>95%,>95%,65%
Waikato District,5-11,"8,689","4,313","1,541",NA,NA,50%,18%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"47,486","34,952",>95%,>95%,74%
Waimakariri District,5-11,"5,436","2,952","1,512",NA,NA,54%,28%,NA
Waimate District,12+,"6,936","6,504","6,426","5,940","4,308",94%,93%,73%
Waimate District,5-11,693,302,115,NA,NA,44%,17%,NA
Waipa District,12+,"46,630",Masked,Masked,"41,438","28,854",>95%,>95%,70%
Waipa District,5-11,"5,531","2,980","1,332",NA,NA,54%,24%,NA
Wairoa District,12+,"6,303","5,957","5,751","5,187","3,489",95%,91%,67%
Wairoa District,5-11,896,279,65,NA,NA,31%,7%,NA
Waitaki District,12+,"19,318",Masked,"18,173","16,802","12,287",>95%,94%,73%
Waitaki District,5-11,"2,012",997,350,NA,NA,50%,17%,NA
Waitomo District,12+,"7,758","7,154","6,983","6,319","3,867",92%,90%,61%
Waitomo District,5-11,967,339,104,NA,NA,35%,11%,NA
Wellington City,12+,"178,488",Masked,Masked,"167,852","136,284",>95%,>95%,81%
Wellington City,5-11,"16,089","12,091","7,302",NA,NA,75%,45%,NA
Western Bay of Plenty District,12+,"45,656",Masked,"43,354","40,099","26,398",>95%,95%,66%
Western Bay of Plenty District,5-11,"4,861","1,906",583,NA,NA,39%,12%,NA
Westland District,12+,"7,098","6,707","6,624","6,142","4,350",94%,93%,71%
Westland District,5-11,670,297,128,NA,NA,44%,19%,NA
Whakatane District,12+,"30,314","27,265","26,586","24,130","15,608",90%,88%,65%
Whakatane District,5-11,"3,821","1,307",489,NA,NA,34%,13%,NA
Whanganui District,12+,"39,880","37,167","36,571","33,638","24,256",93%,92%,72%
Whanganui District,5-11,"4,481","1,837",826,NA,NA,41%,18%,NA
Whangarei District,12+,"78,668","73,624","72,278","66,299","46,024",94%,92%,69%
Whangarei District,5-11,"9,594","3,858","1,370",NA,NA,40%,14%,NA
