SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
100700,Kaitaia East,Northland,Pacific Peoples,12+,59,53,52,49,26,7,NA,90%,88%,53%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,937","1,602","1,510","1,357",638,367,77,83%,78%,47%,21%
100800,Kaitaia West,Northland,Maori,5-11,370,82,29,NA,NA,NA,NA,22%,8%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,105,96,93,87,46,22,7,91%,89%,53%,32%
100900,Rangitihi,Northland,Maori,12+,411,339,327,297,147,80,12,82%,80%,49%,15%
100900,Rangitihi,Northland,Maori,5-11,56,8,Masked,NA,NA,NA,NA,14%,5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,322,245,232,215,107,69,13,76%,72%,50%,19%
101000,Oruru-Parapara,Northland,Maori,5-11,66,14,6,NA,NA,NA,NA,21%,9%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,584,490,466,431,244,157,38,84%,80%,57%,24%
101100,Taumarumaru,Northland,Maori,5-11,136,33,13,NA,NA,NA,NA,24%,10%,NA,NA
101100,Taumarumaru,Northland,Pacific Peoples,12+,40,35,34,31,15,13,Masked,88%,85%,48%,38%
101200,Herekino-Takahue,Northland,Maori,12+,457,360,339,312,159,116,21,79%,74%,51%,18%
101200,Herekino-Takahue,Northland,Maori,5-11,82,25,Masked,NA,NA,NA,NA,30%,<5%,NA,NA
101300,Peria,Northland,Maori,12+,355,261,251,234,109,67,9,74%,71%,47%,13%
101300,Peria,Northland,Maori,5-11,90,16,6,NA,NA,NA,NA,18%,7%,NA,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,329,244,231,206,113,75,22,74%,70%,55%,29%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,68,19,7,NA,NA,NA,NA,28%,10%,NA,NA
101500,Whakapaku,Northland,Maori,12+,271,206,195,181,102,69,25,76%,72%,56%,36%
101500,Whakapaku,Northland,Maori,5-11,60,18,Masked,NA,NA,NA,NA,30%,7%,NA,NA
101600,Hokianga North,Northland,Maori,12+,690,566,548,500,336,234,40,82%,79%,67%,17%
101600,Hokianga North,Northland,Maori,5-11,123,35,10,NA,NA,NA,NA,28%,8%,NA,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,378,289,284,267,163,121,36,76%,75%,61%,30%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,49,13,Masked,NA,NA,NA,NA,27%,6%,NA,NA
101800,Whakarara,Northland,Maori,12+,578,485,468,436,278,167,58,84%,81%,64%,35%
101800,Whakarara,Northland,Maori,5-11,68,33,19,NA,NA,NA,NA,49%,28%,NA,NA
101900,Kaeo,Northland,Maori,12+,487,381,359,341,193,120,51,78%,74%,57%,42%
101900,Kaeo,Northland,Maori,5-11,111,37,17,NA,NA,NA,NA,33%,15%,NA,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,657,458,429,406,218,167,42,70%,65%,54%,25%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,124,14,9,NA,NA,NA,NA,11%,7%,NA,NA
102100,Hokianga South,Northland,Maori,12+,725,540,512,477,295,195,68,74%,71%,62%,35%
102100,Hokianga South,Northland,Maori,5-11,104,28,13,NA,NA,NA,NA,27%,12%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,269,215,206,184,95,60,12,80%,77%,52%,20%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,65,19,Masked,NA,NA,NA,NA,29%,<5%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,12+,57,53,51,50,32,6,Masked,93%,89%,64%,50%
102300,Okaihau,Northland,Maori,12+,328,267,254,230,111,69,22,81%,77%,48%,32%
102300,Okaihau,Northland,Maori,5-11,62,13,Masked,NA,NA,NA,NA,21%,6%,NA,NA
102400,Rangitane-Purerua,Northland,Maori,12+,369,311,294,266,150,106,34,84%,80%,56%,32%
102400,Rangitane-Purerua,Northland,Maori,5-11,60,11,Masked,NA,NA,NA,NA,18%,8%,NA,NA
102500,Waipapa,Northland,Maori,12+,142,117,110,102,52,29,16,82%,77%,51%,55%
102600,Puketotara,Northland,Maori,12+,242,200,194,171,97,54,16,83%,80%,57%,30%
102600,Puketotara,Northland,Maori,5-11,53,23,Masked,NA,NA,NA,NA,43%,6%,NA,NA
102600,Puketotara,Northland,Pacific Peoples,12+,41,Masked,Masked,39,19,9,NA,>95%,>95%,49%,0%
102700,Waima Forest,Northland,Maori,12+,804,599,574,535,272,179,36,75%,71%,51%,20%
102700,Waima Forest,Northland,Maori,5-11,129,21,7,NA,NA,NA,NA,16%,5%,NA,NA
102800,Riverview,Northland,Maori,12+,251,224,218,194,113,64,17,89%,87%,58%,27%
102800,Riverview,Northland,Maori,5-11,52,21,Masked,NA,NA,NA,NA,40%,8%,NA,NA
102900,Waipoua Forest,Northland,Maori,12+,653,508,488,468,299,210,75,78%,75%,64%,36%
102900,Waipoua Forest,Northland,Maori,5-11,99,14,Masked,NA,NA,NA,NA,14%,5%,NA,NA
103000,Kerikeri Central,Northland,Maori,12+,474,405,390,358,166,76,22,85%,82%,46%,29%
103000,Kerikeri Central,Northland,Maori,5-11,101,29,11,NA,NA,NA,NA,29%,11%,NA,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,98,Masked,Masked,104,30,11,Masked,>95%,>95%,29%,36%
103100,Kerikeri South,Northland,Maori,12+,254,203,193,181,108,65,24,80%,76%,60%,37%
103100,Kerikeri South,Northland,Maori,5-11,51,19,Masked,NA,NA,NA,NA,37%,10%,NA,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,419,351,334,310,178,116,17,84%,80%,57%,15%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,75,13,7,NA,NA,NA,NA,17%,9%,NA,NA
103300,Puketona-Waitangi,Northland,Maori,12+,282,240,235,223,138,85,21,85%,83%,62%,25%
103300,Puketona-Waitangi,Northland,Maori,5-11,43,22,Masked,NA,NA,NA,NA,51%,7%,NA,NA
103400,Ngapuhi,Northland,Maori,12+,998,780,741,689,342,227,49,78%,74%,50%,22%
103400,Ngapuhi,Northland,Maori,5-11,167,34,8,NA,NA,NA,NA,20%,<5%,NA,NA
103500,Kaikohe,Northland,Maori,12+,"2,803","2,184","2,065","1,904",933,555,145,78%,74%,49%,26%
103500,Kaikohe,Northland,Maori,5-11,613,149,53,NA,NA,NA,NA,24%,9%,NA,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,111,100,98,94,40,23,7,90%,88%,43%,30%
103600,Pakaraka,Northland,Maori,12+,153,133,128,119,63,34,10,87%,84%,53%,29%
103700,Haruru,Northland,Maori,12+,228,196,193,179,95,49,14,86%,85%,53%,29%
103700,Haruru,Northland,Maori,5-11,59,27,6,NA,NA,NA,NA,46%,10%,NA,NA
103800,Russell,Northland,Maori,12+,138,124,123,115,82,58,22,90%,89%,71%,38%
103900,Paihia,Northland,Maori,12+,513,419,402,380,184,116,34,82%,78%,48%,29%
103900,Paihia,Northland,Maori,5-11,74,16,Masked,NA,NA,NA,NA,22%,7%,NA,NA
104000,Mataraua Forest,Northland,Maori,12+,347,258,240,218,119,83,25,74%,69%,55%,30%
104000,Mataraua Forest,Northland,Maori,5-11,53,10,Masked,NA,NA,NA,NA,19%,9%,NA,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,856,655,631,573,289,178,38,77%,74%,50%,21%
104100,Matawaia-Taumarere,Northland,Maori,5-11,163,42,7,NA,NA,NA,NA,26%,<5%,NA,NA
104200,Russell Peninsula,Northland,Maori,12+,84,64,64,60,43,25,10,76%,76%,72%,40%
104300,Opua (Far North District),Northland,Maori,12+,179,133,127,119,65,49,11,74%,71%,55%,22%
104400,Russell Forest-Rawhiti,Northland,Maori,12+,414,354,340,320,197,149,46,86%,82%,62%,31%
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,66,10,Masked,NA,NA,NA,NA,15%,<5%,NA,NA
104500,Moerewa,Northland,Maori,12+,"1,210",982,939,860,438,253,74,81%,78%,51%,29%
104500,Moerewa,Northland,Maori,5-11,229,32,8,NA,NA,NA,NA,14%,<5%,NA,NA
104600,Kawakawa,Northland,Maori,12+,828,707,670,613,305,172,42,85%,81%,50%,24%
104600,Kawakawa,Northland,Maori,5-11,150,36,10,NA,NA,NA,NA,24%,7%,NA,NA
104700,Maromaku,Northland,Maori,12+,271,203,192,175,92,48,9,75%,71%,53%,19%
104700,Maromaku,Northland,Maori,5-11,76,22,Masked,NA,NA,NA,NA,29%,5%,NA,NA
104800,Mangakahia-Hukerenui,Northland,Maori,12+,628,530,509,460,238,144,45,84%,81%,52%,31%
104800,Mangakahia-Hukerenui,Northland,Maori,5-11,130,28,Masked,NA,NA,NA,NA,22%,<5%,NA,NA
104900,Whangaruru,Northland,Maori,12+,706,573,559,515,284,184,32,81%,79%,55%,17%
104900,Whangaruru,Northland,Maori,5-11,138,42,7,NA,NA,NA,NA,30%,5%,NA,NA
105100,Matarau,Northland,Maori,12+,401,330,322,286,155,77,23,82%,80%,54%,30%
105100,Matarau,Northland,Maori,5-11,88,27,11,NA,NA,NA,NA,31%,12%,NA,NA
105200,Hikurangi,Northland,Maori,12+,499,416,396,355,175,82,15,83%,79%,49%,18%
105200,Hikurangi,Northland,Maori,5-11,132,44,18,NA,NA,NA,NA,33%,14%,NA,NA
105300,Kauri,Northland,Maori,12+,245,208,205,189,115,64,14,85%,84%,61%,22%
105300,Kauri,Northland,Maori,5-11,58,16,Masked,NA,NA,NA,NA,28%,9%,NA,NA
105400,Maungatapere,Northland,Maori,12+,459,396,381,350,213,99,29,86%,83%,61%,29%
105400,Maungatapere,Northland,Maori,5-11,102,35,15,NA,NA,NA,NA,34%,15%,NA,NA
105500,Kamo West,Northland,Maori,12+,428,372,366,321,185,104,36,87%,86%,58%,35%
105500,Kamo West,Northland,Maori,5-11,91,42,17,NA,NA,NA,NA,46%,19%,NA,NA
105600,Matapouri-Tutukaka,Northland,Maori,12+,237,199,192,175,102,68,12,84%,81%,58%,18%
105700,Kiripaka,Northland,Maori,12+,202,165,158,147,75,53,18,82%,78%,51%,34%
105800,Kamo East,Northland,Maori,12+,"1,002",855,818,745,334,133,30,85%,82%,45%,23%
105800,Kamo East,Northland,Maori,5-11,241,70,18,NA,NA,NA,NA,29%,7%,NA,NA
105800,Kamo East,Northland,Pacific Peoples,12+,99,82,81,75,42,14,Masked,83%,82%,56%,14%
105900,Granfield Reserve,Northland,Maori,12+,485,425,407,378,201,108,30,88%,84%,53%,28%
105900,Granfield Reserve,Northland,Maori,5-11,88,28,9,NA,NA,NA,NA,32%,10%,NA,NA
106000,Kamo Central,Northland,Maori,12+,432,379,366,336,177,95,30,88%,85%,53%,32%
106000,Kamo Central,Northland,Maori,5-11,96,38,15,NA,NA,NA,NA,40%,16%,NA,NA
106100,Whau Valley,Northland,Maori,12+,617,530,515,475,262,119,33,86%,83%,55%,28%
106100,Whau Valley,Northland,Maori,5-11,126,42,12,NA,NA,NA,NA,33%,10%,NA,NA
106100,Whau Valley,Northland,Pacific Peoples,12+,48,43,42,39,25,11,Masked,90%,88%,64%,27%
106200,Tikipunga North,Northland,Maori,12+,"1,041",856,820,744,380,197,58,82%,79%,51%,29%
106200,Tikipunga North,Northland,Maori,5-11,255,75,17,NA,NA,NA,NA,29%,7%,NA,NA
106200,Tikipunga North,Northland,Pacific Peoples,12+,84,72,71,68,39,12,Masked,86%,85%,57%,33%
106300,Pukenui,Northland,Maori,12+,185,162,159,138,91,53,18,88%,86%,66%,34%
106300,Pukenui,Northland,Maori,5-11,57,28,7,NA,NA,NA,NA,49%,12%,NA,NA
106400,Otangarei,Northland,Maori,12+,"1,327","1,053",969,900,404,208,48,79%,73%,45%,23%
106400,Otangarei,Northland,Maori,5-11,291,45,9,NA,NA,NA,NA,15%,<5%,NA,NA
106400,Otangarei,Northland,Pacific Peoples,12+,52,43,41,38,19,13,Masked,83%,79%,50%,23%
106500,Tikipunga South,Northland,Maori,12+,"1,263","1,082","1,041",940,485,262,72,86%,82%,52%,27%
106500,Tikipunga South,Northland,Maori,5-11,286,99,21,NA,NA,NA,NA,35%,7%,NA,NA
106500,Tikipunga South,Northland,Pacific Peoples,12+,91,Masked,84,82,40,18,6,>95%,92%,49%,33%
106600,Kensington (Whangarei District),Northland,Maori,12+,762,629,609,573,318,168,56,83%,80%,55%,33%
106600,Kensington (Whangarei District),Northland,Maori,5-11,115,21,10,NA,NA,NA,NA,18%,9%,NA,NA
106600,Kensington (Whangarei District),Northland,Pacific Peoples,12+,67,Masked,63,59,36,12,Masked,>95%,94%,61%,25%
106700,Abbey Caves-Glenbervie,Northland,Maori,12+,145,121,116,110,61,30,8,83%,80%,55%,27%
106800,Mairtown,Northland,Maori,12+,544,463,455,423,264,141,36,85%,84%,62%,26%
106800,Mairtown,Northland,Maori,5-11,95,38,12,NA,NA,NA,NA,40%,13%,NA,NA
106800,Mairtown,Northland,Pacific Peoples,12+,54,48,47,44,27,9,Masked,89%,87%,61%,33%
106900,Maunu-Horahora,Northland,Maori,12+,547,474,463,421,241,125,35,87%,85%,57%,28%
106900,Maunu-Horahora,Northland,Maori,5-11,98,43,16,NA,NA,NA,NA,44%,16%,NA,NA
106900,Maunu-Horahora,Northland,Pacific Peoples,12+,43,40,39,37,29,11,Masked,93%,91%,78%,27%
107000,Woodhill-Vinetown,Northland,Maori,12+,728,589,563,522,299,150,55,81%,77%,57%,37%
107000,Woodhill-Vinetown,Northland,Maori,5-11,108,31,11,NA,NA,NA,NA,29%,10%,NA,NA
107000,Woodhill-Vinetown,Northland,Pacific Peoples,12+,78,74,73,68,36,8,Masked,95%,94%,53%,38%
107100,Whangarei Central,Northland,Maori,12+,270,234,226,214,120,66,16,87%,84%,56%,24%
107200,Riverside,Northland,Maori,12+,427,360,352,335,176,94,23,84%,82%,53%,24%
107200,Riverside,Northland,Maori,5-11,85,31,6,NA,NA,NA,NA,36%,7%,NA,NA
107200,Riverside,Northland,Pacific Peoples,12+,45,40,40,36,20,5,Masked,89%,89%,56%,20%
107300,Raumanga,Northland,Maori,12+,"1,496","1,227","1,151","1,043",459,214,55,82%,77%,44%,26%
107300,Raumanga,Northland,Maori,5-11,350,94,23,NA,NA,NA,NA,27%,7%,NA,NA
107300,Raumanga,Northland,Pacific Peoples,12+,108,98,92,79,41,16,8,91%,85%,52%,50%
107400,Tarewa,Northland,Maori,12+,936,750,716,653,326,156,32,80%,76%,50%,21%
107400,Tarewa,Northland,Maori,5-11,220,62,20,NA,NA,NA,NA,28%,9%,NA,NA
107400,Tarewa,Northland,Pacific Peoples,12+,44,41,40,34,16,7,Masked,93%,91%,47%,14%
107500,Morningside (Whangarei District),Northland,Maori,12+,788,671,641,594,306,146,48,85%,81%,52%,33%
107500,Morningside (Whangarei District),Northland,Maori,5-11,131,47,18,NA,NA,NA,NA,36%,14%,NA,NA
107500,Morningside (Whangarei District),Northland,Pacific Peoples,12+,50,46,45,43,21,8,Masked,92%,90%,49%,25%
107600,Ngunguru,Northland,Maori,12+,164,137,136,125,75,45,12,84%,83%,60%,27%
107600,Ngunguru,Northland,Maori,5-11,44,15,Masked,NA,NA,NA,NA,34%,11%,NA,NA
107700,Otaika-Portland,Northland,Maori,12+,302,246,234,216,129,80,15,81%,77%,60%,19%
107700,Otaika-Portland,Northland,Maori,5-11,57,18,10,NA,NA,NA,NA,32%,18%,NA,NA
107800,Oakleigh-Mangapai,Northland,Maori,12+,268,223,221,197,103,58,18,83%,82%,52%,31%
107800,Oakleigh-Mangapai,Northland,Maori,5-11,54,13,7,NA,NA,NA,NA,24%,13%,NA,NA
108000,Pataua,Northland,Maori,12+,205,158,151,138,66,41,13,77%,74%,48%,32%
108000,Pataua,Northland,Maori,5-11,44,8,Masked,NA,NA,NA,NA,18%,9%,NA,NA
108100,Onerahi Park,Northland,Maori,12+,255,224,220,206,128,65,18,88%,86%,62%,28%
108100,Onerahi Park,Northland,Maori,5-11,47,19,8,NA,NA,NA,NA,40%,17%,NA,NA
108200,Sherwood Rise,Northland,Maori,12+,669,571,549,499,259,134,34,85%,82%,52%,25%
108200,Sherwood Rise,Northland,Maori,5-11,154,39,14,NA,NA,NA,NA,25%,9%,NA,NA
108200,Sherwood Rise,Northland,Pacific Peoples,12+,42,39,38,35,16,7,Masked,93%,90%,46%,14%
108300,Onerahi,Northland,Maori,12+,608,494,471,423,211,93,25,81%,77%,50%,27%
108300,Onerahi,Northland,Maori,5-11,152,38,17,NA,NA,NA,NA,25%,11%,NA,NA
108300,Onerahi,Northland,Pacific Peoples,12+,50,40,40,38,17,7,Masked,80%,80%,45%,43%
108500,Parua Bay,Northland,Maori,12+,289,260,258,237,153,87,21,90%,89%,65%,24%
108500,Parua Bay,Northland,Maori,5-11,56,27,7,NA,NA,NA,NA,48%,12%,NA,NA
108600,Bream Bay,Northland,Maori,12+,359,300,290,260,141,91,20,84%,81%,54%,22%
108600,Bream Bay,Northland,Maori,5-11,72,18,8,NA,NA,NA,NA,25%,11%,NA,NA
108700,Marsden Bay,Northland,Maori,12+,334,294,288,261,152,78,34,88%,86%,58%,44%
108700,Marsden Bay,Northland,Maori,5-11,82,22,10,NA,NA,NA,NA,27%,12%,NA,NA
108800,Ruakaka,Northland,Maori,12+,643,560,540,494,258,141,45,87%,84%,52%,32%
108800,Ruakaka,Northland,Maori,5-11,143,44,9,NA,NA,NA,NA,31%,6%,NA,NA
108800,Ruakaka,Northland,Pacific Peoples,12+,49,44,44,40,29,12,Masked,90%,90%,72%,33%
108900,Bream Head,Northland,Maori,12+,92,81,81,77,56,36,22,88%,88%,73%,61%
109000,Waipu,Northland,Maori,12+,321,259,253,233,133,92,31,81%,79%,57%,34%
109000,Waipu,Northland,Maori,5-11,54,13,6,NA,NA,NA,NA,24%,11%,NA,NA
109100,Kaipara Coastal,Northland,Maori,12+,908,673,636,596,299,188,38,74%,70%,50%,20%
109100,Kaipara Coastal,Northland,Maori,5-11,174,41,13,NA,NA,NA,NA,24%,7%,NA,NA
109100,Kaipara Coastal,Northland,Pacific Peoples,12+,65,51,50,46,15,10,6,78%,77%,33%,60%
109200,Maungaru,Northland,Maori,12+,269,228,221,203,101,56,14,85%,82%,50%,25%
109200,Maungaru,Northland,Maori,5-11,59,19,Masked,NA,NA,NA,NA,32%,7%,NA,NA
109300,Dargaville,Northland,Maori,12+,"1,375","1,091","1,020",953,424,254,68,79%,74%,44%,27%
109300,Dargaville,Northland,Maori,5-11,275,48,21,NA,NA,NA,NA,17%,8%,NA,NA
109300,Dargaville,Northland,Pacific Peoples,12+,219,195,189,176,75,29,6,89%,86%,43%,21%
109300,Dargaville,Northland,Pacific Peoples,5-11,46,11,Masked,NA,NA,NA,NA,24%,<5%,NA,NA
109400,Ruawai-Matakohe,Northland,Maori,12+,492,387,373,345,197,141,33,79%,76%,57%,23%
109400,Ruawai-Matakohe,Northland,Maori,5-11,110,24,9,NA,NA,NA,NA,22%,8%,NA,NA
109500,Otamatea (Kaipara District),Northland,Maori,12+,184,138,133,129,72,42,9,75%,72%,56%,21%
109500,Otamatea (Kaipara District),Northland,Maori,5-11,46,9,Masked,NA,NA,NA,NA,20%,<5%,NA,NA
109600,Maungaturoto,Northland,Maori,12+,190,161,155,142,70,42,8,85%,82%,49%,19%
109600,Maungaturoto,Northland,Maori,5-11,53,17,Masked,NA,NA,NA,NA,32%,6%,NA,NA
109700,Kaiwaka,Northland,Maori,12+,448,331,317,289,139,94,21,74%,71%,48%,22%
109700,Kaiwaka,Northland,Maori,5-11,88,22,Masked,NA,NA,NA,NA,25%,<5%,NA,NA
109800,Mangawhai Rural,Northland,Maori,12+,196,143,140,129,70,44,11,73%,71%,54%,25%
109800,Mangawhai Rural,Northland,Maori,5-11,59,11,7,NA,NA,NA,NA,19%,12%,NA,NA
109800,Mangawhai Rural,Northland,Pacific Peoples,12+,44,35,35,33,18,14,Masked,80%,80%,55%,21%
109900,Mangawhai Heads,Northland,Maori,12+,167,140,135,123,72,38,10,84%,81%,59%,26%
109900,Mangawhai Heads,Northland,Maori,5-11,48,16,6,NA,NA,NA,NA,33%,12%,NA,NA
110100,Mangawhai,Northland,Maori,12+,83,67,66,55,34,23,Masked,81%,80%,62%,22%
110200,Okahukura Peninsula,Waitemata,Maori,12+,186,152,148,124,49,32,9,82%,80%,40%,28%
110200,Okahukura Peninsula,Waitemata,Maori,5-11,48,10,Masked,NA,NA,NA,NA,21%,10%,NA,NA
110400,Cape Rodney,Waitemata,Maori,12+,383,320,317,288,159,96,37,84%,83%,55%,39%
110400,Cape Rodney,Waitemata,Maori,5-11,68,29,20,NA,NA,NA,NA,43%,29%,NA,NA
110400,Cape Rodney,Waitemata,Pacific Peoples,12+,55,44,41,38,21,13,Masked,80%,75%,55%,23%
110500,Wellsford,Waitemata,Maori,12+,297,225,216,201,87,39,10,76%,73%,43%,26%
110500,Wellsford,Waitemata,Maori,5-11,64,13,7,NA,NA,NA,NA,20%,11%,NA,NA
110500,Wellsford,Waitemata,Pacific Peoples,12+,80,68,67,67,26,8,Masked,85%,84%,39%,25%
110700,South Head,Waitemata,Maori,12+,397,336,327,304,152,93,27,85%,82%,50%,29%
110700,South Head,Waitemata,Maori,5-11,85,23,Masked,NA,NA,NA,NA,27%,<5%,NA,NA
110700,South Head,Waitemata,Pacific Peoples,12+,56,Masked,46,44,25,9,Masked,>95%,82%,57%,11%
110800,Kaipara Hills,Waitemata,Maori,12+,269,222,214,191,94,54,10,83%,80%,49%,19%
110800,Kaipara Hills,Waitemata,Maori,5-11,54,14,Masked,NA,NA,NA,NA,26%,9%,NA,NA
110900,Dome Valley-Matakana,Waitemata,Maori,12+,87,66,63,57,30,22,6,76%,72%,53%,27%
111100,Warkworth West,Waitemata,Maori,12+,144,126,123,115,56,27,6,88%,85%,49%,22%
111100,Warkworth West,Waitemata,Pacific Peoples,12+,104,Masked,98,89,59,15,Masked,>95%,94%,66%,33%
111200,Puhoi Valley,Waitemata,Maori,12+,205,174,168,151,72,40,14,85%,82%,48%,35%
111200,Puhoi Valley,Waitemata,Pacific Peoples,12+,79,72,72,66,47,7,Masked,91%,91%,71%,43%
111300,Warkworth East,Waitemata,Maori,12+,202,181,177,162,78,42,14,90%,88%,48%,33%
111300,Warkworth East,Waitemata,Maori,5-11,43,10,6,NA,NA,NA,NA,23%,14%,NA,NA
111300,Warkworth East,Waitemata,Pacific Peoples,12+,195,Masked,Masked,167,104,26,Masked,>95%,>95%,62%,8%
111300,Warkworth East,Waitemata,Pacific Peoples,5-11,49,22,10,NA,NA,NA,NA,45%,20%,NA,NA
111500,Tawharanui Peninsula,Waitemata,Maori,12+,79,71,70,64,46,25,17,90%,89%,72%,68%
111500,Tawharanui Peninsula,Waitemata,Pacific Peoples,12+,69,64,63,62,50,10,Masked,93%,91%,81%,20%
111600,Te Kuru,Waitemata,Maori,12+,152,138,135,125,61,31,14,91%,89%,49%,45%
111700,Snells Beach,Waitemata,Maori,12+,236,217,216,191,111,68,28,92%,92%,58%,41%
111700,Snells Beach,Waitemata,Maori,5-11,45,22,10,NA,NA,NA,NA,49%,22%,NA,NA
111700,Snells Beach,Waitemata,Pacific Peoples,12+,116,Masked,Masked,104,62,14,Masked,>95%,>95%,60%,29%
111800,Barrier Islands,Auckland,Maori,12+,184,160,156,146,96,56,28,87%,85%,66%,50%
111900,Algies Bay-Scotts Landing,Waitemata,Maori,12+,50,45,44,37,21,17,8,90%,88%,57%,47%
112100,Wainui-Waiwera,Waitemata,Maori,12+,108,93,91,88,52,28,10,86%,84%,59%,36%
112200,Parakai,Waitemata,Maori,12+,204,182,175,148,66,33,10,89%,86%,45%,30%
112300,Helensville Rural,Waitemata,Maori,12+,127,115,114,108,63,36,12,91%,90%,58%,33%
112400,Helensville,Waitemata,Maori,12+,413,339,327,300,165,97,29,82%,79%,55%,30%
112400,Helensville,Waitemata,Maori,5-11,89,31,9,NA,NA,NA,NA,35%,10%,NA,NA
112400,Helensville,Waitemata,Pacific Peoples,12+,106,Masked,Masked,105,68,23,10,>95%,>95%,65%,43%
112500,Waitoki,Waitemata,Maori,12+,59,49,49,46,27,13,Masked,83%,83%,59%,31%
112600,Waikoukou Valley,Waitemata,Maori,12+,93,86,84,72,43,21,7,92%,90%,60%,33%
112700,Orewa North,Waitemata,Maori,12+,193,176,174,159,93,51,23,91%,90%,58%,45%
112700,Orewa North,Waitemata,Pacific Peoples,12+,63,57,56,52,35,19,8,90%,89%,67%,42%
112800,Hatfields Beach,Waitemata,Maori,12+,116,97,97,86,52,21,Masked,84%,84%,60%,24%
112900,Orewa South,Waitemata,Maori,12+,133,118,115,106,60,38,20,89%,86%,57%,53%
112900,Orewa South,Waitemata,Pacific Peoples,12+,67,59,59,58,34,17,Masked,88%,88%,59%,29%
113000,Orewa Central,Waitemata,Maori,12+,158,146,144,136,90,57,24,92%,91%,66%,42%
113000,Orewa Central,Waitemata,Pacific Peoples,12+,63,56,56,54,35,18,9,89%,89%,65%,50%
113100,Millwater North,Waitemata,Maori,12+,86,74,73,58,40,14,Masked,86%,85%,69%,36%
113200,Waipatukahu,Waitemata,Maori,12+,159,143,140,131,82,56,14,90%,88%,63%,25%
113300,Millwater South,Waitemata,Maori,12+,140,126,121,104,64,23,9,90%,86%,62%,39%
113400,Dairy Flat North,Waitemata,Maori,12+,163,137,130,121,56,24,8,84%,80%,46%,33%
113400,Dairy Flat North,Waitemata,Pacific Peoples,12+,44,35,34,32,15,7,Masked,80%,77%,47%,43%
113500,Dairy Flat West,Waitemata,Maori,12+,58,47,46,41,24,12,7,81%,79%,59%,58%
