Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Hauraki District,12+,"17,315","15,807","15,513","14,118","9,682",91%,90%,69%
Hauraki District,5-11,"1,785",664,205,NA,NA,37%,11%,NA
Horowhenua District,12+,"28,779",Masked,"27,302","24,787","17,809",>95%,95%,72%
Horowhenua District,5-11,"3,100","1,403",448,NA,NA,45%,14%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,448","6,879",>95%,>95%,73%
Hurunui District,5-11,"1,176",604,250,NA,NA,51%,21%,NA
Invercargill City,12+,"45,867",Masked,"43,426","39,332","28,208",>95%,95%,72%
Invercargill City,5-11,"5,141","2,560",952,NA,NA,50%,19%,NA
Kaikoura District,12+,"3,473","3,192","3,158","2,926","2,182",92%,91%,75%
Kaikoura District,5-11,315,150,63,NA,NA,48%,20%,NA
Kaipara District,12+,"20,170","18,093","17,651","16,190","10,783",90%,88%,67%
Kaipara District,5-11,"2,228",728,229,NA,NA,33%,10%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"41,620","32,897",>95%,>95%,79%
Kapiti Coast District,5-11,"4,658","2,549","1,299",NA,NA,55%,28%,NA
Kawerau District,12+,"6,115","5,521","5,328","4,628","2,879",90%,87%,62%
Kawerau District,5-11,854,214,37,NA,NA,25%,<5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"79,577","59,657",>95%,>95%,75%
Lower Hutt City,5-11,"10,443","6,617","2,815",NA,NA,63%,27%,NA
Mackenzie District,12+,"4,131","3,877","3,835","3,557","2,545",94%,93%,72%
Mackenzie District,5-11,387,189,64,NA,NA,49%,17%,NA
Manawatu District,12+,"25,552",Masked,Masked,"22,375","16,018",>95%,>95%,72%
Manawatu District,5-11,"3,183","1,672",655,NA,NA,53%,21%,NA
Marlborough District,12+,"41,124",Masked,Masked,"37,502","28,160",>95%,>95%,75%
Marlborough District,5-11,"4,156","2,271",984,NA,NA,55%,24%,NA
Masterton District,12+,"22,673",Masked,Masked,"19,707","14,059",>95%,>95%,71%
Masterton District,5-11,"2,400","1,143",363,NA,NA,48%,15%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,559","25,117","16,440",>95%,94%,65%
Matamata-Piako District,5-11,"3,307","1,378",381,NA,NA,42%,12%,NA
Napier City,12+,"54,392",Masked,"51,521","46,845","33,587",>95%,95%,72%
Napier City,5-11,"6,159","2,928",984,NA,NA,48%,16%,NA
Nelson City,12+,"44,831",Masked,Masked,"39,634","29,474",>95%,>95%,74%
Nelson City,5-11,"4,453","2,653",986,NA,NA,60%,22%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"58,867","40,980",>95%,>95%,70%
New Plymouth District,5-11,"8,373","3,983","1,649",NA,NA,48%,20%,NA
Opotiki District,12+,"7,121","6,642","6,371","5,694","3,689",93%,89%,65%
Opotiki District,5-11,967,260,55,NA,NA,27%,6%,NA
Otorohanga District,12+,"7,960","7,363","7,220","6,460","3,847",92%,91%,60%
Otorohanga District,5-11,"1,086",347,103,NA,NA,32%,9%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"63,172","46,419",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,850","2,071",NA,NA,58%,25%,NA
Porirua City,12+,"47,708",Masked,Masked,"41,505","30,086",>95%,>95%,72%
Porirua City,5-11,"6,751","3,865","1,412",NA,NA,57%,21%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,148","22,605",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,124",842,NA,NA,62%,25%,NA
Rangitikei District,12+,"12,699","11,817","11,620","10,587","7,551",93%,92%,71%
Rangitikei District,5-11,"1,491",677,222,NA,NA,45%,15%,NA
Rotorua District,12+,"58,081",Masked,"54,411","48,413","32,502",>95%,94%,67%
Rotorua District,5-11,"7,718","3,308","1,050",NA,NA,43%,14%,NA
Ruapehu District,12+,"9,936","8,834","8,568","7,673","5,001",89%,86%,65%
Ruapehu District,5-11,"1,366",402,122,NA,NA,29%,9%,NA
Selwyn District,12+,"52,972",Masked,Masked,"51,638","38,900",>95%,>95%,75%
Selwyn District,5-11,"6,904","4,965","2,246",NA,NA,72%,33%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"17,945","11,840",>95%,>95%,66%
South Taranaki District,5-11,"2,692","1,193",459,NA,NA,44%,17%,NA
South Waikato District,12+,"19,628","18,186","17,757","15,796","9,692",93%,90%,61%
South Waikato District,5-11,"2,626",938,223,NA,NA,36%,8%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,669","6,605",>95%,>95%,76%
South Wairarapa District,5-11,997,562,209,NA,NA,56%,21%,NA
Southland District,12+,"25,064","23,419","23,089","20,793","14,226",93%,92%,68%
Southland District,5-11,"3,087","1,364",487,NA,NA,44%,16%,NA
Stratford District,12+,"7,475","7,095","6,972","6,266","4,274",95%,93%,68%
Stratford District,5-11,993,474,176,NA,NA,48%,18%,NA
Tararua District,12+,"15,002","13,972","13,699","12,281","8,413",93%,91%,69%
Tararua District,5-11,"1,897",764,268,NA,NA,40%,14%,NA
Tasman District,12+,"45,608",Masked,Masked,"39,914","28,856",>95%,>95%,72%
Tasman District,5-11,"4,679","2,182",988,NA,NA,47%,21%,NA
Taupo District,12+,"32,180","30,524","29,990","27,222","18,044",95%,93%,66%
Taupo District,5-11,"3,743","1,474",492,NA,NA,39%,13%,NA
Tauranga City,12+,"121,578",Masked,Masked,"107,236","72,033",>95%,>95%,67%
Tauranga City,5-11,"14,189","6,651","1,947",NA,NA,47%,14%,NA
Thames-Coromandel District,12+,"26,265","24,777","24,388","22,798","17,065",94%,93%,75%
Thames-Coromandel District,5-11,"2,164",869,320,NA,NA,40%,15%,NA
Timaru District,12+,"41,091",Masked,"38,812","35,541","26,854",>95%,94%,76%
Timaru District,5-11,"4,189","2,300",852,NA,NA,55%,20%,NA
Unknown,12+,"129,607","62,110","60,279","55,015","34,153",48%,47%,62%
Unknown,5-11,"11,053","2,743","1,069",NA,NA,25%,10%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,052","25,065",>95%,>95%,76%
Upper Hutt City,5-11,"4,264","2,856","1,240",NA,NA,67%,29%,NA
Waikato District,12+,"63,214",Masked,Masked,"55,025","35,998",>95%,>95%,65%
Waikato District,5-11,"8,689","4,301","1,391",NA,NA,49%,16%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"46,861","34,743",>95%,>95%,74%
Waimakariri District,5-11,"5,436","2,949","1,421",NA,NA,54%,26%,NA
Waimate District,12+,"6,936","6,507","6,428","5,887","4,291",94%,93%,73%
Waimate District,5-11,693,301,104,NA,NA,43%,15%,NA
Waipa District,12+,"46,630",Masked,Masked,"41,067","28,720",>95%,>95%,70%
Waipa District,5-11,"5,531","2,970","1,222",NA,NA,54%,22%,NA
Wairoa District,12+,"6,303","5,951","5,741","5,109","3,470",94%,91%,68%
Wairoa District,5-11,896,278,53,NA,NA,31%,6%,NA
Waitaki District,12+,"19,318",Masked,"18,157","16,580","12,211",>95%,94%,74%
Waitaki District,5-11,"2,012",998,324,NA,NA,50%,16%,NA
Waitomo District,12+,"7,758","7,148","6,975","6,231","3,857",92%,90%,62%
Waitomo District,5-11,967,338,100,NA,NA,35%,10%,NA
Wellington City,12+,"178,488",Masked,Masked,"166,716","135,557",>95%,>95%,81%
Wellington City,5-11,"16,089","12,067","6,868",NA,NA,75%,43%,NA
Western Bay of Plenty District,12+,"45,656",Masked,"43,301","39,554","26,259",>95%,95%,66%
Western Bay of Plenty District,5-11,"4,861","1,905",537,NA,NA,39%,11%,NA
Westland District,12+,"7,098","6,703","6,621","6,049","4,335",94%,93%,72%
Westland District,5-11,670,298,117,NA,NA,44%,17%,NA
Whakatane District,12+,"30,314","27,270","26,584","23,730","15,536",90%,88%,65%
Whakatane District,5-11,"3,821","1,298",464,NA,NA,34%,12%,NA
Whanganui District,12+,"39,880","37,176","36,572","33,277","24,166",93%,92%,73%
Whanganui District,5-11,"4,481","1,833",766,NA,NA,41%,17%,NA
Whangarei District,12+,"78,668","73,613","72,239","65,577","45,790",94%,92%,70%
Whangarei District,5-11,"9,594","3,842","1,228",NA,NA,40%,13%,NA
