Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Lower Hutt City,12+,"94,100","88,333","87,194","82,240","61,433","26,235","9,938",94%,93%,75%,38%
Lower Hutt City,5-11,"10,256","6,152","3,703",NA,NA,NA,NA,60%,36%,NA,NA
Mackenzie District,12+,"4,339","3,885","3,833","3,648","2,586","1,300",364,90%,88%,71%,28%
Mackenzie District,5-11,379,171,73,NA,NA,NA,NA,45%,19%,NA,NA
Manawatu District,12+,"27,110","25,216","24,873","23,286","16,448","8,674","2,423",93%,92%,71%,28%
Manawatu District,5-11,"3,203","1,559",818,NA,NA,NA,NA,49%,26%,NA,NA
Marlborough District,12+,"44,461","41,171","40,639","38,691","28,654","16,651","6,410",93%,91%,74%,38%
Marlborough District,5-11,"4,100","2,068","1,083",NA,NA,NA,NA,50%,26%,NA,NA
Masterton District,12+,"23,589","22,012","21,611","20,468","14,353","8,405","3,019",93%,92%,70%,36%
Masterton District,5-11,"2,356","1,066",439,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,147","27,652","26,168","16,884","9,636","2,834",92%,91%,65%,29%
Matamata-Piako District,5-11,"3,427","1,263",496,NA,NA,NA,NA,37%,14%,NA,NA
Napier City,12+,"56,989","52,458","51,589","48,716","34,517","18,977","6,491",92%,91%,71%,34%
Napier City,5-11,"5,980","2,730","1,219",NA,NA,NA,NA,46%,20%,NA,NA
Nelson City,12+,"47,440","43,860","43,230","40,971","30,419","16,837","6,775",92%,91%,74%,40%
Nelson City,5-11,"4,405","2,474","1,230",NA,NA,NA,NA,56%,28%,NA,NA
New Plymouth District,12+,"71,868","66,413","65,408","61,539","42,386","21,811","6,775",92%,91%,69%,31%
New Plymouth District,5-11,"8,328","3,728","2,035",NA,NA,NA,NA,45%,24%,NA,NA
Opotiki District,12+,"7,637","6,739","6,462","6,114","3,850","2,252",704,88%,85%,63%,31%
Opotiki District,5-11,987,242,80,NA,NA,NA,NA,25%,8%,NA,NA
Otorohanga District,12+,"8,310","7,367","7,206","6,759","3,969","2,103",566,89%,87%,59%,27%
Otorohanga District,5-11,"1,097",310,131,NA,NA,NA,NA,28%,12%,NA,NA
Palmerston North City,12+,"74,774","70,513","69,652","65,572","47,916","20,844","8,373",94%,93%,73%,40%
Palmerston North City,5-11,"8,389","4,559","2,580",NA,NA,NA,NA,54%,31%,NA,NA
Porirua City,12+,"50,123","46,926","46,228","43,147","31,132","13,338","4,980",94%,92%,72%,37%
Porirua City,5-11,"6,610","3,653","1,881",NA,NA,NA,NA,55%,28%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,535","38,892","37,171","23,548","9,054","2,896",93%,92%,63%,32%
Queenstown-Lakes District,5-11,"3,481","1,964","1,079",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,880","11,675","11,059","7,777","4,073","1,349",91%,89%,70%,33%
Rangitikei District,5-11,"1,496",640,280,NA,NA,NA,NA,43%,19%,NA,NA
Rotorua District,12+,"61,354","55,445","54,237","50,791","33,503","16,962","5,986",90%,88%,66%,35%
Rotorua District,5-11,"7,635","3,044","1,367",NA,NA,NA,NA,40%,18%,NA,NA
Ruapehu District,12+,"10,400","8,896","8,621","8,155","5,190","2,806",874,86%,83%,64%,31%
Ruapehu District,5-11,"1,369",391,180,NA,NA,NA,NA,29%,13%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,307","40,660","16,831","5,379",>95%,>95%,75%,32%
Selwyn District,5-11,"7,241","4,787","2,866",NA,NA,NA,NA,66%,40%,NA,NA
South Taranaki District,12+,"21,826","20,680","20,269","19,066","12,326","6,395","1,677",95%,93%,65%,26%
South Taranaki District,5-11,"2,758","1,067",523,NA,NA,NA,NA,39%,19%,NA,NA
South Waikato District,12+,"20,420","18,161","17,692","16,638","10,037","5,380","1,604",89%,87%,60%,30%
South Waikato District,5-11,"2,641",875,360,NA,NA,NA,NA,33%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,519","9,376","8,896","6,712","3,910","1,368",94%,93%,75%,35%
South Wairarapa District,5-11,975,523,262,NA,NA,NA,NA,54%,27%,NA,NA
Southland District,12+,"25,968","23,380","23,004","21,651","14,558","7,528","1,772",90%,89%,67%,24%
Southland District,5-11,"2,981","1,257",621,NA,NA,NA,NA,42%,21%,NA,NA
Stratford District,12+,"7,772","7,194","7,061","6,647","4,402","2,374",578,93%,91%,66%,24%
Stratford District,5-11,960,437,222,NA,NA,NA,NA,46%,23%,NA,NA
Tararua District,12+,"15,623","13,991","13,702","12,900","8,688","4,991","1,372",90%,88%,67%,27%
Tararua District,5-11,"1,887",718,322,NA,NA,NA,NA,38%,17%,NA,NA
Tasman District,12+,"49,220","44,823","44,069","41,823","29,917","18,162","6,939",91%,90%,72%,38%
Tasman District,5-11,"4,677","2,023","1,090",NA,NA,NA,NA,43%,23%,NA,NA
Taupo District,12+,"33,772","30,622","30,035","28,407","18,549","11,024","3,755",91%,89%,65%,34%
Taupo District,5-11,"3,743","1,351",623,NA,Masked,NA,NA,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,139","118,174","111,810","74,605","39,250","14,697",92%,90%,67%,37%
Tauranga City,5-11,"14,283","6,259","2,692",NA,NA,NA,NA,44%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,790","24,381","23,460","17,405","11,774","4,019",90%,89%,74%,34%
Thames-Coromandel District,5-11,"2,163",812,403,NA,NA,NA,NA,38%,19%,NA,NA
Timaru District,12+,"42,396","39,211","38,731","36,644","27,239","15,790","4,946",92%,91%,74%,31%
Timaru District,5-11,"4,148","2,118",985,NA,NA,NA,NA,51%,24%,NA,NA
Unknown,12+,"129,781","59,200","57,286","53,984","32,852","12,909","4,236",46%,44%,61%,33%
Unknown,5-11,"9,527","2,880","1,519",NA,NA,NA,NA,30%,16%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,357","34,243","25,851","11,935","4,475",>95%,95%,75%,37%
Upper Hutt City,5-11,"4,202","2,676","1,558",NA,NA,NA,NA,64%,37%,NA,NA
Waikato District,12+,"67,392","62,784","61,689","57,593","37,585","18,542","5,390",93%,92%,65%,29%
Waikato District,5-11,"8,729","4,034","1,858",NA,NA,NA,NA,46%,21%,NA,NA
Waimakariri District,12+,"55,522","52,334","51,770","48,992","35,724","19,492","6,405",94%,93%,73%,33%
Waimakariri District,5-11,"5,443","2,730","1,589",NA,NA,NA,NA,50%,29%,NA,NA
Waimate District,12+,"7,173","6,478","6,387","6,067","4,347","2,565",653,90%,89%,72%,25%
Waimate District,5-11,667,265,124,NA,NA,NA,NA,40%,19%,NA,NA
Waipa District,12+,"48,972","45,833","45,270","42,430","29,541","15,485","4,997",94%,92%,70%,32%
Waipa District,5-11,"5,522","2,753","1,445",NA,NA,NA,NA,50%,26%,NA,NA
Wairoa District,12+,"6,748","5,967","5,747","5,402","3,591","2,022",807,88%,85%,66%,40%
Wairoa District,5-11,876,264,81,NA,NA,NA,NA,30%,9%,NA,NA
Waitaki District,12+,"19,993","18,395","18,128","17,162","12,471","7,314","2,091",92%,91%,73%,29%
Waitaki District,5-11,"1,935",931,404,NA,NA,NA,NA,48%,21%,NA,NA
Waitomo District,12+,"8,061","7,216","7,010","6,460","3,984","2,246",416,90%,87%,62%,19%
Waitomo District,5-11,937,315,126,NA,NA,NA,NA,34%,13%,NA,NA
Wellington City,12+,"188,336",Masked,"178,825","169,967","139,173","47,123","19,875",>95%,95%,82%,42%
Wellington City,5-11,"15,438","11,400","8,248",NA,NA,NA,NA,74%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,177","43,358","41,183","27,075","16,096","5,302",89%,87%,66%,33%
Western Bay of Plenty District,5-11,"4,834","1,764",702,NA,NA,NA,NA,36%,15%,NA,NA
Westland District,12+,"7,310","6,708","6,614","6,297","4,397","2,490",624,92%,90%,70%,25%
Westland District,5-11,670,273,134,NA,NA,NA,NA,41%,20%,NA,NA
Whakatane District,12+,"31,208","27,391","26,660","25,106","16,106","9,338","3,051",88%,85%,64%,33%
Whakatane District,5-11,"3,832","1,202",562,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,148","36,477","34,485","24,708","14,363","5,705",90%,88%,72%,40%
Whanganui District,5-11,"4,457","1,697",892,NA,NA,NA,NA,38%,20%,NA,NA
Whangarei District,12+,"83,037","73,852","72,313","68,224","47,516","27,030","8,904",89%,87%,70%,33%
Whangarei District,5-11,"9,559","3,593","1,565",NA,NA,NA,NA,38%,16%,NA,NA
