Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Gore District,12+,"10,754","10,095","9,939","8,417","6,200",94%,92%,74%
Gore District,5-11,"1,139",377,22,NA,NA,33%,<5%,NA
Grey District,12+,"11,412","10,827","10,608","8,932","6,646",95%,93%,74%
Grey District,5-11,"1,238",562,17,NA,NA,45%,<5%,NA
Hamilton City,12+,"137,530",Masked,Masked,"115,933","79,024",>95%,>95%,68%
Hamilton City,5-11,"17,180","9,092",491,NA,NA,53%,<5%,NA
Hastings District,12+,"69,386",Masked,Masked,"56,919","40,919",>95%,>95%,72%
Hastings District,5-11,"8,940","3,986",159,NA,NA,45%,<5%,NA
Hauraki District,12+,"17,324","15,874","15,552","13,291","9,265",92%,90%,70%
Hauraki District,5-11,"1,786",651,37,NA,NA,36%,<5%,NA
Horowhenua District,12+,"28,824",Masked,"27,319","23,109","17,284",>95%,95%,75%
Horowhenua District,5-11,"3,103","1,368",56,NA,NA,44%,<5%,NA
Hurunui District,12+,"10,818",Masked,"10,256","8,920","6,583",>95%,95%,74%
Hurunui District,5-11,"1,179",580,16,NA,NA,49%,<5%,NA
Invercargill City,12+,"45,988",Masked,Masked,"37,043","27,476",>95%,>95%,74%
Invercargill City,5-11,"5,144","2,491",74,NA,NA,48%,<5%,NA
Kaikoura District,12+,"3,473","3,191","3,152","2,792","2,124",92%,91%,76%
Kaikoura District,5-11,315,148,Masked,NA,NA,47%,<5%,NA
Kaipara District,12+,"20,198","18,110","17,626","15,341","10,375",90%,87%,68%
Kaipara District,5-11,"2,230",711,23,NA,NA,32%,<5%,NA
Kapiti Coast District,12+,"47,238",Masked,Masked,"39,543","32,140",>95%,>95%,81%
Kapiti Coast District,5-11,"4,659","2,508",187,NA,NA,54%,<5%,NA
Kawerau District,12+,"6,115","5,538","5,331","4,168","2,799",91%,87%,67%
Kawerau District,5-11,854,207,12,NA,NA,24%,<5%,NA
Lower Hutt City,12+,"90,426",Masked,Masked,"75,092","57,871",>95%,>95%,77%
Lower Hutt City,5-11,"10,445","6,551",375,NA,NA,63%,<5%,NA
Mackenzie District,12+,"4,141","3,904","3,860","3,414","2,468",94%,93%,72%
Mackenzie District,5-11,391,180,Masked,NA,NA,46%,<5%,NA
Manawatu District,12+,"25,555",Masked,Masked,"21,019","15,467",>95%,>95%,74%
Manawatu District,5-11,"3,185","1,629",50,NA,NA,51%,<5%,NA
Marlborough District,12+,"41,136",Masked,Masked,"35,372","27,514",>95%,>95%,78%
Marlborough District,5-11,"4,156","2,257",190,NA,NA,54%,<5%,NA
Masterton District,12+,"22,673",Masked,Masked,"18,427","13,605",>95%,>95%,74%
Masterton District,5-11,"2,400","1,104",71,NA,NA,46%,<5%,NA
Matamata-Piako District,12+,"29,220",Masked,"27,580","23,694","15,874",>95%,94%,67%
Matamata-Piako District,5-11,"3,307","1,365",50,NA,NA,41%,<5%,NA
Napier City,12+,"54,392",Masked,Masked,"44,004","32,588",>95%,>95%,74%
Napier City,5-11,"6,159","2,912",160,NA,NA,47%,<5%,NA
Nelson City,12+,"44,843",Masked,Masked,"37,146","28,666",>95%,>95%,77%
Nelson City,5-11,"4,456","2,631",175,NA,NA,59%,<5%,NA
New Plymouth District,12+,"68,211",Masked,Masked,"55,205","39,378",>95%,>95%,71%
New Plymouth District,5-11,"8,378","3,931",241,NA,NA,47%,<5%,NA
Opotiki District,12+,"7,289","6,751","6,456","5,300","3,677",93%,89%,69%
Opotiki District,5-11,977,255,11,NA,NA,26%,<5%,NA
Otorohanga District,12+,"7,960","7,353","7,201","6,014","3,682",92%,90%,61%
Otorohanga District,5-11,"1,086",347,Masked,NA,NA,32%,<5%,NA
Palmerston North City,12+,"70,542",Masked,Masked,"59,455","44,885",>95%,>95%,75%
Palmerston North City,5-11,"8,374","4,785",220,NA,NA,57%,<5%,NA
Porirua City,12+,"47,711",Masked,Masked,"38,706","29,318",>95%,>95%,76%
Porirua City,5-11,"6,751","3,837",229,NA,NA,57%,<5%,NA
Queenstown-Lakes District,12+,"35,862",Masked,Masked,"33,671","21,930",>95%,>95%,65%
Queenstown-Lakes District,5-11,"3,432","2,112",68,NA,NA,62%,<5%,NA
Rangitikei District,12+,"12,700","11,849","11,627","10,000","7,261",93%,92%,73%
Rangitikei District,5-11,"1,491",654,17,NA,NA,44%,<5%,NA
Rotorua District,12+,"58,120",Masked,"54,503","45,060","31,388",>95%,94%,70%
Rotorua District,5-11,"7,723","3,241",173,NA,NA,42%,<5%,NA
Ruapehu District,12+,"9,938","8,885","8,587","7,077","4,779",89%,86%,68%
Ruapehu District,5-11,"1,366",393,8,NA,NA,29%,<5%,NA
Selwyn District,12+,"53,318",Masked,Masked,"49,173","37,416",>95%,>95%,76%
Selwyn District,5-11,"6,937","4,892",177,NA,NA,71%,<5%,NA
South Taranaki District,12+,"20,389",Masked,Masked,"16,723","11,192",>95%,>95%,67%
South Taranaki District,5-11,"2,693","1,166",72,NA,NA,43%,<5%,NA
South Waikato District,12+,"19,634","18,280","17,803","14,644","9,389",93%,91%,64%
South Waikato District,5-11,"2,629",921,20,NA,NA,35%,<5%,NA
South Wairarapa District,12+,"9,607",Masked,Masked,"8,261","6,423",>95%,>95%,78%
South Wairarapa District,5-11,"1,001",555,35,NA,NA,55%,<5%,NA
Southland District,12+,"25,076","23,454","23,092","19,443","13,646",94%,92%,70%
Southland District,5-11,"3,087","1,321",16,NA,NA,43%,<5%,NA
Stratford District,12+,"7,523","7,105","6,963","5,872","4,109",94%,93%,70%
Stratford District,5-11,"1,000",456,13,NA,NA,46%,<5%,NA
Tararua District,12+,"15,008","14,073","13,777","11,431","8,147",94%,92%,71%
Tararua District,5-11,"1,897",749,43,NA,NA,39%,<5%,NA
Tasman District,12+,"45,613",Masked,Masked,"37,276","27,892",>95%,>95%,75%
Tasman District,5-11,"4,679","2,157",169,NA,NA,46%,<5%,NA
Taupo District,12+,"32,192",Masked,"30,064","25,520","17,570",>95%,93%,69%
Taupo District,5-11,"3,743","1,451",89,NA,NA,39%,<5%,NA
Tauranga City,12+,"121,638",Masked,Masked,"100,950","70,167",>95%,>95%,70%
Tauranga City,5-11,"14,197","6,593",322,NA,NA,46%,<5%,NA
Thames-Coromandel District,12+,"26,267","24,796","24,360","21,642","16,582",94%,93%,77%
Thames-Coromandel District,5-11,"2,165",863,47,NA,NA,40%,<5%,NA
Timaru District,12+,"41,101",Masked,"39,041","33,688","26,253",>95%,95%,78%
Timaru District,5-11,"4,189","2,257",106,NA,NA,54%,<5%,NA
Unknown,12+,"127,337","68,522","66,303","56,503","37,108",54%,52%,66%
Unknown,5-11,"10,824","2,738",144,NA,NA,25%,<5%,NA
Upper Hutt City,12+,"36,900",Masked,Masked,"31,224","24,342",>95%,>95%,78%
Upper Hutt City,5-11,"4,264","2,828",196,NA,NA,66%,<5%,NA
Waikato District,12+,"63,219",Masked,Masked,"51,602","34,702",>95%,>95%,67%
Waikato District,5-11,"8,689","4,222",204,NA,NA,49%,<5%,NA
Waimakariri District,12+,"52,773",Masked,Masked,"44,255","33,479",>95%,>95%,76%
Waimakariri District,5-11,"5,446","2,915",191,NA,NA,54%,<5%,NA
Waimate District,12+,"6,937","6,559","6,468","5,601","4,149",95%,93%,74%
Waimate District,5-11,693,289,Masked,NA,NA,42%,<5%,NA
Waipa District,12+,"46,646",Masked,Masked,"39,142","27,808",>95%,>95%,71%
Waipa District,5-11,"5,532","2,952",149,NA,NA,53%,<5%,NA
Wairoa District,12+,"6,304","5,970","5,742","4,727","3,329",95%,91%,70%
Wairoa District,5-11,897,264,Masked,NA,NA,29%,<5%,NA
Waitaki District,12+,"19,323",Masked,"18,197","15,660","11,800",>95%,94%,75%
Waitaki District,5-11,"2,012",990,7,NA,NA,49%,<5%,NA
Waitomo District,12+,"7,762","7,164","6,981","5,776","3,671",92%,90%,64%
Waitomo District,5-11,968,332,24,NA,NA,34%,<5%,NA
Wellington City,12+,"178,565",Masked,Masked,"160,169","132,302",>95%,>95%,83%
Wellington City,5-11,"16,095","12,039","1,099",NA,NA,75%,7%,NA
Western Bay of Plenty District,12+,"45,702",Masked,"43,338","37,288","25,583",>95%,95%,69%
Western Bay of Plenty District,5-11,"4,865","1,895",82,NA,NA,39%,<5%,NA
Westland District,12+,"7,100","6,736","6,636","5,725","4,190",95%,93%,73%
Westland District,5-11,670,291,6,NA,NA,43%,<5%,NA
Whakatane District,12+,"30,432","27,446","26,707","21,831","15,180",90%,88%,70%
Whakatane District,5-11,"3,835","1,277",158,NA,NA,33%,<5%,NA
Whanganui District,12+,"39,902","37,430","36,746","31,000","23,401",94%,92%,75%
Whanganui District,5-11,"4,483","1,799",92,NA,NA,40%,<5%,NA
Whangarei District,12+,"78,696","73,863","72,346","61,538","44,353",94%,92%,72%
Whangarei District,5-11,"9,595","3,711",138,NA,NA,39%,<5%,NA
