Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Wairoa District,5-11,899,224,75,NA,NA,NA,NA,25%,8%,NA,NA
Waitaki District,12+,"20,143","18,328","18,010","17,175","12,490","11,336","3,902",91%,89%,73%,34%
Waitaki District,5-11,"1,916",796,353,NA,NA,NA,NA,42%,18%,NA,NA
Waitomo District,12+,"8,160","7,166","6,941","6,576","3,989","3,577",995,88%,85%,61%,28%
Waitomo District,5-11,958,273,119,NA,NA,NA,NA,28%,12%,NA,NA
Wellington City,12+,"189,725","179,053","177,770","169,500","138,938","105,420","39,465",94%,94%,82%,37%
Wellington City,5-11,"15,221","10,328","7,683",NA,Masked,NA,NA,68%,50%,>95%,NA
Western Bay of Plenty District,12+,"50,568","44,104","43,140","41,330","27,161","24,876","8,640",87%,85%,66%,35%
Western Bay of Plenty District,5-11,"4,848","1,523",660,NA,NA,NA,NA,31%,14%,NA,NA
Westland District,12+,"7,320","6,725","6,619","6,351","4,406","4,062","1,181",92%,90%,69%,29%
Westland District,5-11,671,240,128,NA,NA,NA,NA,36%,19%,NA,NA
Whakatane District,12+,"31,613","27,270","26,496","25,226","16,057","14,719","4,779",86%,84%,64%,32%
Whakatane District,5-11,"3,853","1,100",534,NA,NA,NA,NA,29%,14%,NA,NA
Whanganui District,12+,"41,569","36,747","35,999","34,271","24,491","22,092","8,993",88%,87%,71%,41%
Whanganui District,5-11,"4,439","1,489",802,NA,NA,NA,NA,34%,18%,NA,NA
Whangarei District,12+,"84,179","73,460","71,726","68,279","47,398","42,982","14,274",87%,85%,69%,33%
Whangarei District,5-11,"9,620","3,211","1,475",NA,NA,NA,NA,33%,15%,NA,NA
