Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Kawerau District,5-11,806,195,46,NA,NA,NA,0,24%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,292","87,162","82,174","61,376","23,291",8872,94%,93%,75%,38%
Lower Hutt City,5-11,"10,256","6,163","3,697",NA,NA,NA,0,60%,36%,NA,NA
Mackenzie District,12+,"4,339","3,883","3,831","3,638","2,582","1,194",310,89%,88%,71%,26%
Mackenzie District,5-11,379,172,74,NA,NA,NA,0,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,203","24,864","23,267","16,430","7,546",2160,93%,92%,71%,29%
Manawatu District,5-11,"3,203","1,566",818,NA,NA,NA,0,49%,26%,NA,NA
Marlborough District,12+,"44,461","41,051","40,521","38,569","28,626","15,685",5899,92%,91%,74%,38%
Marlborough District,5-11,"4,100","2,078","1,083",NA,NA,NA,0,51%,26%,NA,NA
Masterton District,12+,"23,589","21,996","21,600","20,451","14,336","7,805",2706,93%,92%,70%,35%
Masterton District,5-11,"2,356","1,073",442,NA,NA,NA,0,46%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,127","27,635","26,156","16,866","8,577",2391,92%,91%,64%,28%
Matamata-Piako District,5-11,"3,427","1,265",490,NA,NA,NA,0,37%,14%,NA,NA
Napier City,12+,"56,989","52,432","51,574","48,677","34,479","17,221",5885,92%,90%,71%,34%
Napier City,5-11,"5,980","2,740","1,214",NA,NA,NA,0,46%,20%,NA,NA
Nelson City,12+,"47,440","43,810","43,184","40,917","30,355","15,896",6309,92%,91%,74%,40%
Nelson City,5-11,"4,405","2,482","1,228",NA,NA,NA,0,56%,28%,NA,NA
New Plymouth District,12+,"71,868","66,368","65,366","61,481","42,324","19,033",5852,92%,91%,69%,31%
New Plymouth District,5-11,"8,328","3,736","2,039",NA,NA,NA,0,45%,24%,NA,NA
Opotiki District,12+,"7,637","6,722","6,444","6,094","3,837","2,025",641,88%,84%,63%,32%
Opotiki District,5-11,987,240,78,NA,NA,NA,0,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,375","7,216","6,764","3,969","1,792",492,89%,87%,59%,27%
Otorohanga District,5-11,"1,097",310,130,NA,NA,NA,0,28%,12%,NA,NA
Palmerston North City,12+,"74,774","70,495","69,634","65,529","47,875","19,151",7674,94%,93%,73%,40%
Palmerston North City,5-11,"8,389","4,571","2,579",NA,NA,NA,0,54%,31%,NA,NA
Porirua City,12+,"50,123","46,905","46,213","43,111","31,102","11,906",4394,94%,92%,72%,37%
Porirua City,5-11,"6,610","3,664","1,872",NA,NA,NA,0,55%,28%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,489","38,852","37,119","23,503","8,265",2642,93%,92%,63%,32%
Queenstown-Lakes District,5-11,"3,481","1,972","1,076",NA,NA,NA,0,57%,31%,NA,NA
Rangitikei District,12+,"13,122","11,870","11,666","11,045","7,772","3,556",1185,90%,89%,70%,33%
Rangitikei District,5-11,"1,496",643,280,NA,NA,NA,0,43%,19%,NA,NA
Rotorua District,12+,"61,354","55,428","54,227","50,756","33,464","15,721",5546,90%,88%,66%,35%
Rotorua District,5-11,"7,635","3,058","1,363",NA,NA,NA,0,40%,18%,NA,NA
Ruapehu District,12+,"10,400","8,885","8,609","8,140","5,179","2,464",775,85%,83%,64%,31%
Ruapehu District,5-11,"1,369",392,172,NA,NA,NA,0,29%,13%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,192","40,566","14,416",4627,>95%,>95%,75%,32%
Selwyn District,5-11,"7,241","4,785","2,856",NA,NA,NA,0,66%,39%,NA,NA
South Taranaki District,12+,"21,826","20,657","20,252","19,040","12,316","5,573",1424,95%,93%,65%,26%
South Taranaki District,5-11,"2,758","1,072",525,NA,NA,NA,0,39%,19%,NA,NA
South Waikato District,12+,"20,420","18,132","17,668","16,598","10,010","4,725",1379,89%,87%,60%,29%
South Waikato District,5-11,"2,641",879,359,NA,NA,NA,0,33%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,526","9,381","8,902","6,712","3,570",1210,95%,93%,75%,34%
South Wairarapa District,5-11,975,523,262,NA,NA,NA,0,54%,27%,NA,NA
Southland District,12+,"25,968","23,379","23,002","21,638","14,544","6,508",1538,90%,89%,67%,24%
Southland District,5-11,"2,981","1,260",613,NA,NA,NA,0,42%,21%,NA,NA
Stratford District,12+,"7,772","7,184","7,050","6,635","4,397","2,129",509,92%,91%,66%,24%
Stratford District,5-11,960,438,222,NA,NA,NA,0,46%,23%,NA,NA
Tararua District,12+,"15,623","14,009","13,722","12,915","8,695","4,541",1218,90%,88%,67%,27%
Tararua District,5-11,"1,887",722,323,NA,NA,NA,0,38%,17%,NA,NA
Tasman District,12+,"49,220","44,755","44,008","41,743","29,845","17,095",6489,91%,89%,71%,38%
Tasman District,5-11,"4,677","2,028","1,091",NA,NA,NA,0,43%,23%,NA,NA
Taupo District,12+,"33,772","30,594","30,011","28,374","18,530","10,125",3442,91%,89%,65%,34%
Taupo District,5-11,"3,743","1,351",620,NA,Masked,NA,0,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,062","118,098","111,710","74,486","35,914",13658,92%,90%,67%,38%
Tauranga City,5-11,"14,283","6,280","2,677",NA,NA,NA,0,44%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,790","24,385","23,457","17,389","10,489",3435,90%,89%,74%,33%
Thames-Coromandel District,5-11,"2,163",811,402,NA,NA,NA,0,37%,19%,NA,NA
Timaru District,12+,"42,396","39,199","38,722","36,628","27,220","14,632",4402,92%,91%,74%,30%
Timaru District,5-11,"4,148","2,138",994,NA,NA,NA,0,52%,24%,NA,NA
Unknown,12+,"129,781","60,827","58,893","55,529","33,928","11,933",3984,47%,45%,61%,33%
Unknown,5-11,"9,527","2,927","1,531",NA,NA,NA,0,31%,16%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,333","34,203","25,807","10,491",3857,>95%,95%,75%,37%
Upper Hutt City,5-11,"4,202","2,685","1,565",NA,NA,NA,0,64%,37%,NA,NA
Waikato District,12+,"67,392","62,675","61,588","57,480","37,509","16,762",4909,93%,91%,65%,29%
Waikato District,5-11,"8,729","4,054","1,861",NA,NA,NA,0,46%,21%,NA,NA
Waimakariri District,12+,"55,522","52,300","51,738","48,937","35,675","17,014",5656,94%,93%,73%,33%
Waimakariri District,5-11,"5,443","2,737","1,587",NA,NA,NA,0,50%,29%,NA,NA
Waimate District,12+,"7,173","6,477","6,388","6,067","4,348","2,242",596,90%,89%,72%,27%
Waimate District,5-11,667,269,127,NA,NA,NA,0,40%,19%,NA,NA
Waipa District,12+,"48,972","45,779","45,218","42,360","29,463","13,795",4361,93%,92%,70%,32%
Waipa District,5-11,"5,522","2,763","1,445",NA,NA,NA,0,50%,26%,NA,NA
Wairoa District,12+,"6,748","5,966","5,744","5,401","3,585","1,891",754,88%,85%,66%,40%
Wairoa District,5-11,876,266,82,NA,NA,NA,0,30%,9%,NA,NA
Waitaki District,12+,"19,993","18,372","18,106","17,145","12,450","6,409",1824,92%,91%,73%,28%
Waitaki District,5-11,"1,935",929,404,NA,NA,NA,0,48%,21%,NA,NA
Waitomo District,12+,"8,061","7,190","6,986","6,435","3,969","2,016",374,89%,87%,62%,19%
Waitomo District,5-11,937,315,126,NA,NA,NA,0,34%,13%,NA,NA
Wellington City,12+,"188,336",Masked,"178,747","169,849","139,036","40,990",17497,>95%,95%,82%,43%
Wellington City,5-11,"15,438","11,417","8,233",NA,NA,NA,0,74%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,161","43,344","41,163","27,056","14,358",4874,89%,87%,66%,34%
Western Bay of Plenty District,5-11,"4,834","1,766",703,NA,NA,NA,0,37%,15%,NA,NA
Westland District,12+,"7,310","6,701","6,609","6,291","4,380","2,094",515,92%,90%,70%,25%
Westland District,5-11,670,273,131,NA,NA,NA,0,41%,20%,NA,NA
Whakatane District,12+,"31,208","27,381","26,649","25,083","16,092","8,549",2865,88%,85%,64%,34%
Whakatane District,5-11,"3,832","1,204",563,NA,NA,NA,0,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,149","36,478","34,457","24,679","13,310",5311,90%,88%,72%,40%
Whanganui District,5-11,"4,457","1,700",892,NA,NA,NA,0,38%,20%,NA,NA
Whangarei District,12+,"83,037","73,848","72,318","68,195","47,476","24,510",8055,89%,87%,70%,33%
Whangarei District,5-11,"9,559","3,606","1,569",NA,NA,NA,0,38%,16%,NA,NA
