Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Hastings District,12+,"76,625","70,069","68,640","65,060","44,681","27,797","12,694",91%,90%,69%,46%
Hastings District,5-11,"8,719","3,465","1,687",NA,Masked,NA,NA,40%,19%,>95%,NA
Hauraki District,12+,"18,159","15,687","15,315","14,667","9,869","7,579","3,333",86%,84%,67%,44%
Hauraki District,5-11,"1,805",540,263,NA,NA,NA,NA,30%,15%,NA,NA
Horowhenua District,12+,"30,501","27,525","26,940","25,698","18,163","13,500","6,743",90%,88%,71%,50%
Horowhenua District,5-11,"3,065","1,149",529,NA,NA,NA,NA,37%,17%,NA,NA
Hurunui District,12+,"11,760","10,544","10,368","9,891","7,070","4,783","2,232",90%,88%,71%,47%
Hurunui District,5-11,"1,139",492,266,NA,NA,NA,NA,43%,23%,NA,NA
Invercargill City,12+,"47,467","43,850","43,075","40,944","28,804","17,916","7,917",92%,91%,70%,44%
Invercargill City,5-11,"5,011","2,149","1,160",NA,NA,NA,NA,43%,23%,NA,NA
Kaikoura District,12+,"3,629","3,231","3,196","3,072","2,269","1,685",766,89%,88%,74%,45%
Kaikoura District,5-11,304,124,72,NA,NA,NA,NA,41%,24%,NA,NA
Kaipara District,12+,"21,778","18,020","17,533","16,899","11,060","8,363","3,035",83%,81%,65%,36%
Kaipara District,5-11,"2,340",608,271,NA,NA,NA,NA,26%,12%,NA,NA
Kapiti Coast District,12+,"49,277","45,732","45,146","43,045","33,787","23,626","14,287",93%,92%,78%,60%
Kapiti Coast District,5-11,"4,475","2,171","1,375",NA,NA,NA,NA,49%,31%,NA,NA
Kawerau District,12+,"6,403","5,420","5,202","4,937","2,941","2,333",899,85%,81%,60%,39%
Kawerau District,5-11,790,172,45,NA,NA,NA,NA,22%,6%,NA,NA
Lower Hutt City,12+,"94,519","88,128","86,824","82,374","61,618","33,096","18,073",93%,92%,75%,55%
Lower Hutt City,5-11,"10,146","5,685","3,548",NA,NA,NA,NA,56%,35%,NA,NA
Mackenzie District,12+,"4,333","3,900","3,837","3,685","2,612","1,599",685,90%,89%,71%,43%
Mackenzie District,5-11,370,167,73,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,415","25,223","24,812","23,418","16,452","10,603","4,999",92%,91%,70%,47%
Manawatu District,5-11,"3,219","1,420",765,NA,NA,NA,NA,44%,24%,NA,NA
Marlborough District,12+,"44,648","41,148","40,519","38,779","28,665","19,177","9,839",92%,91%,74%,51%
Marlborough District,5-11,"4,065","1,881","1,003",NA,NA,NA,NA,46%,25%,NA,NA
Masterton District,12+,"23,875","21,926","21,470","20,484","14,385","10,034","5,069",92%,90%,70%,51%
Masterton District,5-11,"2,391",975,411,NA,NA,NA,NA,41%,17%,NA,NA
Matamata-Piako District,12+,"30,801","28,109","27,549","26,294","16,939","11,693","5,193",91%,89%,64%,44%
Matamata-Piako District,5-11,"3,457","1,179",499,NA,NA,NA,NA,34%,14%,NA,NA
Napier City,12+,"57,498","52,227","51,222","48,706","34,522","22,913","11,551",91%,89%,71%,50%
Napier City,5-11,"6,005","2,461","1,193",NA,NA,NA,NA,41%,20%,NA,NA
Nelson City,12+,"48,174","43,614","42,880","40,880","30,406","19,399","10,673",91%,89%,74%,55%
Nelson City,5-11,"4,378","2,220","1,147",NA,NA,NA,NA,51%,26%,NA,NA
New Plymouth District,12+,"73,264","66,387","65,221","61,780","42,448","27,408","12,825",91%,89%,69%,47%
New Plymouth District,5-11,"8,317","3,358","1,909",NA,NA,NA,NA,40%,23%,NA,NA
Opotiki District,12+,"7,897","6,663","6,365","6,086","3,858","3,030","1,076",84%,81%,63%,36%
Opotiki District,5-11,999,206,68,NA,NA,NA,NA,21%,7%,NA,NA
Otorohanga District,12+,"8,428","7,353","7,191","6,795","3,987","2,760","1,141",87%,85%,59%,41%
Otorohanga District,5-11,"1,075",275,125,NA,NA,NA,NA,26%,12%,NA,NA
Palmerston North City,12+,"75,817","70,035","69,032","65,344","47,756","25,203","13,194",92%,91%,73%,52%
Palmerston North City,5-11,"8,413","4,207","2,477",NA,NA,NA,NA,50%,29%,NA,NA
Porirua City,12+,"50,507","47,011","46,186","43,373","31,447","17,759","9,406",93%,91%,73%,53%
Porirua City,5-11,"6,538","3,398","1,847",NA,NA,NA,NA,52%,28%,NA,NA
Queenstown-Lakes District,12+,"43,395","39,923","39,213","37,665","24,274","10,590","5,097",92%,90%,64%,48%
Queenstown-Lakes District,5-11,"3,502","1,785","1,010",NA,NA,NA,NA,51%,29%,NA,NA
Rangitikei District,12+,"13,306","11,832","11,611","11,071","7,757","5,316","2,449",89%,87%,70%,46%
Rangitikei District,5-11,"1,468",589,269,NA,NA,NA,NA,40%,18%,NA,NA
Rotorua District,12+,"61,888","55,346","53,990","50,982","33,590","21,594","9,703",89%,87%,66%,45%
Rotorua District,5-11,"7,644","2,787","1,331",NA,NA,NA,NA,36%,17%,NA,NA
Ruapehu District,12+,"10,452","8,770","8,481","8,091","5,141","3,659","1,524",84%,81%,64%,42%
Ruapehu District,5-11,"1,343",346,158,NA,NA,NA,NA,26%,12%,NA,NA
Selwyn District,12+,"61,314",Masked,Masked,"55,859","41,669","21,872","10,370",>95%,>95%,75%,47%
Selwyn District,5-11,"7,466","4,467","2,802",NA,NA,NA,NA,60%,38%,NA,NA
South Taranaki District,12+,"22,522","19,831","19,397","18,366","11,822","8,124","3,138",88%,86%,64%,39%
South Taranaki District,5-11,"2,708",907,460,NA,NA,NA,NA,33%,17%,NA,NA
South Waikato District,12+,"20,418","18,016","17,528","16,612","10,073","7,254","2,895",88%,86%,61%,40%
South Waikato District,5-11,"2,663",783,351,NA,NA,NA,NA,29%,13%,NA,NA
South Wairarapa District,12+,"10,226","9,506","9,336","8,910","6,713","4,642","2,583",93%,91%,75%,56%
South Wairarapa District,5-11,998,483,249,NA,NA,NA,NA,48%,25%,NA,NA
Southland District,12+,"26,077","23,208","22,789","21,592","14,513","9,192","3,508",89%,87%,67%,38%
Southland District,5-11,"2,964","1,103",557,NA,NA,NA,NA,37%,19%,NA,NA
Stratford District,12+,"7,971","7,132","6,983","6,632","4,346","2,953","1,222",89%,88%,66%,41%
Stratford District,5-11,969,392,200,NA,NA,NA,NA,40%,21%,NA,NA
Tararua District,12+,"15,757","13,893","13,568","12,861","8,629","6,079","2,456",88%,86%,67%,40%
Tararua District,5-11,"1,842",640,304,NA,NA,NA,NA,35%,17%,NA,NA
Tasman District,12+,"50,816","45,181","44,348","42,385","30,204","21,099","10,592",89%,87%,71%,50%
Tasman District,5-11,"4,715","1,838","1,018",NA,NA,NA,NA,39%,22%,NA,NA
Taupo District,12+,"33,937","30,459","29,813","28,392","18,593","13,190","6,088",90%,88%,65%,46%
Taupo District,5-11,"3,736","1,211",582,NA,Masked,NA,NA,32%,16%,>95%,NA
Tauranga City,12+,"133,129","120,098","117,815","112,233","74,756","46,970","21,966",90%,88%,67%,47%
Tauranga City,5-11,"14,517","5,696","2,621",NA,NA,NA,NA,39%,18%,NA,NA
Thames-Coromandel District,12+,"27,922","24,507","24,073","23,286","17,246","13,913","6,857",88%,86%,74%,49%
Thames-Coromandel District,5-11,"2,163",705,362,NA,NA,NA,NA,33%,17%,NA,NA
Timaru District,12+,"42,616","39,140","38,556","36,725","27,259","18,270","8,788",92%,90%,74%,48%
Timaru District,5-11,"4,114","1,960",944,NA,NA,NA,NA,48%,23%,NA,NA
Unknown,12+,"124,310","76,496","74,044","70,855","45,176","25,499","11,203",62%,60%,64%,44%
Unknown,5-11,"10,075","3,082","1,646",NA,NA,NA,NA,31%,16%,NA,NA
Upper Hutt City,12+,"38,683","36,697","36,253","34,271","25,905","14,677","8,277",95%,94%,76%,56%
Upper Hutt City,5-11,"4,183","2,477","1,505",NA,NA,NA,NA,59%,36%,NA,NA
Waikato District,12+,"68,556","62,603","61,372","57,721","37,629","23,055","9,212",91%,90%,65%,40%
Waikato District,5-11,"8,773","3,663","1,783",NA,NA,NA,NA,42%,20%,NA,NA
Waimakariri District,12+,"56,645","52,654","52,014","49,482","36,040","24,148","12,323",93%,92%,73%,51%
Waimakariri District,5-11,"5,422","2,519","1,487",NA,NA,NA,NA,46%,27%,NA,NA
Waimate District,12+,"7,221","6,433","6,329","6,064","4,315","3,028","1,287",89%,88%,71%,43%
Waimate District,5-11,667,250,116,NA,NA,NA,NA,37%,17%,NA,NA
Waipa District,12+,"49,511","45,875","45,187","42,676","29,733","18,885","8,601",93%,91%,70%,46%
Waipa District,5-11,"5,560","2,505","1,364",NA,NA,NA,NA,45%,25%,NA,NA
Wairoa District,12+,"6,896","5,908","5,686","5,394","3,583","2,701","1,222",86%,82%,66%,45%
Wairoa District,5-11,899,228,76,NA,NA,NA,NA,25%,8%,NA,NA
Waitaki District,12+,"20,143","18,364","18,049","17,210","12,496","8,634","3,851",91%,90%,73%,45%
Waitaki District,5-11,"1,916",817,367,NA,NA,NA,NA,43%,19%,NA,NA
Waitomo District,12+,"8,160","7,165","6,942","6,576","3,985","2,829",926,88%,85%,61%,33%
Waitomo District,5-11,958,282,124,NA,NA,NA,NA,29%,13%,NA,NA
Wellington City,12+,"189,727","178,876","177,637","169,356","138,968","57,809","37,859",94%,94%,82%,65%
Wellington City,5-11,"15,221","10,512","7,822",NA,NA,NA,NA,69%,51%,NA,NA
Western Bay of Plenty District,12+,"50,568","44,136","43,188","41,328","27,155","19,611","8,475",87%,85%,66%,43%
Western Bay of Plenty District,5-11,"4,848","1,560",677,NA,NA,NA,NA,32%,14%,NA,NA
Westland District,12+,"7,320","6,720","6,616","6,345","4,410","3,081","1,152",92%,90%,70%,37%
Westland District,5-11,671,239,126,NA,NA,NA,NA,36%,19%,NA,NA
Whakatane District,12+,"31,613","27,320","26,543","25,250","16,076","11,781","4,677",86%,84%,64%,40%
Whakatane District,5-11,"3,853","1,117",541,NA,NA,NA,NA,29%,14%,NA,NA
Whanganui District,12+,"41,569","36,813","36,075","34,312","24,536","17,134","8,857",89%,87%,72%,52%
Whanganui District,5-11,"4,439","1,521",815,NA,NA,NA,NA,34%,18%,NA,NA
Whangarei District,12+,"84,179","73,502","71,813","68,291","47,462","32,619","14,032",87%,85%,69%,43%
Whangarei District,5-11,"9,620","3,258","1,482",NA,NA,NA,NA,34%,15%,NA,NA
