Week ending,Group,DHB of service,Dose number,# doses administered
14/03/2021,Group 1,Canterbury,1,784
14/03/2021,Group 1,Capital & Coast and Hutt Valley,1,84
14/03/2021,Group 1,Hawke's Bay,1,115
14/03/2021,Group 1,Lakes,1,136
14/03/2021,Group 1,Nelson Marlborough,1,209
14/03/2021,Group 1,Northland,1,116
14/03/2021,Group 1,Taranaki,1,128
14/03/2021,Group 1,Waikato,1,127
14/03/2021,Group 2,Auckland Metro,1,1529
14/03/2021,Group 2,Auckland Metro,2,13
14/03/2021,Group 2,Bay of Plenty,1,14
14/03/2021,Group 2,Canterbury,1,89
14/03/2021,Group 2,Capital & Coast and Hutt Valley,1,36
14/03/2021,Group 2,Lakes,1,37
14/03/2021,Group 2,Nelson Marlborough,1,161
14/03/2021,Group 2,Other Sites,1,472
14/03/2021,Group 2,Taranaki,1,128
14/03/2021,Group 2,Waikato,1,616
21/03/2021,Group 1,Auckland Metro,1,3426
21/03/2021,Group 1,Auckland Metro,2,2016
21/03/2021,Group 1,Bay of Plenty,1,219
21/03/2021,Group 1,Canterbury,1,243
21/03/2021,Group 1,Capital & Coast and Hutt Valley,1,51
21/03/2021,Group 1,Capital & Coast and Hutt Valley,2,116
21/03/2021,Group 1,Hawke's Bay,1,32
21/03/2021,Group 1,Lakes,1,130
21/03/2021,Group 1,Lakes,2,27
21/03/2021,Group 1,Nelson Marlborough,1,51
21/03/2021,Group 1,Northland,1,56
21/03/2021,Group 1,Other Sites,2,8
21/03/2021,Group 1,South Canterbury,1,65
21/03/2021,Group 1,Tairawhiti,1,25
21/03/2021,Group 1,Tairawhiti,2,37
21/03/2021,Group 1,Waikato,1,110
21/03/2021,Group 1,Waikato,2,13
21/03/2021,Group 2,Auckland Metro,1,473
21/03/2021,Group 2,Auckland Metro,2,1138
21/03/2021,Group 2,Bay of Plenty,1,13
21/03/2021,Group 2,Canterbury,1,58
21/03/2021,Group 2,Canterbury,2,14
21/03/2021,Group 2,Capital & Coast and Hutt Valley,1,258
21/03/2021,Group 2,Capital & Coast and Hutt Valley,2,26
21/03/2021,Group 2,Hawke's Bay,1,34
21/03/2021,Group 2,Hawke's Bay,2,19
21/03/2021,Group 2,Lakes,1,52
21/03/2021,Group 2,Nelson Marlborough,1,822
21/03/2021,Group 2,Other Sites,1,2827
21/03/2021,Group 2,South Canterbury,1,167
21/03/2021,Group 2,Tairawhiti,2,20
21/03/2021,Group 2,Waikato,1,852
21/03/2021,Group 2,Waikato,2,24
28/03/2021,Group 1,Auckland Metro,1,2435
28/03/2021,Group 1,Auckland Metro,2,2596
28/03/2021,Group 1,Bay of Plenty,1,114
28/03/2021,Group 1,Bay of Plenty,2,99
28/03/2021,Group 1,Canterbury,1,420
28/03/2021,Group 1,Canterbury,2,679
28/03/2021,Group 1,Capital & Coast and Hutt Valley,1,306
28/03/2021,Group 1,Capital & Coast and Hutt Valley,2,155
28/03/2021,Group 1,Hawke's Bay,1,73
28/03/2021,Group 1,Hawke's Bay,2,164
28/03/2021,Group 1,Lakes,1,56
28/03/2021,Group 1,Lakes,2,172
28/03/2021,Group 1,MidCentral,1,12
28/03/2021,Group 1,Nelson Marlborough,1,51
28/03/2021,Group 1,Nelson Marlborough,2,250
28/03/2021,Group 1,Northland,1,97
28/03/2021,Group 1,Northland,2,148
28/03/2021,Group 1,Other Sites,2,254
28/03/2021,Group 1,South Canterbury,2,106
28/03/2021,Group 1,Southern,1,426
28/03/2021,Group 1,Southern,2,358
28/03/2021,Group 1,Tairawhiti,1,18
28/03/2021,Group 1,Tairawhiti,2,40
28/03/2021,Group 1,Taranaki,1,100
28/03/2021,Group 1,Taranaki,2,61
28/03/2021,Group 1,Waikato,1,142
28/03/2021,Group 1,Waikato,2,180
28/03/2021,Group 2,Auckland Metro,1,1024
28/03/2021,Group 2,Auckland Metro,2,1841
28/03/2021,Group 2,Bay of Plenty,1,82
28/03/2021,Group 2,Canterbury,1,62
28/03/2021,Group 2,Canterbury,2,37
28/03/2021,Group 2,Capital & Coast and Hutt Valley,1,1596
28/03/2021,Group 2,Capital & Coast and Hutt Valley,2,29
28/03/2021,Group 2,Hawke's Bay,1,318
28/03/2021,Group 2,Hawke's Bay,2,20
28/03/2021,Group 2,Lakes,1,109
28/03/2021,Group 2,Lakes,2,51
28/03/2021,Group 2,MidCentral,1,17
28/03/2021,Group 2,Nelson Marlborough,1,566
28/03/2021,Group 2,Nelson Marlborough,2,55
28/03/2021,Group 2,Northland,1,51
28/03/2021,Group 2,Other Sites,1,2753
28/03/2021,Group 2,Other Sites,2,11
28/03/2021,Group 2,South Canterbury,1,17
28/03/2021,Group 2,South Canterbury,2,108
28/03/2021,Group 2,Southern,1,185
28/03/2021,Group 2,Southern,2,51
28/03/2021,Group 2,Tairawhiti,1,37
28/03/2021,Group 2,Tairawhiti,2,149
28/03/2021,Group 2,Taranaki,1,208
28/03/2021,Group 2,Taranaki,2,14
28/03/2021,Group 2,Waikato,1,346
28/03/2021,Group 2,Waikato,2,456
04/04/2021,Group 1,Auckland Metro,1,1745
04/04/2021,Group 1,Auckland Metro,2,2290
04/04/2021,Group 1,Bay of Plenty,1,88
04/04/2021,Group 1,Bay of Plenty,2,113
04/04/2021,Group 1,Canterbury,1,631
04/04/2021,Group 1,Canterbury,2,679
04/04/2021,Group 1,Capital & Coast and Hutt Valley,1,372
04/04/2021,Group 1,Capital & Coast and Hutt Valley,2,80
04/04/2021,Group 1,Hawke's Bay,1,26
04/04/2021,Group 1,Hawke's Bay,2,105
04/04/2021,Group 1,Lakes,1,49
04/04/2021,Group 1,Lakes,2,105
04/04/2021,Group 1,MidCentral,1,79
04/04/2021,Group 1,Nelson Marlborough,1,38
04/04/2021,Group 1,Nelson Marlborough,2,195
04/04/2021,Group 1,Northland,1,99
04/04/2021,Group 1,Northland,2,125
04/04/2021,Group 1,Other Sites,2,120
04/04/2021,Group 1,South Canterbury,1,39
04/04/2021,Group 1,South Canterbury,2,5
04/04/2021,Group 1,Southern,1,38
04/04/2021,Group 1,Southern,2,15
04/04/2021,Group 1,Taranaki,1,21
04/04/2021,Group 1,Taranaki,2,66
04/04/2021,Group 1,Waikato,1,76
04/04/2021,Group 1,Waikato,2,187
04/04/2021,Group 2,Auckland Metro,1,7680
04/04/2021,Group 2,Auckland Metro,2,1177
04/04/2021,Group 2,Bay of Plenty,1,354
04/04/2021,Group 2,Bay of Plenty,2,19
04/04/2021,Group 2,Canterbury,1,54
04/04/2021,Group 2,Canterbury,2,19
04/04/2021,Group 2,Capital & Coast and Hutt Valley,1,3477
04/04/2021,Group 2,Capital & Coast and Hutt Valley,2,37
04/04/2021,Group 2,Hawke's Bay,1,66
04/04/2021,Group 2,Lakes,1,48
04/04/2021,Group 2,Lakes,2,38
04/04/2021,Group 2,MidCentral,1,11
04/04/2021,Group 2,Nelson Marlborough,1,1259
04/04/2021,Group 2,Nelson Marlborough,2,90
04/04/2021,Group 2,Northland,1,190
04/04/2021,Group 2,Northland,2,7
04/04/2021,Group 2,Other Sites,1,1210
04/04/2021,Group 2,Other Sites,2,70
04/04/2021,Group 2,South Canterbury,1,469
04/04/2021,Group 2,South Canterbury,2,12
04/04/2021,Group 2,Southern,1,2423
04/04/2021,Group 2,Taranaki,1,303
04/04/2021,Group 2,Taranaki,2,88
04/04/2021,Group 2,Waikato,1,869
04/04/2021,Group 2,Waikato,2,384
04/04/2021,Group 2,Whanganui,1,90
04/04/2021,Group 3,Capital & Coast and Hutt Valley,1,21
04/04/2021,Group 3,Nelson Marlborough,1,678
04/04/2021,Group 3,Southern,1,12
11/04/2021,Group 1,Auckland Metro,1,1678
11/04/2021,Group 1,Auckland Metro,2,3256
11/04/2021,Group 1,Bay of Plenty,1,79
11/04/2021,Group 1,Bay of Plenty,2,166
11/04/2021,Group 1,Canterbury,1,684
11/04/2021,Group 1,Canterbury,2,702
11/04/2021,Group 1,Capital & Coast and Hutt Valley,1,548
11/04/2021,Group 1,Capital & Coast and Hutt Valley,2,51
11/04/2021,Group 1,Hawke's Bay,1,22
11/04/2021,Group 1,Hawke's Bay,2,38
11/04/2021,Group 1,Lakes,1,98
11/04/2021,Group 1,Lakes,2,114
11/04/2021,Group 1,MidCentral,1,164
11/04/2021,Group 1,Nelson Marlborough,1,75
11/04/2021,Group 1,Nelson Marlborough,2,99
11/04/2021,Group 1,Northland,1,38
11/04/2021,Group 1,Northland,2,60
11/04/2021,Group 1,Other Sites,2,28
11/04/2021,Group 1,South Canterbury,1,55
11/04/2021,Group 1,South Canterbury,2,61
11/04/2021,Group 1,Southern,1,496
11/04/2021,Group 1,Southern,2,7
11/04/2021,Group 1,Taranaki,1,11
11/04/2021,Group 1,Taranaki,2,67
11/04/2021,Group 1,Waikato,1,63
11/04/2021,Group 1,Waikato,2,95
11/04/2021,Group 1,West Coast,1,6
11/04/2021,Group 2,Auckland Metro,1,9519
11/04/2021,Group 2,Auckland Metro,2,608
11/04/2021,Group 2,Bay of Plenty,1,578
11/04/2021,Group 2,Bay of Plenty,2,15
11/04/2021,Group 2,Canterbury,1,72
11/04/2021,Group 2,Canterbury,2,26
11/04/2021,Group 2,Capital & Coast and Hutt Valley,1,3618
11/04/2021,Group 2,Capital & Coast and Hutt Valley,2,195
11/04/2021,Group 2,Hawke's Bay,1,509
11/04/2021,Group 2,Hawke's Bay,2,26
11/04/2021,Group 2,Lakes,1,570
11/04/2021,Group 2,Lakes,2,49
11/04/2021,Group 2,MidCentral,1,13
11/04/2021,Group 2,Nelson Marlborough,1,907
11/04/2021,Group 2,Nelson Marlborough,2,673
11/04/2021,Group 2,Northland,1,1594
11/04/2021,Group 2,Northland,2,5
11/04/2021,Group 2,Other Sites,1,421
11/04/2021,Group 2,Other Sites,2,2108
11/04/2021,Group 2,South Canterbury,1,291
11/04/2021,Group 2,South Canterbury,2,140
11/04/2021,Group 2,Southern,1,2274
11/04/2021,Group 2,Taranaki,1,169
11/04/2021,Group 2,Taranaki,2,83
11/04/2021,Group 2,Waikato,1,1109
11/04/2021,Group 2,Waikato,2,664
11/04/2021,Group 2,Wairarapa,1,115
11/04/2021,Group 2,West Coast,1,28
11/04/2021,Group 2,Whanganui,1,177
11/04/2021,Group 3,Auckland Metro,1,6
11/04/2021,Group 3,Capital & Coast and Hutt Valley,1,24
11/04/2021,Group 3,Nelson Marlborough,1,1138
11/04/2021,Group 3,Other Sites,1,12
11/04/2021,Group 3,Southern,1,17
18/04/2021,Group 1,Auckland Metro,1,2033
18/04/2021,Group 1,Auckland Metro,2,2507
18/04/2021,Group 1,Bay of Plenty,1,58
18/04/2021,Group 1,Bay of Plenty,2,250
18/04/2021,Group 1,Canterbury,1,1164
18/04/2021,Group 1,Canterbury,2,361
18/04/2021,Group 1,Capital & Coast and Hutt Valley,1,509
18/04/2021,Group 1,Capital & Coast and Hutt Valley,2,207
18/04/2021,Group 1,Hawke's Bay,1,90
18/04/2021,Group 1,Hawke's Bay,2,50
18/04/2021,Group 1,Lakes,1,169
18/04/2021,Group 1,Lakes,2,52
18/04/2021,Group 1,MidCentral,1,118
18/04/2021,Group 1,MidCentral,2,7
18/04/2021,Group 1,Nelson Marlborough,1,60
18/04/2021,Group 1,Nelson Marlborough,2,61
18/04/2021,Group 1,Northland,1,37
18/04/2021,Group 1,Northland,2,85
18/04/2021,Group 1,Other Sites,2,52
18/04/2021,Group 1,South Canterbury,1,30
18/04/2021,Group 1,South Canterbury,2,7
18/04/2021,Group 1,Southern,1,849
18/04/2021,Group 1,Southern,2,345
18/04/2021,Group 1,Tairawhiti,1,10
18/04/2021,Group 1,Tairawhiti,2,42
18/04/2021,Group 1,Taranaki,1,19
18/04/2021,Group 1,Taranaki,2,72
18/04/2021,Group 1,Waikato,1,92
18/04/2021,Group 1,Waikato,2,157
18/04/2021,Group 2,Auckland Metro,1,10901
18/04/2021,Group 2,Auckland Metro,2,969
18/04/2021,Group 2,Bay of Plenty,1,914
18/04/2021,Group 2,Bay of Plenty,2,64
18/04/2021,Group 2,Canterbury,1,4343
18/04/2021,Group 2,Canterbury,2,184
18/04/2021,Group 2,Capital & Coast and Hutt Valley,1,3195
18/04/2021,Group 2,Capital & Coast and Hutt Valley,2,854
18/04/2021,Group 2,Hawke's Bay,1,847
18/04/2021,Group 2,Hawke's Bay,2,267
18/04/2021,Group 2,Lakes,1,573
18/04/2021,Group 2,Lakes,2,105
18/04/2021,Group 2,MidCentral,1,209
18/04/2021,Group 2,MidCentral,2,11
18/04/2021,Group 2,Nelson Marlborough,1,1219
18/04/2021,Group 2,Nelson Marlborough,2,469
18/04/2021,Group 2,Northland,1,1539
18/04/2021,Group 2,Northland,2,28
18/04/2021,Group 2,Other Sites,1,239
18/04/2021,Group 2,Other Sites,2,2818
18/04/2021,Group 2,South Canterbury,1,607
18/04/2021,Group 2,South Canterbury,2,37
18/04/2021,Group 2,Southern,1,3897
18/04/2021,Group 2,Southern,2,116
18/04/2021,Group 2,Tairawhiti,1,672
18/04/2021,Group 2,Tairawhiti,2,46
18/04/2021,Group 2,Taranaki,1,262
18/04/2021,Group 2,Taranaki,2,65
18/04/2021,Group 2,Waikato,1,1931
18/04/2021,Group 2,Waikato,2,759
18/04/2021,Group 2,Wairarapa,1,473
18/04/2021,Group 2,West Coast,1,127
18/04/2021,Group 2,Whanganui,1,509
18/04/2021,Group 3,Auckland Metro,1,22
18/04/2021,Group 3,Canterbury,1,20
18/04/2021,Group 3,Capital & Coast and Hutt Valley,1,24
18/04/2021,Group 3,MidCentral,1,22
18/04/2021,Group 3,Nelson Marlborough,1,611
18/04/2021,Group 3,Northland,1,40
18/04/2021,Group 3,Southern,1,140
18/04/2021,Group 3,Waikato,1,29
25/04/2021,Group 1,Auckland Metro,1,2146
25/04/2021,Group 1,Auckland Metro,2,1960
25/04/2021,Group 1,Bay of Plenty,1,70
25/04/2021,Group 1,Bay of Plenty,2,163
25/04/2021,Group 1,Canterbury,1,1041
25/04/2021,Group 1,Canterbury,2,366
25/04/2021,Group 1,Capital & Coast and Hutt Valley,1,203
25/04/2021,Group 1,Capital & Coast and Hutt Valley,2,354
25/04/2021,Group 1,Hawke's Bay,1,22
25/04/2021,Group 1,Hawke's Bay,2,31
25/04/2021,Group 1,Lakes,1,184
25/04/2021,Group 1,Lakes,2,54
25/04/2021,Group 1,MidCentral,1,38
25/04/2021,Group 1,MidCentral,2,73
25/04/2021,Group 1,Nelson Marlborough,1,65
25/04/2021,Group 1,Nelson Marlborough,2,44
25/04/2021,Group 1,Northland,1,22
25/04/2021,Group 1,Northland,2,91
25/04/2021,Group 1,Other Sites,2,43
25/04/2021,Group 1,South Canterbury,1,11
25/04/2021,Group 1,South Canterbury,2,39
25/04/2021,Group 1,Southern,1,42
25/04/2021,Group 1,Southern,2,62
25/04/2021,Group 1,Tairawhiti,1,10
25/04/2021,Group 1,Taranaki,1,16
25/04/2021,Group 1,Taranaki,2,33
25/04/2021,Group 1,Waikato,1,54
25/04/2021,Group 1,Waikato,2,106
25/04/2021,Group 2,Auckland Metro,1,7607
25/04/2021,Group 2,Auckland Metro,2,5507
25/04/2021,Group 2,Bay of Plenty,1,1545
25/04/2021,Group 2,Bay of Plenty,2,277
25/04/2021,Group 2,Canterbury,1,5596
25/04/2021,Group 2,Canterbury,2,109
25/04/2021,Group 2,Capital & Coast and Hutt Valley,1,1934
25/04/2021,Group 2,Capital & Coast and Hutt Valley,2,2530
25/04/2021,Group 2,Hawke's Bay,1,1272
25/04/2021,Group 2,Hawke's Bay,2,86
25/04/2021,Group 2,Lakes,1,1310
25/04/2021,Group 2,Lakes,2,63
25/04/2021,Group 2,MidCentral,1,869
25/04/2021,Group 2,MidCentral,2,16
25/04/2021,Group 2,Nelson Marlborough,1,1260
25/04/2021,Group 2,Nelson Marlborough,2,1070
25/04/2021,Group 2,Northland,1,1347
25/04/2021,Group 2,Northland,2,169
25/04/2021,Group 2,Other Sites,1,503
25/04/2021,Group 2,Other Sites,2,1628
25/04/2021,Group 2,South Canterbury,1,722
25/04/2021,Group 2,South Canterbury,2,416
25/04/2021,Group 2,Southern,1,2492
25/04/2021,Group 2,Southern,2,1254
25/04/2021,Group 2,Tairawhiti,1,610
25/04/2021,Group 2,Tairawhiti,2,6
25/04/2021,Group 2,Taranaki,1,206
25/04/2021,Group 2,Taranaki,2,195
25/04/2021,Group 2,Waikato,1,3178
25/04/2021,Group 2,Waikato,2,802
25/04/2021,Group 2,Wairarapa,1,503
25/04/2021,Group 2,West Coast,1,306
25/04/2021,Group 2,Whanganui,1,778
25/04/2021,Group 2,Whanganui,2,77
25/04/2021,Group 3,Auckland Metro,1,48
25/04/2021,Group 3,Canterbury,1,21
25/04/2021,Group 3,Capital & Coast and Hutt Valley,1,51
25/04/2021,Group 3,Capital & Coast and Hutt Valley,2,9
25/04/2021,Group 3,Hawke's Bay,1,52
25/04/2021,Group 3,Lakes,1,5
25/04/2021,Group 3,Nelson Marlborough,1,875
25/04/2021,Group 3,Nelson Marlborough,2,512
25/04/2021,Group 3,Northland,1,114
25/04/2021,Group 3,Southern,1,101
25/04/2021,Group 3,Southern,2,5
25/04/2021,Group 3,Waikato,1,111
25/04/2021,Group 3,Whanganui,1,5
02/05/2021,Group 1,Auckland Metro,1,1840
02/05/2021,Group 1,Auckland Metro,2,1601
02/05/2021,Group 1,Bay of Plenty,1,106
02/05/2021,Group 1,Bay of Plenty,2,88
02/05/2021,Group 1,Canterbury,1,871
02/05/2021,Group 1,Canterbury,2,408
02/05/2021,Group 1,Capital & Coast and Hutt Valley,1,249
02/05/2021,Group 1,Capital & Coast and Hutt Valley,2,482
02/05/2021,Group 1,Hawke's Bay,1,25
02/05/2021,Group 1,Hawke's Bay,2,26
02/05/2021,Group 1,Lakes,1,262
02/05/2021,Group 1,Lakes,2,92
02/05/2021,Group 1,MidCentral,1,33
02/05/2021,Group 1,MidCentral,2,128
02/05/2021,Group 1,Nelson Marlborough,1,51
02/05/2021,Group 1,Nelson Marlborough,2,37
02/05/2021,Group 1,Northland,1,13
02/05/2021,Group 1,Northland,2,37
02/05/2021,Group 1,Other Sites,2,42
02/05/2021,Group 1,South Canterbury,1,5
02/05/2021,Group 1,South Canterbury,2,55
02/05/2021,Group 1,Southern,1,147
02/05/2021,Group 1,Southern,2,68
02/05/2021,Group 1,Tairawhiti,1,13
02/05/2021,Group 1,Taranaki,1,10
02/05/2021,Group 1,Taranaki,2,27
02/05/2021,Group 1,Waikato,1,33
02/05/2021,Group 1,Waikato,2,62
02/05/2021,Group 1,Wairarapa,1,7
02/05/2021,Group 1,West Coast,2,6
02/05/2021,Group 2,Auckland Metro,1,7948
02/05/2021,Group 2,Auckland Metro,2,7779
02/05/2021,Group 2,Bay of Plenty,1,1968
02/05/2021,Group 2,Bay of Plenty,2,356
02/05/2021,Group 2,Canterbury,1,4565
02/05/2021,Group 2,Canterbury,2,70
02/05/2021,Group 2,Capital & Coast and Hutt Valley,1,1975
02/05/2021,Group 2,Capital & Coast and Hutt Valley,2,3000
02/05/2021,Group 2,Hawke's Bay,1,1635
02/05/2021,Group 2,Hawke's Bay,2,455
02/05/2021,Group 2,Lakes,1,706
02/05/2021,Group 2,Lakes,2,514
02/05/2021,Group 2,MidCentral,1,1067
02/05/2021,Group 2,MidCentral,2,16
02/05/2021,Group 2,Nelson Marlborough,1,1342
02/05/2021,Group 2,Nelson Marlborough,2,657
02/05/2021,Group 2,Northland,1,2189
02/05/2021,Group 2,Northland,2,931
02/05/2021,Group 2,Other Sites,1,312
02/05/2021,Group 2,Other Sites,2,645
02/05/2021,Group 2,South Canterbury,1,615
02/05/2021,Group 2,South Canterbury,2,278
02/05/2021,Group 2,Southern,1,1359
02/05/2021,Group 2,Southern,2,1549
02/05/2021,Group 2,Tairawhiti,1,206
02/05/2021,Group 2,Tairawhiti,2,6
02/05/2021,Group 2,Taranaki,1,311
02/05/2021,Group 2,Taranaki,2,251
02/05/2021,Group 2,Waikato,1,3189
02/05/2021,Group 2,Waikato,2,808
02/05/2021,Group 2,Wairarapa,1,501
02/05/2021,Group 2,Wairarapa,2,81
02/05/2021,Group 2,West Coast,1,365
02/05/2021,Group 2,West Coast,2,20
02/05/2021,Group 2,Whanganui,1,682
02/05/2021,Group 2,Whanganui,2,136
02/05/2021,Group 3,Auckland Metro,1,318
02/05/2021,Group 3,Bay of Plenty,1,17
02/05/2021,Group 3,Canterbury,1,18
02/05/2021,Group 3,Capital & Coast and Hutt Valley,1,84
02/05/2021,Group 3,Capital & Coast and Hutt Valley,2,23
02/05/2021,Group 3,Lakes,1,74
02/05/2021,Group 3,Nelson Marlborough,1,505
02/05/2021,Group 3,Nelson Marlborough,2,848
02/05/2021,Group 3,Northland,1,585
02/05/2021,Group 3,Other Sites,2,13
02/05/2021,Group 3,South Canterbury,1,6
02/05/2021,Group 3,Southern,1,21
02/05/2021,Group 3,Southern,2,10
02/05/2021,Group 3,Waikato,1,216
02/05/2021,Group 3,Wairarapa,1,28
02/05/2021,Group 3,West Coast,1,7
02/05/2021,Group 3,Whanganui,1,18
09/05/2021,Group 1,Auckland Metro,1,1352
09/05/2021,Group 1,Auckland Metro,2,1787
09/05/2021,Group 1,Bay of Plenty,1,74
09/05/2021,Group 1,Bay of Plenty,2,71
09/05/2021,Group 1,Canterbury,1,710
09/05/2021,Group 1,Canterbury,2,846
09/05/2021,Group 1,Capital & Coast and Hutt Valley,1,482
09/05/2021,Group 1,Capital & Coast and Hutt Valley,2,585
09/05/2021,Group 1,Hawke's Bay,1,16
09/05/2021,Group 1,Hawke's Bay,2,59
09/05/2021,Group 1,Lakes,1,238
09/05/2021,Group 1,Lakes,2,111
09/05/2021,Group 1,MidCentral,1,24
09/05/2021,Group 1,MidCentral,2,135
09/05/2021,Group 1,Nelson Marlborough,1,56
09/05/2021,Group 1,Nelson Marlborough,2,84
09/05/2021,Group 1,Northland,2,23
09/05/2021,Group 1,Other Sites,1,619
09/05/2021,Group 1,Other Sites,2,54
09/05/2021,Group 1,South Canterbury,2,30
09/05/2021,Group 1,Southern,1,97
09/05/2021,Group 1,Southern,2,588
09/05/2021,Group 1,Tairawhiti,1,6
09/05/2021,Group 1,Tairawhiti,2,8
09/05/2021,Group 1,Taranaki,1,12
09/05/2021,Group 1,Taranaki,2,21
09/05/2021,Group 1,Waikato,1,35
09/05/2021,Group 1,Waikato,2,77
09/05/2021,Group 2,Auckland Metro,1,12009
09/05/2021,Group 2,Auckland Metro,2,10573
09/05/2021,Group 2,Bay of Plenty,1,2798
09/05/2021,Group 2,Bay of Plenty,2,679
09/05/2021,Group 2,Canterbury,1,3969
09/05/2021,Group 2,Canterbury,2,1491
09/05/2021,Group 2,Capital & Coast and Hutt Valley,1,3386
09/05/2021,Group 2,Capital & Coast and Hutt Valley,2,3660
09/05/2021,Group 2,Hawke's Bay,1,2196
09/05/2021,Group 2,Hawke's Bay,2,761
09/05/2021,Group 2,Lakes,1,858
09/05/2021,Group 2,Lakes,2,540
09/05/2021,Group 2,MidCentral,1,1913
09/05/2021,Group 2,MidCentral,2,168
09/05/2021,Group 2,Nelson Marlborough,1,724
09/05/2021,Group 2,Nelson Marlborough,2,1070
09/05/2021,Group 2,Northland,1,2010
09/05/2021,Group 2,Northland,2,1319
09/05/2021,Group 2,Other Sites,1,1979
09/05/2021,Group 2,Other Sites,2,167
09/05/2021,Group 2,South Canterbury,1,623
09/05/2021,Group 2,South Canterbury,2,593
09/05/2021,Group 2,Southern,1,1579
09/05/2021,Group 2,Southern,2,2729
09/05/2021,Group 2,Tairawhiti,1,113
09/05/2021,Group 2,Tairawhiti,2,575
09/05/2021,Group 2,Taranaki,1,574
09/05/2021,Group 2,Taranaki,2,272
09/05/2021,Group 2,Waikato,1,2968
09/05/2021,Group 2,Waikato,2,1529
09/05/2021,Group 2,Wairarapa,1,481
09/05/2021,Group 2,Wairarapa,2,279
09/05/2021,Group 2,West Coast,1,422
09/05/2021,Group 2,West Coast,2,107
09/05/2021,Group 2,Whanganui,1,796
09/05/2021,Group 2,Whanganui,2,448
09/05/2021,Group 3,Auckland Metro,1,1086
09/05/2021,Group 3,Auckland Metro,2,13
09/05/2021,Group 3,Bay of Plenty,1,1092
09/05/2021,Group 3,Canterbury,1,56
09/05/2021,Group 3,Canterbury,2,13
09/05/2021,Group 3,Capital & Coast and Hutt Valley,1,468
09/05/2021,Group 3,Capital & Coast and Hutt Valley,2,19
09/05/2021,Group 3,Hawke's Bay,1,17
09/05/2021,Group 3,Lakes,1,373
09/05/2021,Group 3,MidCentral,1,16
09/05/2021,Group 3,MidCentral,2,16
09/05/2021,Group 3,Nelson Marlborough,1,1567
09/05/2021,Group 3,Nelson Marlborough,2,772
09/05/2021,Group 3,Northland,1,263
09/05/2021,Group 3,Northland,2,15
09/05/2021,Group 3,Other Sites,1,7
09/05/2021,Group 3,South Canterbury,1,243
09/05/2021,Group 3,Southern,1,26
09/05/2021,Group 3,Southern,2,42
09/05/2021,Group 3,Waikato,1,647
09/05/2021,Group 3,Waikato,2,21
09/05/2021,Group 3,Wairarapa,1,28
09/05/2021,Group 3,West Coast,1,24
09/05/2021,Group 3,Whanganui,1,186
16/05/2021,Group 1,Auckland Metro,1,839
16/05/2021,Group 1,Auckland Metro,2,1882
16/05/2021,Group 1,Bay of Plenty,1,21
16/05/2021,Group 1,Bay of Plenty,2,59
16/05/2021,Group 1,Canterbury,1,557
16/05/2021,Group 1,Canterbury,2,1112
16/05/2021,Group 1,Capital & Coast and Hutt Valley,1,353
16/05/2021,Group 1,Capital & Coast and Hutt Valley,2,209
16/05/2021,Group 1,Hawke's Bay,1,73
16/05/2021,Group 1,Hawke's Bay,2,19
