Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
South Wairarapa District,12+,"10,074","9,534","9,390","8,920","6,730","4,320","1,750",95%,93%,75%,41%
South Wairarapa District,5-11,975,526,264,NA,NA,NA,NA,54%,27%,NA,NA
Southland District,12+,"25,968","23,385","22,999","21,678","14,580","8,536","2,388",90%,89%,67%,28%
Southland District,5-11,"2,981","1,244",624,NA,NA,NA,NA,42%,21%,NA,NA
Stratford District,12+,"7,772","7,211","7,075","6,658","4,399","2,745",837,93%,91%,66%,30%
Stratford District,5-11,960,425,215,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","13,986","13,688","12,899","8,696","5,580","1,800",90%,88%,67%,32%
Tararua District,5-11,"1,887",708,329,NA,NA,NA,NA,38%,17%,NA,NA
Tasman District,12+,"49,220","44,881","44,126","41,929","30,011","19,560","7,768",91%,90%,72%,40%
Tasman District,5-11,"4,677","2,013","1,091",NA,NA,NA,NA,43%,23%,NA,NA
Taupo District,12+,"33,772","30,665","30,076","28,480","18,597","12,052","4,431",91%,89%,65%,37%
Taupo District,5-11,"3,743","1,344",626,NA,Masked,NA,NA,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,200","118,199","111,956","74,736","43,386","16,803",92%,90%,67%,39%
Tauranga City,5-11,"14,283","6,203","2,699",NA,NA,NA,NA,43%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,789","24,375","23,466","17,399","13,126","5,111",90%,89%,74%,39%
Thames-Coromandel District,5-11,"2,163",811,416,NA,NA,NA,NA,37%,19%,NA,NA
Timaru District,12+,"42,396","39,214","38,727","36,678","27,280","17,309","6,060",92%,91%,74%,35%
Timaru District,5-11,"4,148","2,107",984,NA,NA,NA,NA,51%,24%,NA,NA
Unknown,12+,"129,781","55,755","53,879","50,841","30,846","13,866","4,789",43%,42%,61%,35%
Unknown,5-11,"9,527","2,652","1,399",NA,NA,NA,NA,28%,15%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,406","34,303","25,952","13,422","5,628",>95%,95%,76%,42%
Upper Hutt City,5-11,"4,202","2,651","1,559",NA,NA,NA,NA,63%,37%,NA,NA
Waikato District,12+,"67,392","62,991","61,891","57,837","37,843","20,818","6,590",93%,92%,65%,32%
Waikato District,5-11,"8,729","4,038","1,896",NA,NA,NA,NA,46%,22%,NA,NA
Waimakariri District,12+,"55,522","52,399","51,827","49,077","35,811","22,422","8,204",94%,93%,73%,37%
Waimakariri District,5-11,"5,443","2,710","1,589",NA,NA,NA,NA,50%,29%,NA,NA
Waimate District,12+,"7,173","6,452","6,359","6,047","4,326","2,847",868,90%,89%,72%,30%
Waimate District,5-11,667,263,122,NA,NA,NA,NA,39%,18%,NA,NA
Waipa District,12+,"48,972","45,948","45,371","42,569","29,682","17,473","6,313",94%,93%,70%,36%
Waipa District,5-11,"5,522","2,725","1,448",NA,NA,NA,NA,49%,26%,NA,NA
Wairoa District,12+,"6,748","5,971","5,754","5,417","3,610","2,277",957,88%,85%,67%,42%
Wairoa District,5-11,876,259,79,NA,NA,NA,NA,30%,9%,NA,NA
Waitaki District,12+,"19,993","18,399","18,127","17,159","12,499","8,117","2,688",92%,91%,73%,33%
Waitaki District,5-11,"1,935",927,413,NA,NA,NA,NA,48%,21%,NA,NA
Waitomo District,12+,"8,061","7,220","7,014","6,451","3,992","2,513",560,90%,87%,62%,22%
Waitomo District,5-11,937,313,130,NA,NA,NA,NA,33%,14%,NA,NA
Wellington City,12+,"188,336",Masked,"178,887","170,093","139,445","52,997","24,433",>95%,95%,82%,46%
Wellington City,5-11,"15,438","11,306","8,228",NA,NA,NA,NA,73%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,282","43,445","41,308","27,230","17,978","6,353",89%,87%,66%,35%
Western Bay of Plenty District,5-11,"4,834","1,743",701,NA,NA,NA,NA,36%,15%,NA,NA
Westland District,12+,"7,310","6,720","6,626","6,315","4,411","2,821",824,92%,91%,70%,29%
Westland District,5-11,670,269,137,NA,NA,NA,NA,40%,20%,NA,NA
Whakatane District,12+,"31,208","27,414","26,682","25,211","16,160","10,492","3,514",88%,85%,64%,33%
Whakatane District,5-11,"3,832","1,196",571,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,135","36,466","34,519","24,767","15,761","6,666",90%,88%,72%,42%
Whanganui District,5-11,"4,457","1,689",892,NA,NA,NA,NA,38%,20%,NA,NA
Whangarei District,12+,"83,037","73,942","72,384","68,382","47,655","29,693","10,791",89%,87%,70%,36%
Whangarei District,5-11,"9,559","3,559","1,565",NA,NA,NA,NA,37%,16%,NA,NA
