Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Waikato District,5-11,"8,773","3,546","1,728",NA,NA,NA,NA,40%,20%,NA,NA
Waimakariri District,12+,"56,645","52,759","52,092","49,636","36,152","32,679","13,573",93%,92%,73%,42%
Waimakariri District,5-11,"5,422","2,451","1,444",NA,NA,NA,NA,45%,27%,NA,NA
Waimate District,12+,"7,221","6,371","6,262","6,004","4,263","3,920","1,379",88%,87%,71%,35%
Waimate District,5-11,667,237,113,NA,NA,NA,NA,36%,17%,NA,NA
Waipa District,12+,"49,511","45,913","45,187","42,756","29,743","26,591","9,709",93%,91%,70%,37%
Waipa District,5-11,"5,560","2,447","1,333",NA,NA,NA,NA,44%,24%,NA,NA
Wairoa District,12+,"6,896","5,820","5,602","5,329","3,567","3,185","1,367",84%,81%,67%,43%
Wairoa District,5-11,899,222,72,NA,NA,NA,NA,25%,8%,NA,NA
Waitaki District,12+,"20,143","18,338","18,017","17,202","12,494","11,332","4,279",91%,89%,73%,38%
Waitaki District,5-11,"1,916",785,349,NA,NA,NA,NA,41%,18%,NA,NA
Waitomo District,12+,"8,160","7,147","6,921","6,567","3,981","3,575","1,232",88%,85%,61%,34%
Waitomo District,5-11,958,271,120,NA,NA,NA,NA,28%,13%,NA,NA
Wellington City,12+,"189,725","179,193","177,873","169,657","139,063","105,523","46,536",94%,94%,82%,44%
Wellington City,5-11,"15,221","10,229","7,624",NA,Masked,NA,NA,67%,50%,>95%,NA
Western Bay of Plenty District,12+,"50,568","44,181","43,203","41,423","27,199","24,951","9,391",87%,85%,66%,38%
Western Bay of Plenty District,5-11,"4,848","1,495",652,NA,NA,NA,NA,31%,13%,NA,NA
Westland District,12+,"7,320","6,744","6,635","6,370","4,416","4,074","1,298",92%,91%,69%,32%
Westland District,5-11,671,235,125,NA,NA,NA,NA,35%,19%,NA,NA
Whakatane District,12+,"31,613","27,250","26,472","25,239","16,063","14,738","5,254",86%,84%,64%,36%
Whakatane District,5-11,"3,853","1,080",527,NA,NA,NA,NA,28%,14%,NA,NA
Whanganui District,12+,"41,569","36,755","35,998","34,292","24,474","22,090","9,542",88%,87%,71%,43%
Whanganui District,5-11,"4,439","1,457",784,NA,NA,NA,NA,33%,18%,NA,NA
Whangarei District,12+,"84,179","73,441","71,692","68,308","47,410","43,014","15,684",87%,85%,69%,36%
Whangarei District,5-11,"9,620","3,180","1,475",NA,NA,NA,NA,33%,15%,NA,NA
