SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
104000,Mataraua Forest,Northland,Maori,5-11,54,10,Masked,NA,NA,NA,NA,19%,9%,NA,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,849,648,624,565,286,151,26,76%,73%,51%,17%
104100,Matawaia-Taumarere,Northland,Maori,5-11,164,41,7,NA,NA,NA,NA,25%,<5%,NA,NA
104200,Russell Peninsula,Northland,Maori,12+,82,62,62,58,43,22,7,76%,76%,74%,32%
104300,Opua (Far North District),Northland,Maori,12+,180,132,127,119,67,42,10,73%,71%,56%,24%
104400,Russell Forest-Rawhiti,Northland,Maori,12+,412,351,335,316,192,126,35,85%,81%,61%,28%
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,67,11,Masked,NA,NA,NA,NA,16%,<5%,NA,NA
104500,Moerewa,Northland,Maori,12+,"1,205",980,939,857,435,234,57,81%,78%,51%,24%
104500,Moerewa,Northland,Maori,5-11,228,32,8,NA,NA,NA,NA,14%,<5%,NA,NA
104600,Kawakawa,Northland,Maori,12+,837,713,674,613,306,151,31,85%,81%,50%,21%
104600,Kawakawa,Northland,Maori,5-11,152,34,9,NA,NA,NA,NA,22%,6%,NA,NA
104700,Maromaku,Northland,Maori,12+,265,197,187,171,89,40,8,74%,71%,52%,20%
104700,Maromaku,Northland,Maori,5-11,75,22,Masked,NA,NA,NA,NA,29%,5%,NA,NA
104800,Mangakahia-Hukerenui,Northland,Maori,12+,630,530,509,457,236,121,32,84%,81%,52%,26%
104800,Mangakahia-Hukerenui,Northland,Maori,5-11,129,28,Masked,NA,NA,NA,NA,22%,<5%,NA,NA
104900,Whangaruru,Northland,Maori,12+,700,569,553,511,280,148,23,81%,79%,55%,16%
104900,Whangaruru,Northland,Maori,5-11,137,41,7,NA,NA,NA,NA,30%,5%,NA,NA
105100,Matarau,Northland,Maori,12+,397,326,317,281,152,66,19,82%,80%,54%,29%
105100,Matarau,Northland,Maori,5-11,86,27,11,NA,NA,NA,NA,31%,13%,NA,NA
105200,Hikurangi,Northland,Maori,12+,495,415,396,355,173,71,14,84%,80%,49%,20%
105200,Hikurangi,Northland,Maori,5-11,132,44,18,NA,NA,NA,NA,33%,14%,NA,NA
105300,Kauri,Northland,Maori,12+,247,208,205,191,114,61,11,84%,83%,60%,18%
105300,Kauri,Northland,Maori,5-11,59,16,Masked,NA,NA,NA,NA,27%,8%,NA,NA
105400,Maungatapere,Northland,Maori,12+,450,389,375,344,205,85,26,86%,83%,60%,31%
105400,Maungatapere,Northland,Maori,5-11,99,35,15,NA,NA,NA,NA,35%,15%,NA,NA
105500,Kamo West,Northland,Maori,12+,423,366,360,313,184,97,28,87%,85%,59%,29%
105500,Kamo West,Northland,Maori,5-11,86,40,16,NA,NA,NA,NA,47%,19%,NA,NA
105600,Matapouri-Tutukaka,Northland,Maori,12+,235,198,191,174,102,57,11,84%,81%,59%,19%
105700,Kiripaka,Northland,Maori,12+,204,169,162,151,78,48,12,83%,79%,52%,25%
105800,Kamo East,Northland,Maori,12+,"1,004",851,816,734,332,112,21,85%,81%,45%,19%
105800,Kamo East,Northland,Maori,5-11,247,73,20,NA,NA,NA,NA,30%,8%,NA,NA
105800,Kamo East,Northland,Pacific Peoples,12+,98,81,80,74,40,9,NA,83%,82%,54%,0%
105900,Granfield Reserve,Northland,Maori,12+,494,436,415,381,208,97,28,88%,84%,55%,29%
105900,Granfield Reserve,Northland,Maori,5-11,86,28,9,NA,NA,NA,NA,33%,10%,NA,NA
106000,Kamo Central,Northland,Maori,12+,434,383,370,336,179,85,27,88%,85%,53%,32%
106000,Kamo Central,Northland,Maori,5-11,93,36,15,NA,NA,NA,NA,39%,16%,NA,NA
106100,Whau Valley,Northland,Maori,12+,617,528,511,470,254,106,17,86%,83%,54%,16%
106100,Whau Valley,Northland,Maori,5-11,132,43,11,NA,NA,NA,NA,33%,8%,NA,NA
106100,Whau Valley,Northland,Pacific Peoples,12+,48,43,42,39,25,11,Masked,90%,88%,64%,18%
106200,Tikipunga North,Northland,Maori,12+,"1,039",852,817,737,374,165,39,82%,79%,51%,24%
106200,Tikipunga North,Northland,Maori,5-11,251,74,16,NA,NA,NA,NA,29%,6%,NA,NA
106200,Tikipunga North,Northland,Pacific Peoples,12+,82,69,68,65,36,10,Masked,84%,83%,55%,20%
106300,Pukenui,Northland,Maori,12+,182,161,159,138,93,50,18,88%,87%,67%,36%
106300,Pukenui,Northland,Maori,5-11,56,27,7,NA,NA,NA,NA,48%,12%,NA,NA
106400,Otangarei,Northland,Maori,12+,"1,333","1,058",974,898,402,183,26,79%,73%,45%,14%
106400,Otangarei,Northland,Maori,5-11,289,46,9,NA,NA,NA,NA,16%,<5%,NA,NA
106400,Otangarei,Northland,Pacific Peoples,12+,53,44,42,39,20,14,Masked,83%,79%,51%,21%
106500,Tikipunga South,Northland,Maori,12+,"1,253","1,071","1,030",922,480,222,58,85%,82%,52%,26%
106500,Tikipunga South,Northland,Maori,5-11,289,98,22,NA,NA,NA,NA,34%,8%,NA,NA
106500,Tikipunga South,Northland,Pacific Peoples,12+,88,Masked,81,78,38,13,6,>95%,92%,49%,46%
106600,Kensington (Whangarei District),Northland,Maori,12+,769,636,615,577,317,154,43,83%,80%,55%,28%
106600,Kensington (Whangarei District),Northland,Maori,5-11,113,20,9,NA,NA,NA,NA,18%,8%,NA,NA
106600,Kensington (Whangarei District),Northland,Pacific Peoples,12+,68,64,63,59,34,10,Masked,94%,93%,58%,20%
106700,Abbey Caves-Glenbervie,Northland,Maori,12+,147,125,119,113,60,29,8,85%,81%,53%,28%
106800,Mairtown,Northland,Maori,12+,550,469,460,429,270,137,32,85%,84%,63%,23%
106800,Mairtown,Northland,Maori,5-11,95,37,12,NA,NA,NA,NA,39%,13%,NA,NA
106800,Mairtown,Northland,Pacific Peoples,12+,53,47,46,43,27,9,Masked,89%,87%,63%,22%
106900,Maunu-Horahora,Northland,Maori,12+,538,464,453,412,234,102,25,86%,84%,57%,25%
106900,Maunu-Horahora,Northland,Maori,5-11,97,44,16,NA,NA,NA,NA,45%,16%,NA,NA
106900,Maunu-Horahora,Northland,Pacific Peoples,12+,44,41,40,38,30,11,Masked,93%,91%,79%,18%
107000,Woodhill-Vinetown,Northland,Maori,12+,730,590,565,522,294,135,39,81%,77%,56%,29%
107000,Woodhill-Vinetown,Northland,Maori,5-11,112,33,11,NA,NA,NA,NA,29%,10%,NA,NA
107000,Woodhill-Vinetown,Northland,Pacific Peoples,12+,81,Masked,76,69,38,8,Masked,>95%,94%,55%,25%
107100,Whangarei Central,Northland,Maori,12+,269,229,221,206,113,50,10,85%,82%,55%,20%
107200,Riverside,Northland,Maori,12+,433,362,354,336,177,81,20,84%,82%,53%,25%
107200,Riverside,Northland,Maori,5-11,86,30,Masked,NA,NA,NA,NA,35%,<5%,NA,NA
107200,Riverside,Northland,Pacific Peoples,12+,45,40,40,36,20,5,Masked,89%,89%,56%,20%
107300,Raumanga,Northland,Maori,12+,"1,496","1,225","1,148","1,028",451,181,45,82%,77%,44%,25%
107300,Raumanga,Northland,Maori,5-11,339,91,22,NA,NA,NA,NA,27%,6%,NA,NA
107300,Raumanga,Northland,Pacific Peoples,12+,107,96,90,77,38,12,Masked,90%,84%,49%,33%
107400,Tarewa,Northland,Maori,12+,929,739,708,643,322,129,22,80%,76%,50%,17%
107400,Tarewa,Northland,Maori,5-11,229,61,20,NA,NA,NA,NA,27%,9%,NA,NA
107400,Tarewa,Northland,Pacific Peoples,12+,43,40,38,33,16,7,Masked,93%,88%,48%,14%
107500,Morningside (Whangarei District),Northland,Maori,12+,804,690,658,609,313,133,38,86%,82%,51%,29%
107500,Morningside (Whangarei District),Northland,Maori,5-11,129,47,18,NA,NA,NA,NA,36%,14%,NA,NA
107500,Morningside (Whangarei District),Northland,Pacific Peoples,12+,48,43,42,40,21,7,Masked,90%,88%,52%,29%
107600,Ngunguru,Northland,Maori,12+,166,140,139,128,78,38,12,84%,84%,61%,32%
107600,Ngunguru,Northland,Maori,5-11,42,15,Masked,NA,NA,NA,NA,36%,12%,NA,NA
107700,Otaika-Portland,Northland,Maori,12+,297,242,230,209,125,75,13,81%,77%,60%,17%
107700,Otaika-Portland,Northland,Maori,5-11,58,19,10,NA,NA,NA,NA,33%,17%,NA,NA
107800,Oakleigh-Mangapai,Northland,Maori,12+,269,223,221,194,101,56,16,83%,82%,52%,29%
107800,Oakleigh-Mangapai,Northland,Maori,5-11,54,13,7,NA,NA,NA,NA,24%,13%,NA,NA
108000,Pataua,Northland,Maori,12+,204,154,148,136,68,35,10,75%,73%,50%,29%
108000,Pataua,Northland,Maori,5-11,43,8,Masked,NA,NA,NA,NA,19%,9%,NA,NA
108100,Onerahi Park,Northland,Maori,12+,257,226,221,205,128,62,13,88%,86%,62%,21%
108100,Onerahi Park,Northland,Maori,5-11,49,19,9,NA,NA,NA,NA,39%,18%,NA,NA
108200,Sherwood Rise,Northland,Maori,12+,677,577,555,503,257,117,23,85%,82%,51%,20%
108200,Sherwood Rise,Northland,Maori,5-11,157,40,14,NA,NA,NA,NA,25%,9%,NA,NA
108200,Sherwood Rise,Northland,Pacific Peoples,12+,41,Masked,Masked,36,17,6,Masked,>95%,>95%,47%,17%
108300,Onerahi,Northland,Maori,12+,608,495,472,419,205,82,20,81%,78%,49%,24%
108300,Onerahi,Northland,Maori,5-11,153,38,17,NA,NA,NA,NA,25%,11%,NA,NA
108300,Onerahi,Northland,Pacific Peoples,12+,49,40,40,37,17,6,Masked,82%,82%,46%,33%
108500,Parua Bay,Northland,Maori,12+,291,259,257,236,151,69,16,89%,88%,64%,23%
108500,Parua Bay,Northland,Maori,5-11,58,26,7,NA,NA,NA,NA,45%,12%,NA,NA
108600,Bream Bay,Northland,Maori,12+,366,301,291,259,140,77,17,82%,80%,54%,22%
108600,Bream Bay,Northland,Maori,5-11,72,18,8,NA,NA,NA,NA,25%,11%,NA,NA
108700,Marsden Bay,Northland,Maori,12+,336,298,291,263,152,74,25,89%,87%,58%,34%
108700,Marsden Bay,Northland,Maori,5-11,81,21,10,NA,NA,NA,NA,26%,12%,NA,NA
108800,Ruakaka,Northland,Maori,12+,637,555,535,488,257,125,38,87%,84%,53%,30%
108800,Ruakaka,Northland,Maori,5-11,139,43,9,NA,NA,NA,NA,31%,6%,NA,NA
108800,Ruakaka,Northland,Pacific Peoples,12+,52,47,47,43,30,11,Masked,90%,90%,70%,27%
108900,Bream Head,Northland,Maori,12+,90,78,78,74,54,32,16,87%,87%,73%,50%
109000,Waipu,Northland,Maori,12+,318,259,253,234,134,78,24,81%,80%,57%,31%
109000,Waipu,Northland,Maori,5-11,55,14,6,NA,NA,NA,NA,25%,11%,NA,NA
109100,Kaipara Coastal,Northland,Maori,12+,908,675,639,594,294,167,27,74%,70%,49%,16%
109100,Kaipara Coastal,Northland,Maori,5-11,176,41,12,NA,NA,NA,NA,23%,7%,NA,NA
109100,Kaipara Coastal,Northland,Pacific Peoples,12+,66,52,51,46,15,10,Masked,79%,77%,33%,40%
109200,Maungaru,Northland,Maori,12+,269,225,217,198,100,46,13,84%,81%,51%,28%
109200,Maungaru,Northland,Maori,5-11,60,21,Masked,NA,NA,NA,NA,35%,7%,NA,NA
109300,Dargaville,Northland,Maori,12+,"1,387","1,101","1,031",962,428,214,42,79%,74%,44%,20%
109300,Dargaville,Northland,Maori,5-11,273,45,21,NA,NA,NA,NA,16%,8%,NA,NA
109300,Dargaville,Northland,Pacific Peoples,12+,218,194,188,175,74,25,Masked,89%,86%,42%,8%
109300,Dargaville,Northland,Pacific Peoples,5-11,46,11,Masked,NA,NA,NA,NA,24%,<5%,NA,NA
109400,Ruawai-Matakohe,Northland,Maori,12+,499,389,374,344,192,121,27,78%,75%,56%,22%
109400,Ruawai-Matakohe,Northland,Maori,5-11,108,24,8,NA,NA,NA,NA,22%,7%,NA,NA
109500,Otamatea (Kaipara District),Northland,Maori,12+,179,132,127,123,69,37,8,74%,71%,56%,22%
109500,Otamatea (Kaipara District),Northland,Maori,5-11,43,9,Masked,NA,NA,NA,NA,21%,<5%,NA,NA
109600,Maungaturoto,Northland,Maori,12+,191,163,157,142,71,33,Masked,85%,82%,50%,3%
109600,Maungaturoto,Northland,Maori,5-11,52,17,Masked,NA,NA,NA,NA,33%,6%,NA,NA
109700,Kaiwaka,Northland,Maori,12+,441,324,312,283,137,83,14,73%,71%,48%,17%
109700,Kaiwaka,Northland,Maori,5-11,91,22,Masked,NA,NA,NA,NA,24%,<5%,NA,NA
109800,Mangawhai Rural,Northland,Maori,12+,195,145,142,130,69,38,10,74%,73%,53%,26%
109800,Mangawhai Rural,Northland,Maori,5-11,61,11,6,NA,NA,NA,NA,18%,10%,NA,NA
109800,Mangawhai Rural,Northland,Pacific Peoples,12+,42,31,31,29,18,14,Masked,74%,74%,62%,21%
109900,Mangawhai Heads,Northland,Maori,12+,169,142,137,123,72,36,8,84%,81%,59%,22%
109900,Mangawhai Heads,Northland,Maori,5-11,50,16,6,NA,NA,NA,NA,32%,12%,NA,NA
110100,Mangawhai,Northland,Maori,12+,84,67,66,55,33,18,Masked,80%,79%,60%,22%
110200,Okahukura Peninsula,Waitemata,Maori,12+,186,152,148,125,49,29,8,82%,80%,39%,28%
110200,Okahukura Peninsula,Waitemata,Maori,5-11,47,8,Masked,NA,NA,NA,NA,17%,11%,NA,NA
110400,Cape Rodney,Waitemata,Maori,12+,385,324,322,291,158,90,27,84%,84%,54%,30%
110400,Cape Rodney,Waitemata,Maori,5-11,68,28,20,NA,NA,NA,NA,41%,29%,NA,NA
110400,Cape Rodney,Waitemata,Pacific Peoples,12+,55,43,40,37,20,12,Masked,78%,73%,54%,17%
110500,Wellsford,Waitemata,Maori,12+,300,224,215,200,85,34,9,75%,72%,42%,26%
110500,Wellsford,Waitemata,Maori,5-11,64,12,6,NA,NA,NA,NA,19%,9%,NA,NA
110500,Wellsford,Waitemata,Pacific Peoples,12+,81,69,68,68,26,7,Masked,85%,84%,38%,14%
110700,South Head,Waitemata,Maori,12+,392,330,321,297,149,82,23,84%,82%,50%,28%
110700,South Head,Waitemata,Maori,5-11,85,21,Masked,NA,NA,NA,NA,25%,<5%,NA,NA
110700,South Head,Waitemata,Pacific Peoples,12+,57,Masked,48,46,27,8,Masked,>95%,84%,59%,12%
110800,Kaipara Hills,Waitemata,Maori,12+,271,225,216,188,96,46,8,83%,80%,51%,17%
110800,Kaipara Hills,Waitemata,Maori,5-11,56,15,Masked,NA,NA,NA,NA,27%,9%,NA,NA
110900,Dome Valley-Matakana,Waitemata,Maori,12+,89,66,63,57,29,19,Masked,74%,71%,51%,26%
111100,Warkworth West,Waitemata,Maori,12+,147,128,124,113,57,22,Masked,87%,84%,50%,23%
111100,Warkworth West,Waitemata,Pacific Peoples,12+,101,Masked,Masked,85,58,13,Masked,>95%,>95%,68%,38%
111200,Puhoi Valley,Waitemata,Maori,12+,212,181,174,157,74,32,8,85%,82%,47%,25%
111200,Puhoi Valley,Waitemata,Pacific Peoples,12+,78,70,70,64,45,6,Masked,90%,90%,70%,50%
111300,Warkworth East,Waitemata,Maori,12+,199,174,169,155,72,31,13,87%,85%,46%,42%
111300,Warkworth East,Waitemata,Maori,5-11,43,10,6,NA,NA,NA,NA,23%,14%,NA,NA
111300,Warkworth East,Waitemata,Pacific Peoples,12+,198,Masked,Masked,170,103,20,Masked,>95%,>95%,61%,10%
111300,Warkworth East,Waitemata,Pacific Peoples,5-11,51,22,10,NA,NA,NA,NA,43%,20%,NA,NA
111500,Tawharanui Peninsula,Waitemata,Maori,12+,80,71,70,63,47,26,13,89%,88%,75%,50%
111500,Tawharanui Peninsula,Waitemata,Pacific Peoples,12+,68,64,63,62,50,10,Masked,94%,93%,81%,10%
111600,Te Kuru,Waitemata,Maori,12+,154,139,136,126,62,30,11,90%,88%,49%,37%
111700,Snells Beach,Waitemata,Maori,12+,236,217,216,189,113,66,21,92%,92%,60%,32%
111700,Snells Beach,Waitemata,Maori,5-11,43,22,9,NA,NA,NA,NA,51%,21%,NA,NA
111700,Snells Beach,Waitemata,Pacific Peoples,12+,118,Masked,Masked,104,61,15,Masked,>95%,>95%,59%,20%
111800,Barrier Islands,Auckland,Maori,12+,183,158,154,141,95,49,23,86%,84%,67%,47%
111900,Algies Bay-Scotts Landing,Waitemata,Maori,12+,50,45,44,37,22,17,8,90%,88%,59%,47%
112100,Wainui-Waiwera,Waitemata,Maori,12+,107,92,90,86,52,23,8,86%,84%,60%,35%
112200,Parakai,Waitemata,Maori,12+,206,180,171,144,63,30,9,87%,83%,44%,30%
112300,Helensville Rural,Waitemata,Maori,12+,123,112,111,105,60,33,9,91%,90%,57%,27%
112400,Helensville,Waitemata,Maori,12+,413,339,327,300,158,77,22,82%,79%,53%,29%
112400,Helensville,Waitemata,Maori,5-11,88,33,9,NA,NA,NA,NA,38%,10%,NA,NA
112400,Helensville,Waitemata,Pacific Peoples,12+,106,Masked,Masked,104,67,21,9,>95%,>95%,64%,43%
112500,Waitoki,Waitemata,Maori,12+,58,50,50,47,27,14,Masked,86%,86%,57%,21%
112600,Waikoukou Valley,Waitemata,Maori,12+,97,89,87,74,43,17,6,92%,90%,58%,35%
112700,Orewa North,Waitemata,Maori,12+,192,174,172,157,94,51,21,91%,90%,60%,41%
112700,Orewa North,Waitemata,Pacific Peoples,12+,62,57,56,52,35,20,8,92%,90%,67%,40%
112800,Hatfields Beach,Waitemata,Maori,12+,117,99,99,87,51,20,Masked,85%,85%,59%,20%
112900,Orewa South,Waitemata,Maori,12+,133,119,116,109,62,38,18,89%,87%,57%,47%
112900,Orewa South,Waitemata,Pacific Peoples,12+,64,60,60,59,36,16,Masked,94%,94%,61%,25%
113000,Orewa Central,Waitemata,Maori,12+,160,142,140,132,87,51,20,89%,88%,66%,39%
113000,Orewa Central,Waitemata,Pacific Peoples,12+,65,57,57,54,35,15,7,88%,88%,65%,47%
113100,Millwater North,Waitemata,Maori,12+,85,73,72,57,38,13,Masked,86%,85%,67%,38%
113200,Waipatukahu,Waitemata,Maori,12+,161,142,138,129,79,47,11,88%,86%,61%,23%
113300,Millwater South,Waitemata,Maori,12+,141,127,123,105,62,24,9,90%,87%,59%,38%
113400,Dairy Flat North,Waitemata,Maori,12+,157,133,126,118,53,21,Masked,85%,80%,45%,19%
113500,Dairy Flat West,Waitemata,Maori,12+,57,46,46,41,22,10,Masked,81%,81%,54%,50%
