Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Hamilton City,5-11,"17,176","9,295","3,935",NA,NA,54%,23%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,332","43,564",>95%,>95%,68%
Hastings District,5-11,"8,928","4,126","1,618",NA,NA,46%,18%,NA
Hauraki District,12+,"17,315","15,840","15,543","14,697","9,867",91%,90%,67%
Hauraki District,5-11,"1,785",667,266,NA,NA,37%,15%,NA
Horowhenua District,12+,"28,779",Masked,"27,311","25,734","18,135",>95%,95%,70%
Horowhenua District,5-11,"3,100","1,413",535,NA,NA,46%,17%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,821","7,016",>95%,>95%,71%
Hurunui District,5-11,"1,176",614,308,NA,NA,52%,26%,NA
Invercargill City,12+,"45,867",Masked,"43,355","40,742","28,596",>95%,95%,70%
Invercargill City,5-11,"5,141","2,587","1,197",NA,NA,50%,23%,NA
Kaikoura District,12+,"3,473","3,208","3,176","3,029","2,236",92%,91%,74%
Kaikoura District,5-11,315,153,88,NA,NA,49%,28%,NA
Kaipara District,12+,"20,170","18,121","17,695","16,822","11,023",90%,88%,66%
Kaipara District,5-11,"2,228",739,290,NA,NA,33%,13%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,706","33,385",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,568","1,461",NA,NA,55%,31%,NA
Kawerau District,12+,"6,115","5,529","5,339","4,948","2,927",90%,87%,59%
Kawerau District,5-11,854,222,44,NA,NA,26%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"81,980","60,686",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,610","3,441",NA,NA,63%,33%,NA
Mackenzie District,12+,"4,131","3,861","3,817","3,647","2,563",93%,92%,70%
Mackenzie District,5-11,387,189,78,NA,NA,49%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,195","16,309",>95%,>95%,70%
Manawatu District,5-11,"3,183","1,690",792,NA,NA,53%,25%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,374","28,397",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,279","1,115",NA,NA,55%,27%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,442","14,271",>95%,>95%,70%
Masterton District,5-11,"2,400","1,155",418,NA,NA,48%,17%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,662","26,076","16,796",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,378",467,NA,NA,42%,14%,NA
Napier City,12+,"54,392",Masked,"51,569","48,526","34,188",>95%,95%,70%
Napier City,5-11,"6,159","2,940","1,163",NA,NA,48%,19%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,738","30,045",>95%,>95%,74%
Nelson City,5-11,"4,453","2,666","1,133",NA,NA,60%,25%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"61,279","41,965",>95%,>95%,68%
New Plymouth District,5-11,"8,373","4,020","1,955",NA,NA,48%,23%,NA
Opotiki District,12+,"7,121","6,738","6,460","6,075","3,814",95%,91%,63%
Opotiki District,5-11,967,256,71,NA,NA,26%,7%,NA
Otorohanga District,12+,"7,960","7,376","7,234","6,749","3,934",93%,91%,58%
Otorohanga District,5-11,"1,086",342,126,NA,NA,31%,12%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,318","47,418",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,883","2,484",NA,NA,58%,30%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,982","30,735",>95%,>95%,72%
Porirua City,5-11,"6,751","3,902","1,705",NA,NA,58%,25%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"36,750","23,141",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,149","1,003",NA,NA,63%,29%,NA
Rangitikei District,12+,"12,699","11,846","11,651","10,997","7,699",93%,92%,70%
Rangitikei District,5-11,"1,491",685,269,NA,NA,46%,18%,NA
Rotorua District,12+,"58,081",Masked,"54,443","50,720","33,163",>95%,94%,65%
Rotorua District,5-11,"7,718","3,326","1,312",NA,NA,43%,17%,NA
Ruapehu District,12+,"9,936","8,858","8,592","8,070","5,123",89%,86%,63%
Ruapehu District,5-11,"1,366",415,161,NA,NA,30%,12%,NA
Selwyn District,12+,"52,972",Masked,Masked,"53,808","40,078",>95%,>95%,74%
Selwyn District,5-11,"6,904","5,054","2,749",NA,NA,73%,40%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,008","12,247",>95%,>95%,64%
South Taranaki District,5-11,"2,692","1,194",540,NA,NA,44%,20%,NA
South Waikato District,12+,"19,628","18,127","17,716","16,571","9,906",92%,90%,60%
South Waikato District,5-11,"2,626",954,329,NA,NA,36%,13%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,925","6,706",>95%,>95%,75%
South Wairarapa District,5-11,997,563,250,NA,NA,56%,25%,NA
Southland District,12+,"25,064","23,368","23,049","21,597","14,451",93%,92%,67%
Southland District,5-11,"3,087","1,358",614,NA,NA,44%,20%,NA
Stratford District,12+,"7,475",Masked,"7,033","6,586","4,366",>95%,94%,66%
Stratford District,5-11,993,486,220,NA,NA,49%,22%,NA
Tararua District,12+,"15,002","13,995","13,737","12,886","8,606",93%,92%,67%
Tararua District,5-11,"1,897",773,313,NA,NA,41%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,386","29,437",>95%,>95%,71%
Tasman District,5-11,"4,679","2,222","1,101",NA,NA,47%,24%,NA
Taupo District,12+,"32,180",Masked,"30,077","28,306","18,377",>95%,93%,65%
Taupo District,5-11,"3,743","1,474",600,NA,NA,39%,16%,NA
Tauranga City,12+,"121,578",Masked,Masked,"111,284","73,480",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,740","2,447",NA,NA,48%,17%,NA
Thames-Coromandel District,12+,"26,265","24,858","24,476","23,477","17,320",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",868,395,NA,NA,40%,18%,NA
Timaru District,12+,"41,091",Masked,"38,719","36,525","27,061",>95%,94%,74%
Timaru District,5-11,"4,189","2,301",989,NA,NA,55%,24%,NA
Unknown,12+,"129,586","53,911","52,249","49,336","29,425",42%,40%,60%
Unknown,5-11,"11,050","2,501","1,200",NA,NA,23%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"34,057","25,549",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,871","1,500",NA,NA,67%,35%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,250","36,992",>95%,>95%,65%
Waikato District,5-11,"8,689","4,342","1,746",NA,NA,50%,20%,NA
Waimakariri District,12+,"52,718",Masked,Masked,"48,636","35,368",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,956","1,601",NA,NA,54%,29%,NA
Waimate District,12+,"6,936","6,483","6,405","6,056","4,339",93%,92%,72%
Waimate District,5-11,693,301,129,NA,NA,43%,19%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,267","29,230",>95%,>95%,69%
Waipa District,5-11,"5,531","2,992","1,451",NA,NA,54%,26%,NA
Wairoa District,12+,"6,303","5,979","5,770","5,380","3,550",95%,92%,66%
Wairoa District,5-11,896,282,73,NA,NA,31%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,200","17,174","12,431",>95%,94%,72%
Waitaki District,5-11,"2,012","1,004",401,NA,NA,50%,20%,NA
Waitomo District,12+,"7,758","7,153","6,980","6,522","3,916",92%,90%,60%
Waitomo District,5-11,967,347,114,NA,NA,36%,12%,NA
Wellington City,12+,"178,497",Masked,Masked,"169,723","137,879",>95%,>95%,81%
Wellington City,5-11,"16,089","12,127","7,941",NA,NA,75%,49%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"41,064","26,738",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,917",653,NA,NA,39%,13%,NA
Westland District,12+,"7,098","6,706","6,624","6,280","4,375",94%,93%,70%
Westland District,5-11,670,302,141,NA,NA,45%,21%,NA
Whakatane District,12+,"30,314","27,311","26,643","24,910","15,881",90%,88%,64%
Whakatane District,5-11,"3,821","1,307",542,NA,NA,34%,14%,NA
Whanganui District,12+,"39,880","37,132","36,544","34,394","24,495",93%,92%,71%
Whanganui District,5-11,"4,481","1,850",883,NA,NA,41%,20%,NA
Whangarei District,12+,"78,669","73,701","72,371","67,942","46,909",94%,92%,69%
Whangarei District,5-11,"9,594","3,901","1,528",NA,NA,41%,16%,NA
