Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
New Plymouth District,12+,"71,868","66,546","65,519","61,736","42,572","25,547","8,990",93%,91%,69%,35%
New Plymouth District,5-11,"8,328","3,682","2,043",NA,NA,NA,NA,44%,25%,NA,NA
Opotiki District,12+,"7,637","6,762","6,482","6,147","3,876","2,656",871,89%,85%,63%,33%
Opotiki District,5-11,987,236,82,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,384","7,216","6,774","3,982","2,470",764,89%,87%,59%,31%
Otorohanga District,5-11,"1,097",302,123,NA,NA,NA,NA,28%,11%,NA,NA
Palmerston North City,12+,"74,774","70,542","69,669","65,654","48,067","23,289","10,312",94%,93%,73%,44%
Palmerston North City,5-11,"8,389","4,502","2,584",NA,NA,NA,NA,54%,31%,NA,NA
Porirua City,12+,"50,123","46,951","46,229","43,195","31,285","15,269","6,329",94%,92%,72%,41%
Porirua City,5-11,"6,610","3,622","1,901",NA,NA,NA,NA,55%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,733","39,076","37,392","23,743","10,009","3,549",94%,92%,63%,35%
Queenstown-Lakes District,5-11,"3,481","1,947","1,088",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,864","11,659","11,058","7,785","4,912","1,765",90%,89%,70%,36%
Rangitikei District,5-11,"1,496",634,274,NA,NA,NA,NA,42%,18%,NA,NA
Rotorua District,12+,"61,354","55,462","54,230","50,886","33,576","18,944","7,183",90%,88%,66%,38%
Rotorua District,5-11,"7,635","3,029","1,376",NA,NA,NA,NA,40%,18%,NA,NA
Ruapehu District,12+,"10,400","8,894","8,610","8,161","5,200","3,328","1,148",86%,83%,64%,34%
Ruapehu District,5-11,"1,369",385,187,NA,NA,NA,NA,28%,14%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,640","40,938","20,202","7,209",>95%,>95%,75%,36%
Selwyn District,5-11,"7,241","4,747","2,877",NA,NA,NA,NA,66%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,339","19,155","12,367","7,684","2,309",>95%,93%,65%,30%
South Taranaki District,5-11,"2,758","1,048",524,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,163","17,696","16,667","10,096","6,421","2,251",89%,87%,61%,35%
South Waikato District,5-11,"2,641",869,368,NA,NA,NA,NA,33%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,550","9,405","8,938","6,744","4,385","1,808",95%,93%,75%,41%
South Wairarapa District,5-11,975,525,265,NA,NA,NA,NA,54%,27%,NA,NA
Southland District,12+,"25,968","23,381","22,995","21,685","14,580","8,648","2,472",90%,89%,67%,29%
Southland District,5-11,"2,981","1,240",623,NA,NA,NA,NA,42%,21%,NA,NA
Stratford District,12+,"7,772","7,209","7,074","6,659","4,398","2,777",878,93%,91%,66%,32%
Stratford District,5-11,960,422,215,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","13,987","13,684","12,895","8,701","5,651","1,892",90%,88%,67%,33%
Tararua District,5-11,"1,887",707,332,NA,NA,NA,NA,37%,18%,NA,NA
Tasman District,12+,"49,220","44,910","44,146","41,965","30,041","19,778","8,024",91%,90%,72%,41%
Tasman District,5-11,"4,677","2,005","1,090",NA,NA,NA,NA,43%,23%,NA,NA
Taupo District,12+,"33,772","30,679","30,085","28,497","18,635","12,179","4,581",91%,89%,65%,38%
Taupo District,5-11,"3,743","1,338",625,NA,Masked,NA,NA,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,233","118,208","112,010","74,798","43,861","17,281",92%,90%,67%,39%
Tauranga City,5-11,"14,283","6,181","2,701",NA,NA,NA,NA,43%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,788","24,380","23,467","17,416","13,292","5,301",90%,89%,74%,40%
Thames-Coromandel District,5-11,"2,163",804,413,NA,NA,NA,NA,37%,19%,NA,NA
Timaru District,12+,"42,396","39,203","38,714","36,672","27,304","17,478","6,363",92%,91%,74%,36%
Timaru District,5-11,"4,148","2,102",985,NA,NA,NA,NA,51%,24%,NA,NA
Unknown,12+,"129,781","54,839","52,986","49,992","30,258","13,744","4,811",42%,41%,61%,35%
Unknown,5-11,"9,527","2,623","1,383",NA,NA,NA,NA,28%,15%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,415","34,323","25,983","13,603","5,884",>95%,95%,76%,43%
Upper Hutt City,5-11,"4,202","2,646","1,567",NA,NA,NA,NA,63%,37%,NA,NA
Waikato District,12+,"67,392","63,024","61,920","57,892","37,895","21,079","6,852",94%,92%,65%,33%
Waikato District,5-11,"8,729","4,024","1,893",NA,NA,NA,NA,46%,22%,NA,NA
Waimakariri District,12+,"55,522","52,454","51,879","49,134","35,856","22,720","8,565",94%,93%,73%,38%
Waimakariri District,5-11,"5,443","2,695","1,583",NA,NA,NA,NA,50%,29%,NA,NA
Waimate District,12+,"7,173","6,449","6,356","6,045","4,321","2,877",898,90%,89%,71%,31%
Waimate District,5-11,667,264,123,NA,NA,NA,NA,40%,18%,NA,NA
Waipa District,12+,"48,972","45,981","45,395","42,601","29,702","17,668","6,582",94%,93%,70%,37%
Waipa District,5-11,"5,522","2,716","1,448",NA,NA,NA,NA,49%,26%,NA,NA
Wairoa District,12+,"6,748","5,967","5,750","5,414","3,612","2,305",984,88%,85%,67%,43%
Wairoa District,5-11,876,259,80,NA,NA,NA,NA,30%,9%,NA,NA
Waitaki District,12+,"19,993","18,403","18,128","17,163","12,501","8,191","2,807",92%,91%,73%,34%
Waitaki District,5-11,"1,935",924,413,NA,NA,NA,NA,48%,21%,NA,NA
Waitomo District,12+,"8,061","7,211","7,003","6,442","3,983","2,535",581,89%,87%,62%,23%
Waitomo District,5-11,937,313,130,NA,NA,NA,NA,33%,14%,NA,NA
Wellington City,12+,"188,336",Masked,Masked,"170,194","139,544","53,545","25,469",>95%,>95%,82%,48%
Wellington City,5-11,"15,438","11,270","8,236",NA,NA,NA,NA,73%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,269","43,432","41,323","27,243","18,198","6,544",89%,87%,66%,36%
Western Bay of Plenty District,5-11,"4,834","1,742",706,NA,NA,NA,NA,36%,15%,NA,NA
Westland District,12+,"7,310","6,729","6,632","6,320","4,414","2,853",854,92%,91%,70%,30%
Westland District,5-11,670,267,136,NA,NA,NA,NA,40%,20%,NA,NA
Whakatane District,12+,"31,208","27,407","26,670","25,218","16,154","10,653","3,609",88%,85%,64%,34%
Whakatane District,5-11,"3,832","1,195",571,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,145","36,474","34,539","24,782","15,943","6,848",90%,88%,72%,43%
Whanganui District,5-11,"4,457","1,680",890,NA,NA,NA,NA,38%,20%,NA,NA
Whangarei District,12+,"83,037","73,947","72,391","68,406","47,670","29,997","11,063",89%,87%,70%,37%
Whangarei District,5-11,"9,559","3,550","1,559",NA,NA,NA,NA,37%,16%,NA,NA
