Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Taupo District,5-11,"3,743","1,477",595,NA,NA,39%,16%,NA
Tauranga City,12+,"121,578",Masked,Masked,"111,024","73,321",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,740","2,387",NA,NA,48%,17%,NA
Thames-Coromandel District,12+,"26,265","24,829","24,442","23,412","17,295",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",869,390,NA,NA,40%,18%,NA
Timaru District,12+,"41,091",Masked,"38,699","36,460","27,038",>95%,94%,74%
Timaru District,5-11,"4,189","2,304",974,NA,NA,55%,23%,NA
Unknown,12+,"129,586","54,894","53,221","50,205","30,028",42%,41%,60%
Unknown,5-11,"11,050","2,522","1,190",NA,NA,23%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,971","25,452",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,867","1,459",NA,NA,67%,34%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,104","36,873",>95%,>95%,65%
Waikato District,5-11,"8,689","4,337","1,703",NA,NA,50%,20%,NA
Waimakariri District,12+,"52,718",Masked,Masked,"48,557","35,304",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,954","1,586",NA,NA,54%,29%,NA
Waimate District,12+,"6,936","6,490","6,412","6,054","4,339",94%,92%,72%
Waimate District,5-11,693,302,129,NA,NA,44%,19%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,207","29,179",>95%,>95%,69%
Waipa District,5-11,"5,531","2,992","1,421",NA,NA,54%,26%,NA
Wairoa District,12+,"6,303","5,977","5,766","5,363","3,543",95%,91%,66%
Wairoa District,5-11,896,284,72,NA,NA,32%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,187","17,133","12,415",>95%,94%,72%
Waitaki District,5-11,"2,012","1,001",394,NA,NA,50%,20%,NA
Waitomo District,12+,"7,758","7,154","6,983","6,509","3,914",92%,90%,60%
Waitomo District,5-11,967,344,114,NA,NA,36%,12%,NA
Wellington City,12+,"178,497",Masked,Masked,"169,587","137,657",>95%,>95%,81%
Wellington City,5-11,"16,089","12,141","7,772",NA,NA,75%,48%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"40,975","26,686",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,912",644,NA,NA,39%,13%,NA
Westland District,12+,"7,098","6,715","6,633","6,279","4,382",95%,93%,70%
Westland District,5-11,670,304,143,NA,NA,45%,21%,NA
Whakatane District,12+,"30,314","27,302","26,636","24,828","15,832",90%,88%,64%
Whakatane District,5-11,"3,821","1,307",534,NA,NA,34%,14%,NA
Whanganui District,12+,"39,880","37,150","36,567","34,357","24,471",93%,92%,71%
Whanganui District,5-11,"4,481","1,849",877,NA,NA,41%,20%,NA
Whangarei District,12+,"78,669","73,654","72,330","67,756","46,808",94%,92%,69%
Whangarei District,5-11,"9,594","3,893","1,513",NA,NA,41%,16%,NA
