Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Hamilton City,12+,"147,441","137,391","135,176","127,431","85,251","36,432","13,456",93%,92%,67%,37%
Hamilton City,5-11,"17,497","8,641","4,331",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,402","69,093","64,961","44,608","24,230","7,941",95%,93%,69%,33%
Hastings District,5-11,"8,650","3,815","1,765",NA,NA,NA,NA,44%,20%,NA,NA
Hauraki District,12+,"18,063","15,877","15,534","14,779","9,990","6,726","2,248",88%,86%,68%,33%
Hauraki District,5-11,"1,779",600,273,NA,NA,NA,NA,34%,15%,NA,NA
Horowhenua District,12+,"30,027","27,734","27,206","25,779","18,303","12,226","5,140",92%,91%,71%,42%
Horowhenua District,5-11,"3,095","1,258",563,NA,NA,NA,NA,41%,18%,NA,NA
Hurunui District,12+,"11,490","10,533","10,364","9,835","7,057","4,306","1,405",92%,90%,72%,33%
Hurunui District,5-11,"1,158",545,291,NA,NA,NA,NA,47%,25%,NA,NA
Invercargill City,12+,"47,368","44,155","43,468","41,051","28,971","16,273","5,682",93%,92%,71%,35%
Invercargill City,5-11,"5,029","2,362","1,220",NA,NA,NA,NA,47%,24%,NA,NA
Kaikoura District,12+,"3,527","3,203","3,169","3,036","2,248","1,547",539,91%,90%,74%,35%
Kaikoura District,5-11,296,134,77,NA,NA,NA,NA,45%,26%,NA,NA
Kaipara District,12+,"21,487","18,165","17,687","16,942","11,138","7,501","2,158",85%,82%,66%,29%
Kaipara District,5-11,"2,339",666,284,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,761","45,245","42,913","33,785","21,786","10,330",94%,93%,79%,47%
Kapiti Coast District,5-11,"4,477","2,387","1,465",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,495","5,283","4,974","2,969","1,985",728,86%,83%,60%,37%
Kawerau District,5-11,806,190,45,NA,NA,NA,NA,24%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,296","87,145","82,249","61,481","28,810","11,612",94%,93%,75%,40%
Lower Hutt City,5-11,"10,256","6,132","3,714",NA,NA,NA,NA,60%,36%,NA,NA
Mackenzie District,12+,"4,339","3,890","3,837","3,655","2,591","1,448",452,90%,88%,71%,31%
Mackenzie District,5-11,379,172,75,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,242","24,897","23,324","16,469","9,604","3,195",93%,92%,71%,33%
Manawatu District,5-11,"3,203","1,545",813,NA,NA,NA,NA,48%,25%,NA,NA
Marlborough District,12+,"44,461","41,301","40,751","38,815","28,742","17,651","7,198",93%,92%,74%,41%
Marlborough District,5-11,"4,100","2,048","1,081",NA,NA,NA,NA,50%,26%,NA,NA
Masterton District,12+,"23,589","22,015","21,608","20,479","14,360","9,012","3,390",93%,92%,70%,38%
Masterton District,5-11,"2,356","1,060",437,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,163","27,660","26,206","16,907","10,599","3,430",93%,91%,65%,32%
Matamata-Piako District,5-11,"3,427","1,257",502,NA,NA,NA,NA,37%,15%,NA,NA
Napier City,12+,"56,989","52,473","51,595","48,750","34,576","20,568","7,436",92%,91%,71%,36%
Napier City,5-11,"5,980","2,710","1,228",NA,NA,NA,NA,45%,21%,NA,NA
Nelson City,12+,"47,440","43,890","43,253","41,037","30,491","17,881","7,434",93%,91%,74%,42%
Nelson City,5-11,"4,405","2,462","1,225",NA,NA,NA,NA,56%,28%,NA,NA
New Plymouth District,12+,"71,868","66,476","65,465","61,645","42,490","24,491","8,244",92%,91%,69%,34%
New Plymouth District,5-11,"8,328","3,707","2,043",NA,NA,NA,NA,45%,25%,NA,NA
Opotiki District,12+,"7,637","6,746","6,471","6,132","3,864","2,515",812,88%,85%,63%,32%
Opotiki District,5-11,987,241,83,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,384","7,216","6,770","3,979","2,351",704,89%,87%,59%,30%
Otorohanga District,5-11,"1,097",304,128,NA,NA,NA,NA,28%,12%,NA,NA
Palmerston North City,12+,"74,774","70,535","69,675","65,632","48,011","22,604","9,630",94%,93%,73%,43%
Palmerston North City,5-11,"8,389","4,529","2,583",NA,NA,NA,NA,54%,31%,NA,NA
Porirua City,12+,"50,123","46,945","46,237","43,183","31,226","14,746","5,785",94%,92%,72%,39%
Porirua City,5-11,"6,610","3,646","1,898",NA,NA,NA,NA,55%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,638","38,985","37,280","23,640","9,770","3,285",93%,92%,63%,34%
Queenstown-Lakes District,5-11,"3,481","1,961","1,079",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,863","11,659","11,055","7,781","4,740","1,603",90%,89%,70%,34%
Rangitikei District,5-11,"1,496",637,278,NA,NA,NA,NA,43%,19%,NA,NA
Rotorua District,12+,"61,354","55,459","54,230","50,850","33,549","18,342","6,736",90%,88%,66%,37%
Rotorua District,5-11,"7,635","3,037","1,373",NA,NA,NA,NA,40%,18%,NA,NA
Ruapehu District,12+,"10,400","8,887","8,606","8,147","5,190","3,166","1,022",85%,83%,64%,32%
Ruapehu District,5-11,"1,369",388,187,NA,NA,NA,NA,28%,14%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,504","40,806","19,358","6,552",>95%,>95%,75%,34%
Selwyn District,5-11,"7,241","4,766","2,874",NA,NA,NA,NA,66%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,313","19,121","12,362","7,262","2,090",>95%,93%,65%,29%
South Taranaki District,5-11,"2,758","1,053",527,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,166","17,699","16,664","10,078","6,144","2,028",89%,87%,60%,33%
South Waikato District,5-11,"2,641",874,370,NA,NA,NA,NA,33%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,541","9,396","8,922","6,738","4,260","1,672",95%,93%,76%,39%
South Wairarapa District,5-11,975,525,265,NA,NA,NA,NA,54%,27%,NA,NA
Southland District,12+,"25,968","23,389","23,008","21,676","14,576","8,372","2,224",90%,89%,67%,27%
Southland District,5-11,"2,981","1,251",622,NA,NA,NA,NA,42%,21%,NA,NA
Stratford District,12+,"7,772","7,214","7,079","6,661","4,397","2,655",760,93%,91%,66%,29%
Stratford District,5-11,960,432,218,NA,NA,NA,NA,45%,23%,NA,NA
Tararua District,12+,"15,623","13,988","13,697","12,903","8,695","5,476","1,722",90%,88%,67%,31%
Tararua District,5-11,"1,887",713,329,NA,NA,NA,NA,38%,17%,NA,NA
Tasman District,12+,"49,220","44,867","44,112","41,907","29,997","19,299","7,551",91%,90%,72%,39%
Tasman District,5-11,"4,677","2,014","1,092",NA,NA,NA,NA,43%,23%,NA,NA
Taupo District,12+,"33,772","30,650","30,062","28,459","18,589","11,802","4,296",91%,89%,65%,36%
Taupo District,5-11,"3,743","1,349",624,NA,Masked,NA,NA,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,198","118,210","111,935","74,707","42,575","16,263",92%,90%,67%,38%
Tauranga City,5-11,"14,283","6,213","2,690",NA,NA,NA,NA,43%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,787","24,374","23,459","17,393","12,865","4,797",90%,89%,74%,37%
Thames-Coromandel District,5-11,"2,163",813,411,NA,NA,NA,NA,38%,19%,NA,NA
Timaru District,12+,"42,396","39,212","38,726","36,669","27,267","17,035","5,819",92%,91%,74%,34%
Timaru District,5-11,"4,148","2,111",984,NA,NA,NA,NA,51%,24%,NA,NA
Unknown,12+,"129,781","56,577","54,685","51,603","31,351","13,797","4,716",44%,42%,61%,34%
Unknown,5-11,"9,527","2,690","1,421",NA,NA,NA,NA,28%,15%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,418","34,308","25,934","13,158","5,324",>95%,95%,76%,40%
Upper Hutt City,5-11,"4,202","2,658","1,553",NA,NA,NA,NA,63%,37%,NA,NA
Waikato District,12+,"67,392","62,924","61,830","57,761","37,791","20,333","6,291",93%,92%,65%,31%
Waikato District,5-11,"8,729","4,046","1,893",NA,NA,NA,NA,46%,22%,NA,NA
Waimakariri District,12+,"55,522","52,377","51,810","49,046","35,779","21,888","7,764",94%,93%,73%,35%
Waimakariri District,5-11,"5,443","2,720","1,593",NA,NA,NA,NA,50%,29%,NA,NA
Waimate District,12+,"7,173","6,450","6,359","6,045","4,327","2,756",833,90%,89%,72%,30%
Waimate District,5-11,667,264,122,NA,NA,NA,NA,40%,18%,NA,NA
Waipa District,12+,"48,972","45,905","45,333","42,521","29,625","17,070","6,030",94%,93%,70%,35%
Waipa District,5-11,"5,522","2,738","1,449",NA,NA,NA,NA,50%,26%,NA,NA
Wairoa District,12+,"6,748","5,966","5,747","5,407","3,603","2,186",902,88%,85%,67%,41%
Wairoa District,5-11,876,259,78,NA,NA,NA,NA,30%,9%,NA,NA
Waitaki District,12+,"19,993","18,414","18,143","17,181","12,506","8,004","2,553",92%,91%,73%,32%
Waitaki District,5-11,"1,935",931,412,NA,NA,NA,NA,48%,21%,NA,NA
Waitomo District,12+,"8,061","7,214","7,007","6,442","3,980","2,445",521,89%,87%,62%,21%
Waitomo District,5-11,937,312,126,NA,NA,NA,NA,33%,13%,NA,NA
Wellington City,12+,"188,336",Masked,"178,890","170,067","139,380","52,088","23,370",>95%,95%,82%,45%
Wellington City,5-11,"15,438","11,339","8,243",NA,NA,NA,NA,73%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,234","43,401","41,251","27,163","17,549","6,118",89%,87%,66%,35%
Western Bay of Plenty District,5-11,"4,834","1,747",698,NA,NA,NA,NA,36%,14%,NA,NA
Westland District,12+,"7,310","6,716","6,622","6,310","4,401","2,766",776,92%,91%,70%,28%
Westland District,5-11,670,270,137,NA,NA,NA,NA,40%,20%,NA,NA
Whakatane District,12+,"31,208","27,405","26,673","25,173","16,146","10,240","3,406",88%,85%,64%,33%
Whakatane District,5-11,"3,832","1,200",566,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,142","36,470","34,507","24,745","15,472","6,427",90%,88%,72%,42%
Whanganui District,5-11,"4,457","1,693",892,NA,NA,NA,NA,38%,20%,NA,NA
Whangarei District,12+,"83,037","73,905","72,350","68,329","47,616","29,113","10,413",89%,87%,70%,36%
Whangarei District,5-11,"9,559","3,568","1,564",NA,NA,NA,NA,37%,16%,NA,NA
