Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ruapehu District,5-11,"1,366",409,141,NA,NA,30%,10%,NA
Selwyn District,12+,"52,972",Masked,Masked,"52,951","39,550",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,018","2,607",NA,NA,73%,38%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,467","12,001",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,198",523,NA,NA,45%,19%,NA
South Waikato District,12+,"19,628","18,149","17,731","16,225","9,801",92%,90%,60%
South Waikato District,5-11,"2,626",941,280,NA,NA,36%,11%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,794","6,645",>95%,>95%,76%
South Wairarapa District,5-11,997,562,237,NA,NA,56%,24%,NA
Southland District,12+,"25,064","23,399","23,076","21,288","14,360",93%,92%,67%
Southland District,5-11,"3,087","1,365",587,NA,NA,44%,19%,NA
Stratford District,12+,"7,475","7,096","6,976","6,441","4,313",95%,93%,67%
Stratford District,5-11,993,480,204,NA,NA,48%,21%,NA
Tararua District,12+,"15,002","13,963","13,703","12,627","8,520",93%,91%,67%
Tararua District,5-11,"1,897",771,307,NA,NA,41%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"40,717","29,118",>95%,>95%,72%
Tasman District,5-11,"4,679","2,199","1,055",NA,NA,47%,23%,NA
Taupo District,12+,"32,180","30,510","29,983","27,830","18,206",95%,93%,65%
Taupo District,5-11,"3,743","1,477",563,NA,NA,39%,15%,NA
Tauranga City,12+,"121,578",Masked,Masked,"109,708","72,677",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,695","2,194",NA,NA,47%,15%,NA
Thames-Coromandel District,12+,"26,265","24,741","24,355","23,111","17,166",94%,93%,74%
Thames-Coromandel District,5-11,"2,164",863,377,NA,NA,40%,17%,NA
Timaru District,12+,"41,091",Masked,"38,738","36,127","26,985",>95%,94%,75%
Timaru District,5-11,"4,189","2,305",943,NA,NA,55%,23%,NA
Unknown,12+,"129,607","59,069","57,349","53,499","32,588",46%,44%,61%
Unknown,5-11,"11,053","2,603","1,163",NA,NA,24%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,668","25,308",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,863","1,385",NA,NA,67%,32%,NA
Waikato District,12+,"63,214",Masked,Masked,"56,323","36,497",>95%,>95%,65%
Waikato District,5-11,"8,689","4,323","1,583",NA,NA,50%,18%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"47,988","35,108",>95%,>95%,73%
Waimakariri District,5-11,"5,436","2,953","1,545",NA,NA,54%,28%,NA
Waimate District,12+,"6,936","6,508","6,430","5,993","4,321",94%,93%,72%
Waimate District,5-11,693,303,123,NA,NA,44%,18%,NA
Waipa District,12+,"46,630",Masked,Masked,"41,785","28,943",>95%,>95%,69%
Waipa District,5-11,"5,531","2,981","1,365",NA,NA,54%,25%,NA
Wairoa District,12+,"6,303","5,968","5,757","5,267","3,523",95%,91%,67%
Wairoa District,5-11,896,283,69,NA,NA,32%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,184","16,926","12,334",>95%,94%,73%
Waitaki District,5-11,"2,012",998,381,NA,NA,50%,19%,NA
Waitomo District,12+,"7,758","7,153","6,983","6,414","3,894",92%,90%,61%
Waitomo District,5-11,967,342,108,NA,NA,35%,11%,NA
Wellington City,12+,"178,488",Masked,Masked,"168,613","136,793",>95%,>95%,81%
Wellington City,5-11,"16,089","12,092","7,435",NA,NA,75%,46%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"40,518","26,505",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,906",601,NA,NA,39%,12%,NA
Westland District,12+,"7,098","6,710","6,629","6,196","4,366",95%,93%,70%
Westland District,5-11,670,300,136,NA,NA,45%,20%,NA
Whakatane District,12+,"30,314","27,277","26,599","24,420","15,681",90%,88%,64%
Whakatane District,5-11,"3,821","1,306",504,NA,NA,34%,13%,NA
Whanganui District,12+,"39,880","37,152","36,559","33,949","24,335",93%,92%,72%
Whanganui District,5-11,"4,481","1,845",847,NA,NA,41%,19%,NA
Whangarei District,12+,"78,668","73,602","72,272","66,884","46,357",94%,92%,69%
Whangarei District,5-11,"9,594","3,862","1,418",NA,NA,40%,15%,NA
