Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Opotiki District,5-11,977,211,Masked,NA,NA,22%,<5%,NA
Otorohanga District,12+,"7,960","7,346","7,174","5,640","3,404",92%,90%,60%
Otorohanga District,5-11,"1,086",316,Masked,NA,NA,29%,<5%,NA
Palmerston North City,12+,"70,542",Masked,Masked,"56,644","42,227",>95%,>95%,75%
Palmerston North City,5-11,"8,374","4,447",21,NA,NA,53%,<5%,NA
Porirua City,12+,"47,711",Masked,Masked,"36,727","27,574",>95%,>95%,75%
Porirua City,5-11,"6,751","3,652",58,NA,NA,54%,<5%,NA
Queenstown-Lakes District,12+,"35,862",Masked,Masked,"32,657","21,785",>95%,>95%,67%
Queenstown-Lakes District,5-11,"3,432","2,044",24,NA,NA,60%,<5%,NA
Rangitikei District,12+,"12,700","11,852","11,619","9,577","6,838",93%,91%,71%
Rangitikei District,5-11,"1,491",576,Masked,NA,NA,39%,<5%,NA
Rotorua District,12+,"58,120",Masked,"54,201","42,263","29,563",>95%,93%,70%
Rotorua District,5-11,"7,723","3,048",37,NA,NA,39%,<5%,NA
Ruapehu District,12+,"9,938","8,859","8,538","6,618","4,432",89%,86%,67%
Ruapehu District,5-11,"1,366",348,Masked,NA,NA,25%,<5%,NA
Selwyn District,12+,"53,318",Masked,Masked,"46,797","34,607",>95%,>95%,74%
Selwyn District,5-11,"6,937","4,644",27,NA,NA,67%,<5%,NA
South Taranaki District,12+,"20,389",Masked,Masked,"15,734","10,329",>95%,>95%,66%
South Taranaki District,5-11,"2,693","1,073",26,NA,NA,40%,<5%,NA
South Waikato District,12+,"19,634","18,239","17,726","13,678","8,782",93%,90%,64%
South Waikato District,5-11,"2,629",853,Masked,NA,NA,32%,<5%,NA
South Wairarapa District,12+,"9,607",Masked,Masked,"7,874","6,117",>95%,>95%,78%
South Wairarapa District,5-11,"1,001",524,Masked,NA,NA,52%,<5%,NA
Southland District,12+,"25,076","23,446","23,056","18,321","12,867",93%,92%,70%
Southland District,5-11,"3,087","1,219",Masked,NA,NA,39%,<5%,NA
Stratford District,12+,"7,523","7,094","6,948","5,555","3,825",94%,92%,69%
Stratford District,5-11,"1,000",419,Masked,NA,NA,42%,<5%,NA
Tararua District,12+,"15,008","14,061","13,729","10,870","7,694",94%,91%,71%
Tararua District,5-11,"1,897",708,17,NA,NA,37%,<5%,NA
Tasman District,12+,"45,613",Masked,Masked,"35,354","26,652",>95%,>95%,75%
Tasman District,5-11,"4,679","2,082",14,NA,NA,44%,<5%,NA
Taupo District,12+,"32,192",Masked,"29,943","24,058","16,589",>95%,93%,69%
Taupo District,5-11,"3,743","1,355",11,NA,NA,36%,<5%,NA
Tauranga City,12+,"121,638",Masked,Masked,"95,914","66,395",>95%,>95%,69%
Tauranga City,5-11,"14,197","6,326",55,NA,NA,45%,<5%,NA
Thames-Coromandel District,12+,"26,267","24,679","24,227","20,756","15,756",94%,92%,76%
Thames-Coromandel District,5-11,"2,165",783,Masked,NA,NA,36%,<5%,NA
Timaru District,12+,"41,101",Masked,"38,982","32,349","25,041",>95%,95%,77%
Timaru District,5-11,"4,189","2,123",15,NA,NA,51%,<5%,NA
Unknown,12+,"127,337","72,471","70,178","57,338","36,853",57%,55%,64%
Unknown,5-11,"10,824","2,719",61,NA,NA,25%,<5%,NA
Upper Hutt City,12+,"36,900",Masked,Masked,"29,937","23,078",>95%,>95%,77%
Upper Hutt City,5-11,"4,264","2,718",30,NA,NA,64%,<5%,NA
Waikato District,12+,"63,219",Masked,Masked,"49,467","32,798",>95%,>95%,66%
Waikato District,5-11,"8,689","4,037",47,NA,NA,46%,<5%,NA
Waimakariri District,12+,"52,773",Masked,Masked,"41,840","31,537",>95%,>95%,75%
Waimakariri District,5-11,"5,446","2,770",35,NA,NA,51%,<5%,NA
Waimate District,12+,"6,937","6,543","6,447","5,298","3,792",94%,93%,72%
Waimate District,5-11,693,264,0,NA,NA,38%,<5%,NA
Waipa District,12+,"46,646",Masked,Masked,"37,756","26,409",>95%,>95%,70%
Waipa District,5-11,"5,532","2,833",31,NA,NA,51%,<5%,NA
Wairoa District,12+,"6,304","5,946","5,719","4,477","3,066",94%,91%,68%
Wairoa District,5-11,897,204,0,NA,NA,23%,<5%,NA
Waitaki District,12+,"19,323",Masked,"18,152","14,931","11,302",>95%,94%,76%
Waitaki District,5-11,"2,012",932,Masked,NA,NA,46%,<5%,NA
Waitomo District,12+,"7,762","7,161","6,970","5,485","3,437",92%,90%,63%
Waitomo District,5-11,968,323,Masked,NA,NA,33%,<5%,NA
Wellington City,12+,"178,565",Masked,Masked,"155,413","125,514",>95%,>95%,81%
Wellington City,5-11,"16,095","11,703",113,NA,NA,73%,<5%,NA
Western Bay of Plenty District,12+,"45,702",Masked,"43,252","35,451","24,248",>95%,95%,68%
Western Bay of Plenty District,5-11,"4,865","1,800",17,NA,NA,37%,<5%,NA
Westland District,12+,"7,100","6,735","6,626","5,429","3,985",95%,93%,73%
Westland District,5-11,670,272,Masked,NA,NA,41%,<5%,NA
Whakatane District,12+,"30,432","27,389","26,595","20,439","14,299",90%,87%,70%
Whakatane District,5-11,"3,835","1,176",53,NA,NA,31%,<5%,NA
Whanganui District,12+,"39,902","37,338","36,574","29,309","22,125",94%,92%,75%
Whanganui District,5-11,"4,483","1,658",Masked,NA,NA,37%,<5%,NA
Whangarei District,12+,"78,696","73,783","72,142","58,559","42,161",94%,92%,72%
Whangarei District,5-11,"9,595","3,466",35,NA,NA,36%,<5%,NA
