Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
New Plymouth District,12+,"68,131",Masked,Masked,"61,362","42,048",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,027","1,990",NA,NA,48%,24%,NA
Opotiki District,12+,"7,121","6,744","6,464","6,087","3,820",95%,91%,63%
Opotiki District,5-11,967,256,71,NA,NA,26%,7%,NA
Otorohanga District,12+,"7,960","7,383","7,241","6,763","3,942",93%,91%,58%
Otorohanga District,5-11,"1,086",342,129,NA,NA,31%,12%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,406","47,514",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,877","2,513",NA,NA,58%,30%,NA
Porirua City,12+,"47,708",Masked,Masked,"43,021","30,817",>95%,>95%,72%
Porirua City,5-11,"6,751","3,903","1,749",NA,NA,58%,26%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"36,826","23,201",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,147","1,017",NA,NA,63%,30%,NA
Rangitikei District,12+,"12,699","11,855","11,661","11,018","7,714",93%,92%,70%
Rangitikei District,5-11,"1,491",685,273,NA,NA,46%,18%,NA
Rotorua District,12+,"58,081",Masked,"54,456","50,794","33,220",>95%,94%,65%
Rotorua District,5-11,"7,718","3,321","1,332",NA,NA,43%,17%,NA
Ruapehu District,12+,"9,936","8,856","8,592","8,085","5,117",89%,86%,63%
Ruapehu District,5-11,"1,366",414,161,NA,NA,30%,12%,NA
Selwyn District,12+,"52,972",Masked,Masked,"53,891","40,158",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,059","2,796",NA,NA,73%,40%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,047","12,270",>95%,>95%,64%
South Taranaki District,5-11,"2,692","1,195",545,NA,NA,44%,20%,NA
South Waikato District,12+,"19,628","18,126","17,711","16,587","9,917",92%,90%,60%
South Waikato District,5-11,"2,626",957,336,NA,NA,36%,13%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,930","6,709",>95%,>95%,75%
South Wairarapa District,5-11,997,563,252,NA,NA,56%,25%,NA
Southland District,12+,"25,064","23,360","23,041","21,618","14,458",93%,92%,67%
Southland District,5-11,"3,087","1,360",619,NA,NA,44%,20%,NA
Stratford District,12+,"7,475",Masked,"7,046","6,605","4,375",>95%,94%,66%
Stratford District,5-11,993,487,225,NA,NA,49%,23%,NA
Tararua District,12+,"15,002","13,999","13,740","12,899","8,620",93%,92%,67%
Tararua District,5-11,"1,897",775,315,NA,NA,41%,17%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,432","29,467",>95%,>95%,71%
Tasman District,5-11,"4,679","2,222","1,105",NA,NA,47%,24%,NA
Taupo District,12+,"32,180",Masked,"30,066","28,324","18,383",>95%,93%,65%
Taupo District,5-11,"3,743","1,473",608,NA,NA,39%,16%,NA
Tauranga City,12+,"121,578",Masked,Masked,"111,411","73,624",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,744","2,504",NA,NA,48%,18%,NA
Thames-Coromandel District,12+,"26,265","24,867","24,488","23,515","17,349",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",870,397,NA,NA,40%,18%,NA
Timaru District,12+,"41,091",Masked,"38,704","36,538","27,085",>95%,94%,74%
Timaru District,5-11,"4,189","2,301",998,NA,NA,55%,24%,NA
Unknown,12+,"129,586","53,314","51,648","48,802","29,081",41%,40%,60%
Unknown,5-11,"11,050","2,470","1,195",NA,NA,22%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"34,104","25,578",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,876","1,524",NA,NA,67%,36%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,338","37,091",>95%,>95%,65%
Waikato District,5-11,"8,689","4,341","1,775",NA,NA,50%,20%,NA
Waimakariri District,12+,"52,718",Masked,Masked,"48,713","35,432",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,963","1,624",NA,NA,54%,30%,NA
Waimate District,12+,"6,936","6,482","6,405","6,062","4,347",93%,92%,72%
Waimate District,5-11,693,301,131,NA,NA,43%,19%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,304","29,265",>95%,>95%,69%
Waipa District,5-11,"5,531","2,994","1,472",NA,NA,54%,27%,NA
Wairoa District,12+,"6,303","5,978","5,769","5,393","3,558",95%,92%,66%
Wairoa District,5-11,896,282,73,NA,NA,31%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,186","17,173","12,428",>95%,94%,72%
Waitaki District,5-11,"2,012","1,003",406,NA,NA,50%,20%,NA
Waitomo District,12+,"7,758","7,160","6,987","6,537","3,920",92%,90%,60%
Waitomo District,5-11,967,346,114,NA,NA,36%,12%,NA
Wellington City,12+,"178,497",Masked,Masked,"169,831","138,135",>95%,>95%,81%
Wellington City,5-11,"16,089","12,138","8,121",NA,NA,75%,50%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"41,107","26,772",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,915",662,NA,NA,39%,14%,NA
Westland District,12+,"7,098","6,694","6,611","6,273","4,367",94%,93%,70%
Westland District,5-11,670,303,144,NA,NA,45%,21%,NA
Whakatane District,12+,"30,314","27,321","26,650","24,969","15,924",90%,88%,64%
Whakatane District,5-11,"3,821","1,309",549,NA,NA,34%,14%,NA
Whanganui District,12+,"39,880","37,132","36,542","34,444","24,541",93%,92%,71%
Whanganui District,5-11,"4,481","1,853",890,NA,NA,41%,20%,NA
Whangarei District,12+,"78,669","73,734","72,401","68,040","47,015",94%,92%,69%
Whangarei District,5-11,"9,594","3,910","1,542",NA,NA,41%,16%,NA
