Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Napier City,12+,"54,392",Masked,"51,627","43,150","31,848",>95%,95%,74%
Napier City,5-11,"6,159","2,842",90,NA,NA,46%,<5%,NA
Nelson City,12+,"44,843",Masked,Masked,"36,573","28,216",>95%,>95%,77%
Nelson City,5-11,"4,456","2,594",44,NA,NA,58%,<5%,NA
New Plymouth District,12+,"68,211",Masked,Masked,"54,228","38,483",>95%,>95%,71%
New Plymouth District,5-11,"8,378","3,873",26,NA,NA,46%,<5%,NA
Opotiki District,12+,"7,289","6,754","6,446","5,159","3,565",93%,88%,69%
Opotiki District,5-11,977,236,7,NA,NA,24%,<5%,NA
Otorohanga District,12+,"7,960","7,344","7,185","5,845","3,584",92%,90%,61%
Otorohanga District,5-11,"1,086",335,Masked,NA,NA,31%,<5%,NA
Palmerston North City,12+,"70,542",Masked,Masked,"58,295","43,953",>95%,>95%,75%
Palmerston North City,5-11,"8,374","4,674",40,NA,NA,56%,<5%,NA
Porirua City,12+,"47,711",Masked,Masked,"37,962","28,784",>95%,>95%,76%
Porirua City,5-11,"6,751","3,788",101,NA,NA,56%,<5%,NA
Queenstown-Lakes District,12+,"35,862",Masked,Masked,"33,588","21,508",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,432","2,078",31,NA,NA,61%,<5%,NA
Rangitikei District,12+,"12,700","11,848","11,617","9,833","7,106",93%,91%,72%
Rangitikei District,5-11,"1,491",624,8,NA,NA,42%,<5%,NA
Rotorua District,12+,"58,120",Masked,"54,398","43,958","30,774",>95%,94%,70%
Rotorua District,5-11,"7,723","3,167",63,NA,NA,41%,<5%,NA
Ruapehu District,12+,"9,938","8,877","8,564","6,892","4,663",89%,86%,68%
Ruapehu District,5-11,"1,366",371,Masked,NA,NA,27%,<5%,NA
Selwyn District,12+,"53,318",Masked,Masked,"48,418","36,486",>95%,>95%,75%
Selwyn District,5-11,"6,937","4,819",45,NA,NA,69%,<5%,NA
South Taranaki District,12+,"20,389",Masked,Masked,"16,336","10,889",>95%,>95%,67%
South Taranaki District,5-11,"2,693","1,129",34,NA,NA,42%,<5%,NA
South Waikato District,12+,"19,634","18,262","17,763","14,243","9,178",93%,90%,64%
South Waikato District,5-11,"2,629",902,6,NA,NA,34%,<5%,NA
South Wairarapa District,12+,"9,607",Masked,Masked,"8,115","6,308",>95%,>95%,78%
South Wairarapa District,5-11,"1,001",548,6,NA,NA,55%,<5%,NA
Southland District,12+,"25,076","23,442","23,065","19,082","13,322",93%,92%,70%
Southland District,5-11,"3,087","1,271",6,NA,NA,41%,<5%,NA
Stratford District,12+,"7,523","7,103","6,955","5,750","4,016",94%,92%,70%
Stratford District,5-11,"1,000",440,Masked,NA,NA,44%,<5%,NA
Tararua District,12+,"15,008","14,078","13,767","11,169","7,983",94%,92%,71%
Tararua District,5-11,"1,897",732,29,NA,NA,39%,<5%,NA
Tasman District,12+,"45,613",Masked,Masked,"36,678","27,340",>95%,>95%,75%
Tasman District,5-11,"4,679","2,128",32,NA,NA,45%,<5%,NA
Taupo District,12+,"32,192",Masked,"30,024","24,904","17,258",>95%,93%,69%
Taupo District,5-11,"3,743","1,420",32,NA,NA,38%,<5%,NA
Tauranga City,12+,"121,638",Masked,Masked,"98,965","68,841",>95%,>95%,70%
Tauranga City,5-11,"14,197","6,508",99,NA,NA,46%,<5%,NA
Thames-Coromandel District,12+,"26,267","24,773","24,325","21,271","16,299",94%,93%,77%
Thames-Coromandel District,5-11,"2,165",839,16,NA,NA,39%,<5%,NA
Timaru District,12+,"41,101",Masked,"38,990","33,173","25,785",>95%,95%,78%
Timaru District,5-11,"4,189","2,209",27,NA,NA,53%,<5%,NA
Unknown,12+,"127,337","68,687","66,454","55,689","36,447",54%,52%,65%
Unknown,5-11,"10,824","2,691",75,NA,NA,25%,<5%,NA
Upper Hutt City,12+,"36,900",Masked,Masked,"30,710","23,910",>95%,>95%,78%
Upper Hutt City,5-11,"4,264","2,799",44,NA,NA,66%,<5%,NA
Waikato District,12+,"63,219",Masked,Masked,"50,741","34,073",>95%,>95%,67%
Waikato District,5-11,"8,689","4,161",67,NA,NA,48%,<5%,NA
Waimakariri District,12+,"52,773",Masked,Masked,"43,502","32,785",>95%,>95%,75%
Waimakariri District,5-11,"5,446","2,869",48,NA,NA,53%,<5%,NA
Waimate District,12+,"6,937","6,558","6,467","5,494","4,053",95%,93%,74%
Waimate District,5-11,693,288,0,NA,NA,42%,<5%,NA
Waipa District,12+,"46,646",Masked,Masked,"38,638","27,330",>95%,>95%,71%
Waipa District,5-11,"5,532","2,924",47,NA,NA,53%,<5%,NA
Wairoa District,12+,"6,304","5,957","5,727","4,624","3,271",94%,91%,71%
Wairoa District,5-11,897,248,Masked,NA,NA,28%,<5%,NA
Waitaki District,12+,"19,323",Masked,"18,176","15,409","11,613",>95%,94%,75%
Waitaki District,5-11,"2,012",979,Masked,NA,NA,49%,<5%,NA
Waitomo District,12+,"7,762","7,167","6,981","5,651","3,602",92%,90%,64%
Waitomo District,5-11,968,330,10,NA,NA,34%,<5%,NA
Wellington City,12+,"178,565",Masked,Masked,"158,466","129,961",>95%,>95%,82%
Wellington City,5-11,"16,095","11,935",165,NA,NA,74%,<5%,NA
Western Bay of Plenty District,12+,"45,702",Masked,"43,336","36,578","25,139",>95%,95%,69%
Western Bay of Plenty District,5-11,"4,865","1,875",25,NA,NA,39%,<5%,NA
Westland District,12+,"7,100","6,737","6,635","5,594","4,108",95%,93%,73%
Westland District,5-11,670,281,Masked,NA,NA,42%,<5%,NA
Whakatane District,12+,"30,432","27,430","26,672","21,245","14,859",90%,88%,70%
Whakatane District,5-11,"3,835","1,240",84,NA,NA,32%,<5%,NA
Whanganui District,12+,"39,902","37,404","36,686","30,280","22,975",94%,92%,76%
Whanganui District,5-11,"4,483","1,758",11,NA,NA,39%,<5%,NA
Whangarei District,12+,"78,696","73,819","72,237","60,413","43,658",94%,92%,72%
Whangarei District,5-11,"9,595","3,615",47,NA,NA,38%,<5%,NA
