Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Hauraki District,5-11,"1,785",660,252,NA,NA,37%,14%,NA
Horowhenua District,12+,"28,779",Masked,"27,278","25,381","17,986",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,407",493,NA,NA,45%,16%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,707","6,972",>95%,>95%,72%
Hurunui District,5-11,"1,176",608,292,NA,NA,52%,25%,NA
Invercargill City,12+,"45,867",Masked,"43,379","40,302","28,474",>95%,95%,71%
Invercargill City,5-11,"5,141","2,573","1,148",NA,NA,50%,22%,NA
Kaikoura District,12+,"3,473","3,199","3,165","2,994","2,218",92%,91%,74%
Kaikoura District,5-11,315,148,79,NA,NA,47%,25%,NA
Kaipara District,12+,"20,170","18,092","17,666","16,625","10,945",90%,88%,66%
Kaipara District,5-11,"2,228",736,273,NA,NA,33%,12%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,408","33,213",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,569","1,428",NA,NA,55%,31%,NA
Kawerau District,12+,"6,115","5,525","5,336","4,836","2,906",90%,87%,60%
Kawerau District,5-11,854,211,43,NA,NA,25%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"81,381","60,306",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,610","3,213",NA,NA,63%,31%,NA
Mackenzie District,12+,"4,131","3,867","3,825","3,625","2,564",94%,93%,71%
Mackenzie District,5-11,387,187,76,NA,NA,48%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"22,976","16,238",>95%,>95%,71%
Manawatu District,5-11,"3,183","1,684",764,NA,NA,53%,24%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,145","28,326",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,274","1,074",NA,NA,55%,26%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,207","14,204",>95%,>95%,70%
Masterton District,5-11,"2,400","1,151",406,NA,NA,48%,17%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,616","25,795","16,657",>95%,95%,65%
Matamata-Piako District,5-11,"3,307","1,386",446,NA,NA,42%,13%,NA
Napier City,12+,"54,392",Masked,"51,548","48,007","33,987",>95%,95%,71%
Napier City,5-11,"6,159","2,954","1,125",NA,NA,48%,18%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,440","29,849",>95%,>95%,74%
Nelson City,5-11,"4,453","2,671","1,085",NA,NA,60%,24%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"60,474","41,540",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,006","1,838",NA,NA,48%,22%,NA
Opotiki District,12+,"7,121","6,684","6,408","5,900","3,751",94%,90%,64%
Opotiki District,5-11,967,257,69,NA,NA,27%,7%,NA
Otorohanga District,12+,"7,960","7,397","7,256","6,689","3,911",93%,91%,58%
Otorohanga District,5-11,"1,086",344,117,NA,NA,32%,11%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"64,682","47,047",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,871","2,365",NA,NA,58%,28%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,557","30,460",>95%,>95%,72%
Porirua City,5-11,"6,751","3,908","1,603",NA,NA,58%,24%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,709","22,909",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,135",952,NA,NA,62%,28%,NA
Rangitikei District,12+,"12,699","11,839","11,641","10,873","7,646",93%,92%,70%
Rangitikei District,5-11,"1,491",685,264,NA,NA,46%,18%,NA
Rotorua District,12+,"58,081",Masked,"54,379","50,024","32,825",>95%,94%,66%
Rotorua District,5-11,"7,718","3,323","1,214",NA,NA,43%,16%,NA
Ruapehu District,12+,"9,936","8,832","8,571","7,927","5,068",89%,86%,64%
Ruapehu District,5-11,"1,366",410,147,NA,NA,30%,11%,NA
Selwyn District,12+,"52,972",Masked,Masked,"53,213","39,657",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,027","2,628",NA,NA,73%,38%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,614","12,067",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,195",525,NA,NA,44%,20%,NA
South Waikato District,12+,"19,628","18,134","17,720","16,330","9,817",92%,90%,60%
South Waikato District,5-11,"2,626",940,281,NA,NA,36%,11%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,824","6,663",>95%,>95%,76%
South Wairarapa District,5-11,997,562,239,NA,NA,56%,24%,NA
Southland District,12+,"25,064","23,399","23,072","21,366","14,395",93%,92%,67%
Southland District,5-11,"3,087","1,364",591,NA,NA,44%,19%,NA
Stratford District,12+,"7,475",Masked,"6,990","6,469","4,325",>95%,94%,67%
Stratford District,5-11,993,485,208,NA,NA,49%,21%,NA
Tararua District,12+,"15,002","13,973","13,713","12,703","8,535",93%,91%,67%
Tararua District,5-11,"1,897",773,308,NA,NA,41%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"40,886","29,187",>95%,>95%,71%
Tasman District,5-11,"4,679","2,202","1,065",NA,NA,47%,23%,NA
Taupo District,12+,"32,180","30,541","30,012","27,938","18,269",95%,93%,65%
Taupo District,5-11,"3,743","1,479",581,NA,NA,40%,16%,NA
Tauranga City,12+,"121,578",Masked,Masked,"110,110","72,812",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,707","2,229",NA,NA,47%,16%,NA
Thames-Coromandel District,12+,"26,265","24,759","24,370","23,207","17,191",94%,93%,74%
Thames-Coromandel District,5-11,"2,164",862,386,NA,NA,40%,18%,NA
Timaru District,12+,"41,091",Masked,"38,724","36,214","27,006",>95%,94%,75%
Timaru District,5-11,"4,189","2,308",954,NA,NA,55%,23%,NA
Unknown,12+,"129,607","57,865","56,159","52,581","31,796",45%,43%,60%
Unknown,5-11,"11,053","2,590","1,176",NA,NA,23%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,724","25,322",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,863","1,399",NA,NA,67%,33%,NA
Waikato District,12+,"63,214",Masked,Masked,"56,611","36,625",>95%,>95%,65%
Waikato District,5-11,"8,689","4,327","1,606",NA,NA,50%,18%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"48,185","35,181",>95%,>95%,73%
Waimakariri District,5-11,"5,436","2,952","1,560",NA,NA,54%,29%,NA
Waimate District,12+,"6,936","6,503","6,425","6,010","4,326",94%,93%,72%
Waimate District,5-11,693,303,126,NA,NA,44%,18%,NA
Waipa District,12+,"46,630",Masked,Masked,"41,934","29,018",>95%,>95%,69%
Waipa District,5-11,"5,531","2,987","1,388",NA,NA,54%,25%,NA
Wairoa District,12+,"6,303","5,967","5,756","5,294","3,521",95%,91%,67%
Wairoa District,5-11,896,283,70,NA,NA,32%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,198","17,003","12,369",>95%,94%,73%
Waitaki District,5-11,"2,012",998,382,NA,NA,50%,19%,NA
Waitomo District,12+,"7,758","7,154","6,983","6,448","3,898",92%,90%,60%
Waitomo District,5-11,967,343,108,NA,NA,35%,11%,NA
Wellington City,12+,"178,488",Masked,Masked,"168,942","137,078",>95%,>95%,81%
Wellington City,5-11,"16,089","12,098","7,489",NA,NA,75%,47%,NA
Western Bay of Plenty District,12+,"45,656",Masked,"43,354","40,653","26,529",>95%,95%,65%
Western Bay of Plenty District,5-11,"4,861","1,910",615,NA,NA,39%,13%,NA
Westland District,12+,"7,098","6,707","6,627","6,217","4,372",94%,93%,70%
Westland District,5-11,670,300,137,NA,NA,45%,20%,NA
Whakatane District,12+,"30,314","27,292","26,613","24,546","15,710",90%,88%,64%
Whakatane District,5-11,"3,821","1,305",512,NA,NA,34%,13%,NA
Whanganui District,12+,"39,880","37,127","36,533","34,052","24,358",93%,92%,72%
Whanganui District,5-11,"4,481","1,846",855,NA,NA,41%,19%,NA
Whangarei District,12+,"78,668","73,603","72,272","67,104","46,452",94%,92%,69%
Whangarei District,5-11,"9,594","3,871","1,446",NA,NA,40%,15%,NA
