Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Manawatu District,5-11,"3,183","1,697",874,NA,NA,53%,27%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,568","28,650",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,278","1,170",NA,NA,55%,28%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,495","14,368",>95%,>95%,70%
Masterton District,5-11,"2,400","1,168",475,NA,NA,49%,20%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,711","26,241","16,911",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,377",517,NA,NA,42%,16%,NA
Napier City,12+,"54,392",Masked,"51,557","48,726","34,481",>95%,95%,71%
Napier City,5-11,"6,159","2,947","1,286",NA,NA,48%,21%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,977","30,376",>95%,>95%,74%
Nelson City,5-11,"4,453","2,677","1,287",NA,NA,60%,29%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"61,660","42,422",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,033","2,157",NA,NA,48%,26%,NA
Opotiki District,12+,"7,121","6,743","6,469","6,117","3,848",95%,91%,63%
Opotiki District,5-11,967,252,80,NA,NA,26%,8%,NA
Otorohanga District,12+,"7,960","7,388","7,245","6,791","3,981",93%,91%,59%
Otorohanga District,5-11,"1,086",344,143,NA,NA,32%,13%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,699","47,971",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,899","2,720",NA,NA,59%,32%,NA
Porirua City,12+,"47,708",Masked,Masked,"43,169","31,116",>95%,>95%,72%
Porirua City,5-11,"6,751","3,924","1,965",NA,NA,58%,29%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"37,133","23,507",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,148","1,137",NA,NA,63%,33%,NA
Rangitikei District,12+,"12,699","11,850","11,668","11,064","7,777",93%,92%,70%
Rangitikei District,5-11,"1,491",686,296,NA,NA,46%,20%,NA
Rotorua District,12+,"58,081",Masked,"54,372","50,952","33,535",>95%,94%,66%
Rotorua District,5-11,"7,718","3,326","1,463",NA,NA,43%,19%,NA
Ruapehu District,12+,"9,936","8,869","8,607","8,144","5,177",89%,87%,64%
Ruapehu District,5-11,"1,366",423,183,NA,NA,31%,13%,NA
Selwyn District,12+,"52,972",Masked,Masked,"54,286","40,621",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,106","3,006",NA,NA,74%,44%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,187","12,388",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,194",583,NA,NA,44%,22%,NA
South Waikato District,12+,"19,628","18,141","17,737","16,673","10,030",92%,90%,60%
South Waikato District,5-11,"2,626",968,380,NA,NA,37%,14%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,930","6,733",>95%,>95%,75%
South Wairarapa District,5-11,997,568,281,NA,NA,57%,28%,NA
Southland District,12+,"25,064","23,385","23,064","21,719","14,581",93%,92%,67%
Southland District,5-11,"3,087","1,370",662,NA,NA,44%,21%,NA
Stratford District,12+,"7,475",Masked,"7,065","6,653","4,400",>95%,95%,66%
Stratford District,5-11,993,486,239,NA,NA,49%,24%,NA
Tararua District,12+,"15,002","13,987","13,733","12,931","8,695",93%,92%,67%
Tararua District,5-11,"1,897",768,334,NA,NA,40%,18%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,765","29,842",>95%,>95%,71%
Tasman District,5-11,"4,679","2,240","1,174",NA,NA,48%,25%,NA
Taupo District,12+,"32,180",Masked,"30,088","28,460","18,577",>95%,93%,65%
Taupo District,5-11,"3,743","1,474",660,NA,Masked,39%,18%,>95%
Tauranga City,12+,"121,578",Masked,Masked,"111,936","74,580",>95%,>95%,67%
Tauranga City,5-11,"14,189","6,769","2,819",NA,NA,48%,20%,NA
Thames-Coromandel District,12+,"26,265","24,830","24,457","23,546","17,442",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",874,421,NA,NA,40%,19%,NA
Timaru District,12+,"41,091",Masked,"38,662","36,628","27,211",>95%,94%,74%
Timaru District,5-11,"4,189","2,311","1,066",NA,NA,55%,25%,NA
Unknown,12+,"129,586","50,605","48,997","46,407","27,675",39%,38%,60%
Unknown,5-11,"11,050","2,364","1,241",NA,NA,21%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"34,258","25,845",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,900","1,671",NA,NA,68%,39%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,661","37,564",>95%,>95%,65%
Waikato District,5-11,"8,689","4,381","1,964",NA,NA,50%,23%,NA
Waimakariri District,12+,"52,718",Masked,Masked,"49,050","35,734",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,976","1,714",NA,NA,55%,32%,NA
Waimate District,12+,"6,936","6,469","6,391","6,072","4,355",93%,92%,72%
Waimate District,5-11,693,301,143,NA,NA,43%,21%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,486","29,541",>95%,>95%,70%
Waipa District,5-11,"5,531","3,006","1,571",NA,NA,54%,28%,NA
Wairoa District,12+,"6,303",Masked,"5,786","5,440","3,606",>95%,92%,66%
Wairoa District,5-11,896,285,83,NA,NA,32%,9%,NA
Waitaki District,12+,"19,318",Masked,"18,156","17,204","12,480",>95%,94%,73%
Waitaki District,5-11,"2,012","1,007",433,NA,NA,50%,22%,NA
Waitomo District,12+,"7,758","7,176","6,998","6,450","3,965",92%,90%,61%
Waitomo District,5-11,967,347,131,NA,NA,36%,14%,NA
Wellington City,12+,"178,497",Masked,Masked,"170,135","139,231",>95%,>95%,82%
Wellington City,5-11,"16,089","12,188","8,739",NA,NA,76%,54%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"41,253","27,096",>95%,>95%,66%
Western Bay of Plenty District,5-11,"4,861","1,926",752,NA,NA,40%,15%,NA
Westland District,12+,"7,098","6,692","6,613","6,299","4,388",94%,93%,70%
Westland District,5-11,670,304,147,NA,NA,45%,22%,NA
Whakatane District,12+,"30,314","27,354","26,686","25,139","16,096",90%,88%,64%
Whakatane District,5-11,"3,821","1,321",603,NA,NA,35%,16%,NA
Whanganui District,12+,"39,880","37,090","36,507","34,529","24,728",93%,92%,72%
Whanganui District,5-11,"4,481","1,862",955,NA,NA,42%,21%,NA
Whangarei District,12+,"78,669","73,707","72,382","68,316","47,523",94%,92%,70%
Whangarei District,5-11,"9,594","3,936","1,679",NA,NA,41%,18%,NA
