Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Porirua City,5-11,"6,751","3,867","1,470",NA,NA,57%,22%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,342","22,669",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,127",893,NA,NA,62%,26%,NA
Rangitikei District,12+,"12,699","11,810","11,616","10,665","7,568",93%,91%,71%
Rangitikei District,5-11,"1,491",680,234,NA,NA,46%,16%,NA
Rotorua District,12+,"58,081",Masked,"54,397","48,792","32,589",>95%,94%,67%
Rotorua District,5-11,"7,718","3,306","1,111",NA,NA,43%,14%,NA
Ruapehu District,12+,"9,936","8,835","8,573","7,733","5,013",89%,86%,65%
Ruapehu District,5-11,"1,366",402,127,NA,NA,29%,9%,NA
Selwyn District,12+,"52,972",Masked,Masked,"52,019","39,066",>95%,>95%,75%
Selwyn District,5-11,"6,904","4,976","2,381",NA,NA,72%,34%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,046","11,884",>95%,>95%,66%
South Taranaki District,5-11,"2,692","1,196",480,NA,NA,44%,18%,NA
South Waikato District,12+,"19,628","18,182","17,751","15,916","9,731",93%,90%,61%
South Waikato District,5-11,"2,626",941,260,NA,NA,36%,10%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,705","6,614",>95%,>95%,76%
South Wairarapa District,5-11,997,562,212,NA,NA,56%,21%,NA
Southland District,12+,"25,064","23,408","23,081","20,946","14,246",93%,92%,68%
Southland District,5-11,"3,087","1,368",520,NA,NA,44%,17%,NA
Stratford District,12+,"7,475","7,098","6,978","6,301","4,283",95%,93%,68%
Stratford District,5-11,993,475,183,NA,NA,48%,18%,NA
Tararua District,12+,"15,002","13,964","13,696","12,373","8,435",93%,91%,68%
Tararua District,5-11,"1,897",771,290,NA,NA,41%,15%,NA
Tasman District,12+,"45,608",Masked,Masked,"40,205","28,927",>95%,>95%,72%
Tasman District,5-11,"4,679","2,181","1,006",NA,NA,47%,22%,NA
Taupo District,12+,"32,180","30,522","29,994","27,415","18,105",95%,93%,66%
Taupo District,5-11,"3,743","1,479",513,NA,NA,40%,14%,NA
Tauranga City,12+,"121,578",Masked,Masked,"107,992","72,215",>95%,>95%,67%
Tauranga City,5-11,"14,189","6,663","2,040",NA,NA,47%,14%,NA
Thames-Coromandel District,12+,"26,265","24,775","24,387","22,906","17,088",94%,93%,75%
Thames-Coromandel District,5-11,"2,164",869,336,NA,NA,40%,16%,NA
Timaru District,12+,"41,091",Masked,"38,797","35,735","26,898",>95%,94%,75%
Timaru District,5-11,"4,189","2,300",882,NA,NA,55%,21%,NA
Unknown,12+,"129,607","61,752","59,942","55,079","34,102",48%,46%,62%
Unknown,5-11,"11,053","2,736","1,118",NA,NA,25%,10%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,234","25,142",>95%,>95%,76%
Upper Hutt City,5-11,"4,264","2,861","1,312",NA,NA,67%,31%,NA
Waikato District,12+,"63,214",Masked,Masked,"55,384","36,115",>95%,>95%,65%
Waikato District,5-11,"8,689","4,308","1,478",NA,NA,50%,17%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"47,153","34,865",>95%,>95%,74%
Waimakariri District,5-11,"5,436","2,955","1,462",NA,NA,54%,27%,NA
Waimate District,12+,"6,936","6,508","6,430","5,918","4,300",94%,93%,73%
Waimate District,5-11,693,301,107,NA,NA,43%,15%,NA
Waipa District,12+,"46,630",Masked,Masked,"41,274","28,787",>95%,>95%,70%
Waipa District,5-11,"5,531","2,977","1,288",NA,NA,54%,23%,NA
Wairoa District,12+,"6,303","5,953","5,746","5,145","3,476",94%,91%,68%
Wairoa District,5-11,896,278,54,NA,NA,31%,6%,NA
Waitaki District,12+,"19,318",Masked,"18,162","16,674","12,247",>95%,94%,73%
Waitaki District,5-11,"2,012",996,332,NA,NA,50%,17%,NA
Waitomo District,12+,"7,758","7,146","6,976","6,283","3,864",92%,90%,61%
Waitomo District,5-11,967,338,103,NA,NA,35%,11%,NA
Wellington City,12+,"178,488",Masked,Masked,"167,308","135,906",>95%,>95%,81%
Wellington City,5-11,"16,089","12,085","7,094",NA,NA,75%,44%,NA
Western Bay of Plenty District,12+,"45,656",Masked,"43,321","39,851","26,313",>95%,95%,66%
Western Bay of Plenty District,5-11,"4,861","1,905",560,NA,NA,39%,12%,NA
Westland District,12+,"7,098","6,713","6,630","6,106","4,350",95%,93%,71%
Westland District,5-11,670,297,121,NA,NA,44%,18%,NA
Whakatane District,12+,"30,314","27,278","26,595","23,926","15,572",90%,88%,65%
Whakatane District,5-11,"3,821","1,301",475,NA,NA,34%,12%,NA
Whanganui District,12+,"39,880","37,150","36,552","33,438","24,196",93%,92%,72%
Whanganui District,5-11,"4,481","1,836",784,NA,NA,41%,17%,NA
Whangarei District,12+,"78,668","73,626","72,267","65,947","45,918",94%,92%,70%
Whangarei District,5-11,"9,594","3,848","1,302",NA,NA,40%,14%,NA
