Week ending,Group,DHB of residence,Dose number,# doses administered
2021-04-11,Group 1,Northland,1,54
2021-04-11,Group 1,Northland,2,76
2021-04-11,Group 1,South Canterbury,1,59
2021-04-11,Group 1,South Canterbury,2,61
2021-04-11,Group 1,Southern,1,521
2021-04-11,Group 1,Southern,2,30
2021-04-11,Group 1,Taranaki,1,13
2021-04-11,Group 1,Taranaki,2,69
2021-04-11,Group 1,Waikato,1,83
2021-04-11,Group 1,Waikato,2,137
2021-04-11,Group 1,West Coast,1,14
2021-04-11,Group 1,Whanganui,1,8
2021-04-11,Group 1,Whanganui,2,7
2021-04-11,Group 2,Auckland Metro,1,9633
2021-04-11,Group 2,Auckland Metro,2,1477
2021-04-11,Group 2,Bay of Plenty,1,595
2021-04-11,Group 2,Bay of Plenty,2,57
2021-04-11,Group 2,Canterbury,1,285
2021-04-11,Group 2,Canterbury,2,267
2021-04-11,Group 2,Capital & Coast and Hutt Valley,1,3501
2021-04-11,Group 2,Capital & Coast and Hutt Valley,2,434
2021-04-11,Group 2,Hawkes Bay,1,515
2021-04-11,Group 2,Hawkes Bay,2,53
2021-04-11,Group 2,Lakes,1,543
2021-04-11,Group 2,Lakes,2,62
2021-04-11,Group 2,MidCentral,1,172
2021-04-11,Group 2,MidCentral,2,447
2021-04-11,Group 2,Nelson Marlborough,1,902
2021-04-11,Group 2,Nelson Marlborough,2,715
2021-04-11,Group 2,Northland,1,1574
2021-04-11,Group 2,Northland,2,36
2021-04-11,Group 2,Overseas / Unknown,1,9
2021-04-11,Group 2,South Canterbury,1,288
2021-04-11,Group 2,South Canterbury,2,138
2021-04-11,Group 2,Southern,1,2225
2021-04-11,Group 2,Southern,2,49
2021-04-11,Group 2,Tairawhiti,1,10
2021-04-11,Group 2,Tairawhiti,2,13
2021-04-11,Group 2,Taranaki,1,184
2021-04-11,Group 2,Taranaki,2,98
2021-04-11,Group 2,Waikato,1,1154
2021-04-11,Group 2,Waikato,2,675
2021-04-11,Group 2,Wairarapa,1,149
2021-04-11,Group 2,Wairarapa,2,26
2021-04-11,Group 2,West Coast,1,26
2021-04-11,Group 2,West Coast,2,5
2021-04-11,Group 2,Whanganui,1,190
2021-04-11,Group 2,Whanganui,2,94
2021-04-11,Group 3,Auckland Metro,1,8
2021-04-11,Group 3,Canterbury,1,18
2021-04-11,Group 3,Capital & Coast and Hutt Valley,1,22
2021-04-11,Group 3,Nelson Marlborough,1,1121
2021-04-11,Group 3,Southern,1,20
2021-04-11,Group 3,West Coast,1,7
2021-04-18,Group 1,Auckland Metro,1,1989
2021-04-18,Group 1,Auckland Metro,2,2354
2021-04-18,Group 1,Bay of Plenty,1,80
2021-04-18,Group 1,Bay of Plenty,2,254
2021-04-18,Group 1,Canterbury,1,1170
2021-04-18,Group 1,Canterbury,2,425
2021-04-18,Group 1,Capital & Coast and Hutt Valley,1,503
2021-04-18,Group 1,Capital & Coast and Hutt Valley,2,212
2021-04-18,Group 1,Hawkes Bay,1,100
2021-04-18,Group 1,Hawkes Bay,2,58
2021-04-18,Group 1,Lakes,1,116
2021-04-18,Group 1,Lakes,2,52
2021-04-18,Group 1,MidCentral,1,168
2021-04-18,Group 1,MidCentral,2,60
2021-04-18,Group 1,Nelson Marlborough,1,77
2021-04-18,Group 1,Nelson Marlborough,2,70
2021-04-18,Group 1,Northland,1,43
2021-04-18,Group 1,Northland,2,101
2021-04-18,Group 1,Overseas / Unknown,1,5
2021-04-18,Group 1,South Canterbury,1,36
2021-04-18,Group 1,South Canterbury,2,8
2021-04-18,Group 1,Southern,1,853
2021-04-18,Group 1,Southern,2,355
2021-04-18,Group 1,Tairawhiti,1,12
2021-04-18,Group 1,Tairawhiti,2,44
2021-04-18,Group 1,Taranaki,1,26
2021-04-18,Group 1,Taranaki,2,78
2021-04-18,Group 1,Waikato,1,130
2021-04-18,Group 1,Waikato,2,176
2021-04-18,Group 1,Wairarapa,1,5
2021-04-18,Group 1,Whanganui,1,7
2021-04-18,Group 2,Auckland Metro,1,10946
2021-04-18,Group 2,Auckland Metro,2,2094
2021-04-18,Group 2,Bay of Plenty,1,945
2021-04-18,Group 2,Bay of Plenty,2,136
2021-04-18,Group 2,Canterbury,1,4446
2021-04-18,Group 2,Canterbury,2,413
2021-04-18,Group 2,Capital & Coast and Hutt Valley,1,3104
2021-04-18,Group 2,Capital & Coast and Hutt Valley,2,1151
2021-04-18,Group 2,Hawkes Bay,1,828
2021-04-18,Group 2,Hawkes Bay,2,294
2021-04-18,Group 2,Lakes,1,542
2021-04-18,Group 2,Lakes,2,123
2021-04-18,Group 2,MidCentral,1,379
2021-04-18,Group 2,MidCentral,2,641
2021-04-18,Group 2,Nelson Marlborough,1,1215
2021-04-18,Group 2,Nelson Marlborough,2,541
2021-04-18,Group 2,Northland,1,1536
2021-04-18,Group 2,Northland,2,77
2021-04-18,Group 2,Overseas / Unknown,1,22
2021-04-18,Group 2,Overseas / Unknown,2,13
2021-04-18,Group 2,South Canterbury,1,602
2021-04-18,Group 2,South Canterbury,2,46
2021-04-18,Group 2,Southern,1,3852
2021-04-18,Group 2,Southern,2,176
2021-04-18,Group 2,Tairawhiti,1,648
2021-04-18,Group 2,Tairawhiti,2,51
2021-04-18,Group 2,Taranaki,1,282
2021-04-18,Group 2,Taranaki,2,82
2021-04-18,Group 2,Waikato,1,1946
2021-04-18,Group 2,Waikato,2,784
2021-04-18,Group 2,Wairarapa,1,462
2021-04-18,Group 2,Wairarapa,2,24
2021-04-18,Group 2,West Coast,1,124
2021-04-18,Group 2,Whanganui,1,515
2021-04-18,Group 2,Whanganui,2,157
2021-04-18,Group 3,Auckland Metro,1,15
2021-04-18,Group 3,Canterbury,1,23
2021-04-18,Group 3,Capital & Coast and Hutt Valley,1,25
2021-04-18,Group 3,MidCentral,1,22
2021-04-18,Group 3,Nelson Marlborough,1,600
2021-04-18,Group 3,Northland,1,39
2021-04-18,Group 3,Southern,1,138
2021-04-18,Group 3,Waikato,1,28
2021-04-25,Group 1,Auckland Metro,1,2139
2021-04-25,Group 1,Auckland Metro,2,1911
2021-04-25,Group 1,Bay of Plenty,1,103
2021-04-25,Group 1,Bay of Plenty,2,173
2021-04-25,Group 1,Canterbury,1,1048
2021-04-25,Group 1,Canterbury,2,378
2021-04-25,Group 1,Capital & Coast and Hutt Valley,1,194
2021-04-25,Group 1,Capital & Coast and Hutt Valley,2,343
2021-04-25,Group 1,Hawkes Bay,1,30
2021-04-25,Group 1,Hawkes Bay,2,36
2021-04-25,Group 1,Lakes,1,183
2021-04-25,Group 1,Lakes,2,56
2021-04-25,Group 1,MidCentral,1,60
2021-04-25,Group 1,MidCentral,2,103
2021-04-25,Group 1,Nelson Marlborough,1,76
2021-04-25,Group 1,Nelson Marlborough,2,59
2021-04-25,Group 1,Northland,1,36
2021-04-25,Group 1,Northland,2,92
2021-04-25,Group 1,South Canterbury,1,12
2021-04-25,Group 1,South Canterbury,2,42
2021-04-25,Group 1,Southern,1,56
2021-04-25,Group 1,Southern,2,67
2021-04-25,Group 1,Tairawhiti,1,11
2021-04-25,Group 1,Taranaki,1,21
2021-04-25,Group 1,Taranaki,2,36
2021-04-25,Group 1,Waikato,1,87
2021-04-25,Group 1,Waikato,2,125
2021-04-25,Group 1,Wairarapa,1,8
2021-04-25,Group 1,Whanganui,1,15
2021-04-25,Group 1,Whanganui,2,7
2021-04-25,Group 2,Auckland Metro,1,7774
2021-04-25,Group 2,Auckland Metro,2,5901
2021-04-25,Group 2,Bay of Plenty,1,1582
2021-04-25,Group 2,Bay of Plenty,2,327
2021-04-25,Group 2,Canterbury,1,5603
2021-04-25,Group 2,Canterbury,2,263
2021-04-25,Group 2,Capital & Coast and Hutt Valley,1,1958
2021-04-25,Group 2,Capital & Coast and Hutt Valley,2,2764
2021-04-25,Group 2,Hawkes Bay,1,1282
2021-04-25,Group 2,Hawkes Bay,2,105
2021-04-25,Group 2,Lakes,1,1271
2021-04-25,Group 2,Lakes,2,62
2021-04-25,Group 2,MidCentral,1,1053
2021-04-25,Group 2,MidCentral,2,451
2021-04-25,Group 2,Nelson Marlborough,1,1250
2021-04-25,Group 2,Nelson Marlborough,2,1152
2021-04-25,Group 2,Northland,1,1325
2021-04-25,Group 2,Northland,2,220
2021-04-25,Group 2,Overseas / Unknown,1,35
2021-04-25,Group 2,Overseas / Unknown,2,11
2021-04-25,Group 2,South Canterbury,1,717
2021-04-25,Group 2,South Canterbury,2,398
2021-04-25,Group 2,Southern,1,2496
2021-04-25,Group 2,Southern,2,1276
2021-04-25,Group 2,Tairawhiti,1,595
2021-04-25,Group 2,Tairawhiti,2,13
2021-04-25,Group 2,Taranaki,1,240
2021-04-25,Group 2,Taranaki,2,209
2021-04-25,Group 2,Waikato,1,3145
2021-04-25,Group 2,Waikato,2,837
2021-04-25,Group 2,Wairarapa,1,486
2021-04-25,Group 2,Wairarapa,2,43
2021-04-25,Group 2,West Coast,1,279
2021-04-25,Group 2,West Coast,2,7
2021-04-25,Group 2,Whanganui,1,811
2021-04-25,Group 2,Whanganui,2,155
2021-04-25,Group 3,Auckland Metro,1,42
2021-04-25,Group 3,Canterbury,1,24
2021-04-25,Group 3,Capital & Coast and Hutt Valley,1,54
2021-04-25,Group 3,Capital & Coast and Hutt Valley,2,8
2021-04-25,Group 3,Hawkes Bay,1,52
2021-04-25,Group 3,Lakes,1,6
2021-04-25,Group 3,Nelson Marlborough,1,861
2021-04-25,Group 3,Nelson Marlborough,2,511
2021-04-25,Group 3,Northland,1,115
2021-04-25,Group 3,Southern,1,102
2021-04-25,Group 3,Southern,2,5
2021-04-25,Group 3,Waikato,1,111
2021-05-02,Group 1,Auckland Metro,1,1846
2021-05-02,Group 1,Auckland Metro,2,1559
2021-05-02,Group 1,Bay of Plenty,1,117
2021-05-02,Group 1,Bay of Plenty,2,106
2021-05-02,Group 1,Canterbury,1,868
2021-05-02,Group 1,Canterbury,2,423
2021-05-02,Group 1,Capital & Coast and Hutt Valley,1,245
2021-05-02,Group 1,Capital & Coast and Hutt Valley,2,458
2021-05-02,Group 1,Hawkes Bay,1,27
2021-05-02,Group 1,Hawkes Bay,2,32
2021-05-02,Group 1,Lakes,1,251
2021-05-02,Group 1,Lakes,2,89
2021-05-02,Group 1,MidCentral,1,42
2021-05-02,Group 1,MidCentral,2,140
2021-05-02,Group 1,Nelson Marlborough,1,67
2021-05-02,Group 1,Nelson Marlborough,2,43
2021-05-02,Group 1,Northland,1,25
2021-05-02,Group 1,Northland,2,49
2021-05-02,Group 1,South Canterbury,1,12
2021-05-02,Group 1,South Canterbury,2,60
2021-05-02,Group 1,Southern,1,156
2021-05-02,Group 1,Southern,2,91
2021-05-02,Group 1,Tairawhiti,1,15
2021-05-02,Group 1,Taranaki,1,18
2021-05-02,Group 1,Taranaki,2,29
2021-05-02,Group 1,Waikato,1,70
2021-05-02,Group 1,Waikato,2,77
2021-05-02,Group 1,Wairarapa,1,7
2021-05-02,Group 1,West Coast,2,11
2021-05-02,Group 1,Whanganui,1,5
2021-05-02,Group 1,Whanganui,2,7
2021-05-02,Group 2,Auckland Metro,1,8070
2021-05-02,Group 2,Auckland Metro,2,7958
2021-05-02,Group 2,Bay of Plenty,1,1968
2021-05-02,Group 2,Bay of Plenty,2,388
2021-05-02,Group 2,Canterbury,1,4618
2021-05-02,Group 2,Canterbury,2,288
2021-05-02,Group 2,Capital & Coast and Hutt Valley,1,2011
2021-05-02,Group 2,Capital & Coast and Hutt Valley,2,2941
2021-05-02,Group 2,Hawkes Bay,1,1623
2021-05-02,Group 2,Hawkes Bay,2,466
2021-05-02,Group 2,Lakes,1,694
2021-05-02,Group 2,Lakes,2,482
2021-05-02,Group 2,MidCentral,1,1168
2021-05-02,Group 2,MidCentral,2,199
2021-05-02,Group 2,Nelson Marlborough,1,1327
2021-05-02,Group 2,Nelson Marlborough,2,660
2021-05-02,Group 2,Northland,1,2106
2021-05-02,Group 2,Northland,2,939
2021-05-02,Group 2,Overseas / Unknown,1,18
2021-05-02,Group 2,Overseas / Unknown,2,6
2021-05-02,Group 2,South Canterbury,1,618
2021-05-02,Group 2,South Canterbury,2,277
2021-05-02,Group 2,Southern,1,1388
2021-05-02,Group 2,Southern,2,1536
2021-05-02,Group 2,Tairawhiti,1,207
2021-05-02,Group 2,Tairawhiti,2,16
2021-05-02,Group 2,Taranaki,1,325
2021-05-02,Group 2,Taranaki,2,267
2021-05-02,Group 2,Waikato,1,3138
2021-05-02,Group 2,Waikato,2,846
2021-05-02,Group 2,Wairarapa,1,494
2021-05-02,Group 2,Wairarapa,2,105
2021-05-02,Group 2,West Coast,1,355
2021-05-02,Group 2,West Coast,2,22
2021-05-02,Group 2,Whanganui,1,667
2021-05-02,Group 2,Whanganui,2,152
2021-05-02,Group 3,Auckland Metro,1,372
2021-05-02,Group 3,Auckland Metro,2,7
2021-05-02,Group 3,Bay of Plenty,1,13
2021-05-02,Group 3,Canterbury,1,28
2021-05-02,Group 3,Canterbury,2,14
2021-05-02,Group 3,Capital & Coast and Hutt Valley,1,91
2021-05-02,Group 3,Capital & Coast and Hutt Valley,2,24
2021-05-02,Group 3,Hawkes Bay,1,5
2021-05-02,Group 3,Lakes,1,76
2021-05-02,Group 3,Nelson Marlborough,1,490
2021-05-02,Group 3,Nelson Marlborough,2,834
2021-05-02,Group 3,Northland,1,559
2021-05-02,Group 3,South Canterbury,1,8
2021-05-02,Group 3,Southern,1,22
2021-05-02,Group 3,Southern,2,13
2021-05-02,Group 3,Waikato,1,213
2021-05-02,Group 3,Wairarapa,1,28
2021-05-02,Group 3,West Coast,1,9
2021-05-02,Group 3,West Coast,2,7
2021-05-02,Group 3,Whanganui,1,17
2021-05-09,Group 1,Auckland Metro,1,1823
2021-05-09,Group 1,Auckland Metro,2,1747
2021-05-09,Group 1,Bay of Plenty,1,92
2021-05-09,Group 1,Bay of Plenty,2,87
2021-05-09,Group 1,Canterbury,1,800
2021-05-09,Group 1,Canterbury,2,880
2021-05-09,Group 1,Capital & Coast and Hutt Valley,1,471
2021-05-09,Group 1,Capital & Coast and Hutt Valley,2,564
2021-05-09,Group 1,Hawkes Bay,1,20
2021-05-09,Group 1,Hawkes Bay,2,71
2021-05-09,Group 1,Lakes,1,243
2021-05-09,Group 1,Lakes,2,109
2021-05-09,Group 1,MidCentral,1,26
2021-05-09,Group 1,MidCentral,2,173
2021-05-09,Group 1,Nelson Marlborough,1,68
2021-05-09,Group 1,Nelson Marlborough,2,83
2021-05-09,Group 1,Northland,1,7
2021-05-09,Group 1,Northland,2,36
2021-05-09,Group 1,South Canterbury,2,37
2021-05-09,Group 1,Southern,1,113
2021-05-09,Group 1,Southern,2,589
2021-05-09,Group 1,Tairawhiti,1,12
2021-05-09,Group 1,Tairawhiti,2,8
2021-05-09,Group 1,Taranaki,1,15
2021-05-09,Group 1,Taranaki,2,28
2021-05-09,Group 1,Waikato,1,102
2021-05-09,Group 1,Waikato,2,111
2021-05-09,Group 1,Wairarapa,1,7
2021-05-09,Group 1,West Coast,2,6
2021-05-09,Group 1,Whanganui,2,5
