Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
South Wairarapa District,12+,"9,581",Masked,Masked,"8,930","6,720",>95%,>95%,75%
South Wairarapa District,5-11,997,568,270,NA,NA,57%,27%,NA
Southland District,12+,"25,064","23,379","23,057","21,680","14,536",93%,92%,67%
Southland District,5-11,"3,087","1,369",644,NA,NA,44%,21%,NA
Stratford District,12+,"7,475",Masked,"7,055","6,632","4,400",>95%,94%,66%
Stratford District,5-11,993,487,236,NA,NA,49%,24%,NA
Tararua District,12+,"15,002","14,014","13,756","12,932","8,680",93%,92%,67%
Tararua District,5-11,"1,897",769,328,NA,NA,41%,17%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,705","29,799",>95%,>95%,71%
Tasman District,5-11,"4,679","2,232","1,153",NA,NA,48%,25%,NA
Taupo District,12+,"32,180",Masked,"30,101","28,435","18,510",>95%,94%,65%
Taupo District,5-11,"3,743","1,472",640,NA,NA,39%,17%,NA
Tauranga City,12+,"121,578",Masked,Masked,"111,776","74,278",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,769","2,740",NA,NA,48%,19%,NA
Thames-Coromandel District,12+,"26,265","24,863","24,487","23,558","17,420",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",874,409,NA,NA,40%,19%,NA
Timaru District,12+,"41,091",Masked,"38,653","36,569","27,151",>95%,94%,74%
Timaru District,5-11,"4,189","2,305","1,042",NA,NA,55%,25%,NA
Unknown,12+,"129,586","51,619","49,995","47,319","28,214",40%,39%,60%
Unknown,5-11,"11,050","2,399","1,229",NA,NA,22%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"34,226","25,765",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,889","1,621",NA,NA,68%,38%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,566","37,416",>95%,>95%,65%
Waikato District,5-11,"8,689","4,364","1,900",NA,NA,50%,22%,NA
Waimakariri District,12+,"52,718",Masked,Masked,"48,921","35,615",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,973","1,680",NA,NA,55%,31%,NA
Waimate District,12+,"6,936","6,481","6,404","6,078","4,363",93%,92%,72%
Waimate District,5-11,693,301,141,NA,NA,43%,20%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,414","29,446",>95%,>95%,69%
Waipa District,5-11,"5,531","2,994","1,536",NA,NA,54%,28%,NA
Wairoa District,12+,"6,303",Masked,"5,782","5,428","3,582",>95%,92%,66%
Wairoa District,5-11,896,285,78,NA,NA,32%,9%,NA
Waitaki District,12+,"19,318",Masked,"18,190","17,218","12,472",>95%,94%,72%
Waitaki District,5-11,"2,012","1,008",421,NA,NA,50%,21%,NA
Waitomo District,12+,"7,758","7,168","6,991","6,476","3,942",92%,90%,61%
Waitomo District,5-11,967,347,126,NA,NA,36%,13%,NA
Wellington City,12+,"178,497",Masked,Masked,"170,073","138,940",>95%,>95%,82%
Wellington City,5-11,"16,089","12,175","8,578",NA,NA,76%,53%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"41,230","27,004",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,919",720,NA,NA,39%,15%,NA
Westland District,12+,"7,098","6,690","6,609","6,285","4,374",94%,93%,70%
Westland District,5-11,670,302,145,NA,NA,45%,22%,NA
Whakatane District,12+,"30,314","27,348","26,680","25,097","16,035",90%,88%,64%
Whakatane District,5-11,"3,821","1,318",586,NA,NA,34%,15%,NA
Whanganui District,12+,"39,880","37,121","36,531","34,505","24,677",93%,92%,72%
Whanganui District,5-11,"4,481","1,859",937,NA,NA,41%,21%,NA
Whangarei District,12+,"78,669","73,735","72,408","68,257","47,220",94%,92%,69%
Whangarei District,5-11,"9,594","3,929","1,619",NA,NA,41%,17%,NA
