Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Grey District,12+,"11,872","10,888","10,666","10,109","7,073","4,648","1,651",92%,90%,70%,36%
Grey District,5-11,"1,138",507,273,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,763","135,436","127,840","85,891","38,263","15,721",93%,92%,67%,41%
Hamilton City,5-11,"17,497","8,518","4,364",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,486","69,141","65,134","44,802","25,589","9,337",95%,93%,69%,36%
Hastings District,5-11,"8,650","3,739","1,760",NA,NA,NA,NA,43%,20%,NA,NA
Hauraki District,12+,"18,063","15,913","15,557","14,825","10,030","7,281","2,763",88%,86%,68%,38%
Hauraki District,5-11,"1,779",591,278,NA,NA,NA,NA,33%,16%,NA,NA
Horowhenua District,12+,"30,027","27,772","27,237","25,852","18,345","12,868","5,849",92%,91%,71%,45%
Horowhenua District,5-11,"3,095","1,241",564,NA,NA,NA,NA,40%,18%,NA,NA
Hurunui District,12+,"11,490","10,560","10,390","9,873","7,085","4,647","1,770",92%,90%,72%,38%
Hurunui District,5-11,"1,158",533,285,NA,NA,NA,NA,46%,25%,NA,NA
Invercargill City,12+,"47,368","44,227","43,521","41,182","29,066","17,037","6,613",93%,92%,71%,39%
Invercargill City,5-11,"5,029","2,326","1,216",NA,NA,NA,NA,46%,24%,NA,NA
Kaikoura District,12+,"3,527","3,222","3,188","3,058","2,264","1,612",621,91%,90%,74%,39%
Kaikoura District,5-11,296,132,77,NA,NA,NA,NA,45%,26%,NA,NA
Kaipara District,12+,"21,487","18,165","17,685","16,982","11,150","7,965","2,535",85%,82%,66%,32%
Kaipara District,5-11,"2,339",657,281,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,909","45,389","43,155","33,937","22,761","11,923",94%,93%,79%,52%
Kapiti Coast District,5-11,"4,477","2,351","1,455",NA,NA,NA,NA,53%,32%,NA,NA
Kawerau District,12+,"6,360","5,496","5,285","4,984","2,977","2,121",812,86%,83%,60%,38%
Kawerau District,5-11,806,182,45,NA,NA,NA,NA,23%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,375","87,189","82,423","61,713","30,392","13,874",94%,93%,75%,46%
Lower Hutt City,5-11,"10,256","6,035","3,683",NA,NA,NA,NA,59%,36%,NA,NA
Mackenzie District,12+,"4,339","3,880","3,827","3,647","2,595","1,541",573,89%,88%,71%,37%
Mackenzie District,5-11,379,166,73,NA,NA,NA,NA,44%,19%,NA,NA
Manawatu District,12+,"27,110","25,319","24,963","23,446","16,560","10,149","4,093",93%,92%,71%,40%
Manawatu District,5-11,"3,203","1,522",812,NA,NA,NA,NA,48%,25%,NA,NA
Marlborough District,12+,"44,461","41,340","40,777","38,906","28,796","18,351","8,097",93%,92%,74%,44%
Marlborough District,5-11,"4,100","2,006","1,063",NA,NA,NA,NA,49%,26%,NA,NA
Masterton District,12+,"23,589","22,076","21,662","20,565","14,425","9,501","3,969",94%,92%,70%,42%
Masterton District,5-11,"2,356","1,056",437,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,222","27,712","26,310","16,976","11,261","4,139",93%,91%,65%,37%
Matamata-Piako District,5-11,"3,427","1,245",507,NA,NA,NA,NA,36%,15%,NA,NA
Napier City,12+,"56,989","52,507","51,612","48,826","34,652","21,732","8,781",92%,91%,71%,40%
Napier City,5-11,"5,980","2,667","1,237",NA,NA,NA,NA,45%,21%,NA,NA
Nelson City,12+,"47,440","43,931","43,273","41,118","30,563","18,607","8,530",93%,91%,74%,46%
Nelson City,5-11,"4,405","2,395","1,205",NA,NA,NA,NA,54%,27%,NA,NA
New Plymouth District,12+,"71,868","66,713","65,655","61,951","42,680","26,219","9,905",93%,91%,69%,38%
New Plymouth District,5-11,"8,328","3,624","2,030",NA,NA,NA,NA,44%,24%,NA,NA
Opotiki District,12+,"7,637","6,787","6,505","6,178","3,893","2,704",918,89%,85%,63%,34%
Opotiki District,5-11,987,233,82,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,388","7,224","6,789","3,987","2,546",857,89%,87%,59%,34%
Otorohanga District,5-11,"1,097",304,124,NA,NA,NA,NA,28%,11%,NA,NA
Palmerston North City,12+,"74,774","70,599","69,709","65,778","48,154","23,762","10,997",94%,93%,73%,46%
Palmerston North City,5-11,"8,389","4,448","2,568",NA,NA,NA,NA,53%,31%,NA,NA
Porirua City,12+,"50,123","47,000","46,275","43,273","31,362","15,576","7,026",94%,92%,72%,45%
Porirua City,5-11,"6,610","3,593","1,894",NA,NA,NA,NA,54%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,881","39,214","37,571","23,938","10,179","3,812",94%,92%,64%,37%
Queenstown-Lakes District,5-11,"3,481","1,934","1,082",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,876","11,667","11,074","7,786","5,041","1,908",91%,89%,70%,38%
Rangitikei District,5-11,"1,496",629,270,NA,NA,NA,NA,42%,18%,NA,NA
Rotorua District,12+,"61,354","55,534","54,270","51,019","33,633","19,388","7,648",91%,88%,66%,39%
Rotorua District,5-11,"7,635","2,985","1,370",NA,NA,NA,NA,39%,18%,NA,NA
Ruapehu District,12+,"10,400","8,913","8,626","8,189","5,210","3,431","1,238",86%,83%,64%,36%
Ruapehu District,5-11,"1,369",376,183,NA,NA,NA,NA,27%,13%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,931","41,121","20,710","7,962",>95%,>95%,75%,38%
Selwyn District,5-11,"7,241","4,713","2,895",NA,NA,NA,NA,65%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,423","19,249","12,418","7,939","2,628",>95%,94%,65%,33%
South Taranaki District,5-11,"2,758","1,035",522,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,171","17,703","16,689","10,124","6,588","2,441",89%,87%,61%,37%
South Waikato District,5-11,"2,641",853,368,NA,NA,NA,NA,32%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,544","9,397","8,939","6,741","4,445","2,005",95%,93%,75%,45%
South Wairarapa District,5-11,975,519,264,NA,NA,NA,NA,53%,27%,NA,NA
Southland District,12+,"25,968","23,426","23,040","21,750","14,606","8,875","2,725",90%,89%,67%,31%
Southland District,5-11,"2,981","1,227",617,NA,NA,NA,NA,41%,21%,NA,NA
Stratford District,12+,"7,772","7,236","7,098","6,702","4,413","2,858",978,93%,91%,66%,34%
Stratford District,5-11,960,426,216,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","13,995","13,688","12,922","8,710","5,778","2,015",90%,88%,67%,35%
Tararua District,5-11,"1,887",702,336,NA,NA,NA,NA,37%,18%,NA,NA
Tasman District,12+,"49,220","45,006","44,222","42,100","30,102","20,212","8,501",91%,90%,72%,42%
Tasman District,5-11,"4,677","1,976","1,087",NA,NA,NA,NA,42%,23%,NA,NA
Taupo District,12+,"33,772","30,756","30,144","28,587","18,723","12,450","5,018",91%,89%,65%,40%
Taupo District,5-11,"3,743","1,317",620,NA,Masked,NA,NA,35%,17%,>95%,NA
Tauranga City,12+,"131,025","120,374","118,300","112,231","74,916","44,649","18,342",92%,90%,67%,41%
Tauranga City,5-11,"14,283","6,096","2,691",NA,NA,NA,NA,43%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,815","24,401","23,509","17,436","13,527","5,678",90%,89%,74%,42%
Thames-Coromandel District,5-11,"2,163",783,404,NA,NA,NA,NA,36%,19%,NA,NA
Timaru District,12+,"42,396","39,177","38,669","36,679","27,300","17,726","6,868",92%,91%,74%,39%
Timaru District,5-11,"4,148","2,077",980,NA,NA,NA,NA,50%,24%,NA,NA
Unknown,12+,"129,781","51,152","49,366","46,527","27,872","12,753","4,672",39%,38%,60%,37%
Unknown,5-11,"9,527","2,492","1,307",NA,NA,NA,NA,26%,14%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,423","34,357","26,022","13,847","6,435",>95%,95%,76%,46%
Upper Hutt City,5-11,"4,202","2,616","1,568",NA,NA,NA,NA,62%,37%,NA,NA
Waikato District,12+,"67,392","63,158","62,032","58,087","37,963","21,560","7,419",94%,92%,65%,34%
Waikato District,5-11,"8,729","3,971","1,879",NA,NA,NA,NA,45%,22%,NA,NA
Waimakariri District,12+,"55,522","52,585","51,998","49,284","35,970","23,320","9,476",95%,94%,73%,41%
Waimakariri District,5-11,"5,443","2,691","1,580",NA,NA,NA,NA,49%,29%,NA,NA
Waimate District,12+,"7,173","6,445","6,348","6,050","4,320","2,932","1,016",90%,88%,71%,35%
Waimate District,5-11,667,264,124,NA,NA,NA,NA,40%,19%,NA,NA
Waipa District,12+,"48,972","46,108","45,496","42,751","29,821","18,057","7,098",94%,93%,70%,39%
Waipa District,5-11,"5,522","2,687","1,444",NA,NA,NA,NA,49%,26%,NA,NA
Wairoa District,12+,"6,748","5,986","5,768","5,448","3,631","2,378","1,063",89%,85%,67%,45%
Wairoa District,5-11,876,252,80,NA,NA,NA,NA,29%,9%,NA,NA
Waitaki District,12+,"19,993","18,446","18,164","17,200","12,528","8,347","3,059",92%,91%,73%,37%
Waitaki District,5-11,"1,935",903,400,NA,NA,NA,NA,47%,21%,NA,NA
Waitomo District,12+,"8,061","7,223","7,013","6,517","4,001","2,596",687,90%,87%,61%,26%
Waitomo District,5-11,937,314,131,NA,NA,NA,NA,34%,14%,NA,NA
Wellington City,12+,"188,336",Masked,Masked,"170,425","139,761","54,481","28,240",>95%,>95%,82%,52%
Wellington City,5-11,"15,438","11,153","8,200",NA,NA,NA,NA,72%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,348","43,494","41,435","27,306","18,579","7,007",89%,87%,66%,38%
Western Bay of Plenty District,5-11,"4,834","1,710",709,NA,NA,NA,NA,35%,15%,NA,NA
Westland District,12+,"7,310","6,735","6,637","6,336","4,424","2,927",928,92%,91%,70%,32%
Westland District,5-11,670,263,134,NA,NA,NA,NA,39%,20%,NA,NA
Whakatane District,12+,"31,208","27,404","26,658","25,254","16,166","10,831","3,827",88%,85%,64%,35%
Whakatane District,5-11,"3,832","1,185",567,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,127","36,454","34,557","24,778","16,260","7,279",90%,88%,72%,45%
Whanganui District,5-11,"4,457","1,662",883,NA,NA,NA,NA,37%,20%,NA,NA
Whangarei District,12+,"83,037","74,046","72,458","68,554","47,740","30,574","11,841",89%,87%,70%,39%
Whangarei District,5-11,"9,559","3,510","1,546",NA,NA,NA,NA,37%,16%,NA,NA
