Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Rotorua District,5-11,"7,635","3,015","1,372",NA,NA,NA,NA,39%,18%,NA,NA
Ruapehu District,12+,"10,400","8,895","8,610","8,163","5,201","3,361","1,187",86%,83%,64%,35%
Ruapehu District,5-11,"1,369",384,186,NA,NA,NA,NA,28%,14%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,705","40,995","20,386","7,481",>95%,>95%,75%,37%
Selwyn District,5-11,"7,241","4,733","2,884",NA,NA,NA,NA,65%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,377","19,195","12,393","7,805","2,406",>95%,93%,65%,31%
South Taranaki District,5-11,"2,758","1,045",526,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,168","17,700","16,673","10,109","6,496","2,325",89%,87%,61%,36%
South Waikato District,5-11,"2,641",865,369,NA,NA,NA,NA,33%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,555","9,410","8,947","6,748","4,414","1,869",95%,93%,75%,42%
South Wairarapa District,5-11,975,523,265,NA,NA,NA,NA,54%,27%,NA,NA
Southland District,12+,"25,968","23,398","23,010","21,711","14,591","8,737","2,580",90%,89%,67%,30%
Southland District,5-11,"2,981","1,236",624,NA,NA,NA,NA,41%,21%,NA,NA
Stratford District,12+,"7,772","7,211","7,074","6,665","4,401","2,808",916,93%,91%,66%,33%
Stratford District,5-11,960,425,215,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","13,997","13,690","12,905","8,710","5,699","1,931",90%,88%,67%,34%
Tararua District,5-11,"1,887",705,336,NA,NA,NA,NA,37%,18%,NA,NA
Tasman District,12+,"49,220","44,948","44,182","42,025","30,068","19,961","8,190",91%,90%,72%,41%
Tasman District,5-11,"4,677","2,002","1,091",NA,NA,NA,NA,43%,23%,NA,NA
Taupo District,12+,"33,772","30,716","30,118","28,544","18,679","12,286","4,735",91%,89%,65%,39%
Taupo District,5-11,"3,743","1,336",627,NA,Masked,NA,NA,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,261","118,225","112,064","74,830","44,201","17,681",92%,90%,67%,40%
Tauranga City,5-11,"14,283","6,159","2,698",NA,NA,NA,NA,43%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,800","24,391","23,486","17,433","13,407","5,466",90%,89%,74%,41%
Thames-Coromandel District,5-11,"2,163",801,411,NA,NA,NA,NA,37%,19%,NA,NA
Timaru District,12+,"42,396","39,209","38,717","36,692","27,320","17,599","6,534",92%,91%,74%,37%
Timaru District,5-11,"4,148","2,096",983,NA,NA,NA,NA,51%,24%,NA,NA
Unknown,12+,"129,781","53,479","51,646","48,701","29,343","13,348","4,738",41%,40%,60%,35%
Unknown,5-11,"9,527","2,571","1,360",NA,NA,NA,NA,27%,14%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,433","34,345","26,007","13,733","6,087",>95%,95%,76%,44%
Upper Hutt City,5-11,"4,202","2,636","1,568",NA,NA,NA,NA,63%,37%,NA,NA
Waikato District,12+,"67,392","63,087","61,972","57,960","37,936","21,280","7,057",94%,92%,65%,33%
Waikato District,5-11,"8,729","4,003","1,885",NA,NA,NA,NA,46%,22%,NA,NA
Waimakariri District,12+,"55,522","52,474","51,897","49,161","35,870","22,936","8,819",95%,93%,73%,38%
Waimakariri District,5-11,"5,443","2,692","1,579",NA,NA,NA,NA,49%,29%,NA,NA
Waimate District,12+,"7,173","6,453","6,359","6,050","4,321","2,910",953,90%,89%,71%,33%
Waimate District,5-11,667,264,124,NA,NA,NA,NA,40%,19%,NA,NA
Waipa District,12+,"48,972","46,038","45,442","42,658","29,760","17,849","6,732",94%,93%,70%,38%
Waipa District,5-11,"5,522","2,706","1,447",NA,NA,NA,NA,49%,26%,NA,NA
Wairoa District,12+,"6,748","5,970","5,754","5,422","3,620","2,348","1,009",88%,85%,67%,43%
Wairoa District,5-11,876,257,81,NA,NA,NA,NA,29%,9%,NA,NA
Waitaki District,12+,"19,993","18,427","18,152","17,187","12,519","8,261","2,927",92%,91%,73%,35%
Waitaki District,5-11,"1,935",923,410,NA,NA,NA,NA,48%,21%,NA,NA
Waitomo District,12+,"8,061","7,219","7,010","6,451","3,987","2,560",610,90%,87%,62%,24%
Waitomo District,5-11,937,315,131,NA,NA,NA,NA,34%,14%,NA,NA
Wellington City,12+,"188,336",Masked,Masked,"170,267","139,625","53,964","26,425",>95%,>95%,82%,49%
Wellington City,5-11,"15,438","11,244","8,230",NA,NA,NA,NA,73%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,296","43,459","41,366","27,263","18,371","6,698",89%,87%,66%,36%
Western Bay of Plenty District,5-11,"4,834","1,734",707,NA,NA,NA,NA,36%,15%,NA,NA
Westland District,12+,"7,310","6,731","6,633","6,324","4,419","2,884",881,92%,91%,70%,31%
Westland District,5-11,670,263,134,NA,NA,NA,NA,39%,20%,NA,NA
Whakatane District,12+,"31,208","27,408","26,666","25,225","16,156","10,726","3,693",88%,85%,64%,34%
Whakatane District,5-11,"3,832","1,188",568,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,143","36,471","34,543","24,782","16,095","6,972",90%,88%,72%,43%
Whanganui District,5-11,"4,457","1,675",886,NA,NA,NA,NA,38%,20%,NA,NA
Whangarei District,12+,"83,037","73,962","72,399","68,454","47,697","30,216","11,395",89%,87%,70%,38%
Whangarei District,5-11,"9,559","3,538","1,556",NA,NA,NA,NA,37%,16%,NA,NA
