Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Palmerston North City,12+,"70,520",Masked,Masked,"62,431","46,329",>95%,>95%,74%
Palmerston North City,5-11,"8,374","4,848","1,999",NA,NA,58%,24%,NA
Porirua City,12+,"47,708",Masked,Masked,"41,027","30,048",>95%,>95%,73%
Porirua City,5-11,"6,751","3,866","1,379",NA,NA,57%,20%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"34,810","22,529",>95%,>95%,65%
Queenstown-Lakes District,5-11,"3,430","2,129",808,NA,NA,62%,24%,NA
Rangitikei District,12+,"12,699","11,808","11,612","10,467","7,527",93%,91%,72%
Rangitikei District,5-11,"1,491",676,212,NA,NA,45%,14%,NA
Rotorua District,12+,"58,081",Masked,"54,389","47,817","32,424",>95%,94%,68%
Rotorua District,5-11,"7,718","3,306","1,023",NA,NA,43%,13%,NA
Ruapehu District,12+,"9,936","8,830","8,562","7,581","4,989",89%,86%,66%
Ruapehu District,5-11,"1,366",402,114,NA,NA,29%,8%,NA
Selwyn District,12+,"52,972",Masked,Masked,"51,074","38,781",>95%,>95%,76%
Selwyn District,5-11,"6,904","4,961","2,129",NA,NA,72%,31%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"17,763","11,804",>95%,>95%,66%
South Taranaki District,5-11,"2,692","1,192",446,NA,NA,44%,17%,NA
South Waikato District,12+,"19,628","18,192","17,761","15,602","9,683",93%,90%,62%
South Waikato District,5-11,"2,626",938,214,NA,NA,36%,8%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,575","6,586",>95%,>95%,77%
South Wairarapa District,5-11,997,563,201,NA,NA,56%,20%,NA
Southland District,12+,"25,064","23,428","23,099","20,574","14,200",93%,92%,69%
Southland District,5-11,"3,087","1,362",463,NA,NA,44%,15%,NA
Stratford District,12+,"7,475","7,091","6,968","6,221","4,263",95%,93%,69%
Stratford District,5-11,993,475,169,NA,NA,48%,17%,NA
Tararua District,12+,"15,002","13,976","13,701","12,081","8,389",93%,91%,69%
Tararua District,5-11,"1,897",767,260,NA,NA,40%,14%,NA
Tasman District,12+,"45,608",Masked,Masked,"39,453","28,796",>95%,>95%,73%
Tasman District,5-11,"4,679","2,176",966,NA,NA,47%,21%,NA
Taupo District,12+,"32,180","30,522","29,985","26,912","18,018",95%,93%,67%
Taupo District,5-11,"3,743","1,471",484,NA,NA,39%,13%,NA
Tauranga City,12+,"121,578",Masked,Masked,"106,202","71,902",>95%,>95%,68%
Tauranga City,5-11,"14,189","6,644","1,885",NA,NA,47%,13%,NA
Thames-Coromandel District,12+,"26,265","24,758","24,364","22,602","17,028",94%,93%,75%
Thames-Coromandel District,5-11,"2,164",871,301,NA,NA,40%,14%,NA
Timaru District,12+,"41,091",Masked,"38,813","35,158","26,810",>95%,94%,76%
Timaru District,5-11,"4,189","2,301",822,NA,NA,55%,20%,NA
Unknown,12+,"129,607","63,023","61,148","55,194","34,639",49%,47%,63%
Unknown,5-11,"11,053","2,761","1,042",NA,NA,25%,9%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"32,700","24,988",>95%,>95%,76%
Upper Hutt City,5-11,"4,264","2,852","1,182",NA,NA,67%,28%,NA
Waikato District,12+,"63,214",Masked,Masked,"54,426","35,861",>95%,>95%,66%
Waikato District,5-11,"8,689","4,295","1,345",NA,NA,49%,15%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"46,376","34,675",>95%,>95%,75%
Waimakariri District,5-11,"5,436","2,949","1,388",NA,NA,54%,26%,NA
Waimate District,12+,"6,936","6,503","6,421","5,819","4,273",94%,93%,73%
Waimate District,5-11,693,300,94,NA,NA,43%,14%,NA
Waipa District,12+,"46,630",Masked,Masked,"40,688","28,637",>95%,>95%,70%
Waipa District,5-11,"5,531","2,965","1,185",NA,NA,54%,21%,NA
Wairoa District,12+,"6,303","5,944","5,736","5,048","3,461",94%,91%,69%
Wairoa District,5-11,896,278,53,NA,NA,31%,6%,NA
Waitaki District,12+,"19,318",Masked,"18,158","16,421","12,183",>95%,94%,74%
Waitaki District,5-11,"2,012",999,312,NA,NA,50%,16%,NA
Waitomo District,12+,"7,758","7,140","6,964","6,140","3,842",92%,90%,63%
Waitomo District,5-11,967,338,99,NA,NA,35%,10%,NA
Wellington City,12+,"178,488",Masked,Masked,"165,253","135,240",>95%,>95%,82%
Wellington City,5-11,"16,089","12,052","6,702",NA,NA,75%,42%,NA
Western Bay of Plenty District,12+,"45,656",Masked,"43,287","39,221","26,209",>95%,95%,67%
Western Bay of Plenty District,5-11,"4,861","1,907",519,NA,NA,39%,11%,NA
Westland District,12+,"7,098","6,703","6,618","5,994","4,326",94%,93%,72%
Westland District,5-11,670,299,115,NA,NA,45%,17%,NA
Whakatane District,12+,"30,314","27,253","26,568","23,406","15,484",90%,88%,66%
Whakatane District,5-11,"3,821","1,296",452,NA,NA,34%,12%,NA
Whanganui District,12+,"39,880","37,179","36,576","32,901","24,106",93%,92%,73%
Whanganui District,5-11,"4,481","1,833",749,NA,NA,41%,17%,NA
Whangarei District,12+,"78,668","73,594","72,217","64,803","45,675",94%,92%,70%
Whangarei District,5-11,"9,594","3,835","1,170",NA,NA,40%,12%,NA
